dataset,run,AUC_Original,AUC_Adaptive
Friday-WorkingHours-Morning.npz,4,0.5748026566564396,0.5994924245476103
Friday-WorkingHours-Morning.npz,2,0.5734660764786397,0.5682576202041894
Friday-WorkingHours-Morning.npz,1,0.5626172590907815,0.577170278266526
Friday-WorkingHours-Morning.npz,9,0.5369190361831448,0.5632171570390837
Friday-WorkingHours-Morning.npz,0,0.49943956606619044,0.5470890343194663
Friday-WorkingHours-Morning.npz,7,0.49758958916430135,0.5279929683191693
Friday-WorkingHours-Morning.npz,8,0.5020190864858411,0.5609964729033684
Friday-WorkingHours-Morning.npz,6,0.5518154170357377,0.5628795162857353
Friday-WorkingHours-Morning.npz,3,0.5736356124751828,0.5822820438045342
Friday-WorkingHours-Morning.npz,5,0.5718296031504192,0.5968391899008754
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9260128339598028,0.9156073576851667
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.929971344895487,0.9144605470575959
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6102735972634927,0.6481018175922965
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.6016185921615617,0.6708762821786322
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6112153639532116,0.704749914004122
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.5955070917552291,0.6174933344330332
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9200738883536753,0.9049552596093942
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9180881111734885,0.9136262491846656
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.920707336738678,0.9227396081928494
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9113959198242343,0.9094122122649392
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9235911368629708,0.9175930867346349
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9230140976799454,0.9133320261030213
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9137593787517895,0.9097342549018249
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.919111129593307,0.9078408887009866
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6263901848728641,0.6532198392299831
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6001696107095061,0.6478058832199431
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6501001171485872,0.6077726391172202
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.6579379418505309,0.6493163668620707
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.6212297803316708,0.6245911009185221
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6455091332368259,0.6268288579474647
backdoor.npz,0,0.6416956721468903,0.6416956721468903
backdoor.npz,1,0.5969298397484729,0.59776239513936
backdoor.npz,3,0.5564455047853849,0.5564455047853849
backdoor.npz,2,0.6673203714732892,0.6673192218728791
Tuesday-WorkingHours.npz,2,0.6218688594045614,0.6237558451798417
Tuesday-WorkingHours.npz,1,0.6302169132444534,0.6232747307993942
Tuesday-WorkingHours.npz,3,0.6164542987212906,0.6185689090900297
Tuesday-WorkingHours.npz,0,0.6359610870006859,0.6347537187605024
Tuesday-WorkingHours.npz,4,0.6319258993366793,0.5998686814745534
Tuesday-WorkingHours.npz,5,0.6441058009112164,0.6085804255421258
campaign.npz,1,0.7180330490040494,0.7357862404848796
campaign.npz,0,0.6985322590650747,0.7446451708051387
Tuesday-WorkingHours.npz,6,0.669449617210844,0.6400969293633778
Tuesday-WorkingHours.npz,7,0.6352533890550033,0.6066842002440523
campaign.npz,2,0.7023548596224899,0.7261870460622404
campaign.npz,4,0.702485819309892,0.7428493451455431
campaign.npz,3,0.7129220300275877,0.7354100140627536
campaign.npz,5,0.710254744705121,0.759569321095923
backdoor.npz,5,0.6380098685577362,0.6380098685577362
backdoor.npz,4,0.6077241997811604,0.6077241997811604
backdoor.npz,7,0.6572018887611554,0.657193536844924
backdoor.npz,9,0.6381223816581024,0.6381194637968208
backdoor.npz,8,0.5904809784992404,0.5904809784992404
backdoor.npz,6,0.592345482624413,0.592201039257238
campaign.npz,6,0.7209174643501414,0.749336724873855
campaign.npz,8,0.6979952173193118,0.7152982685971779
campaign.npz,7,0.7167745274990281,0.7370151835045458
campaign.npz,9,0.7031402816277508,0.7499322601972654
Tuesday-WorkingHours.npz,8,0.6088509764484236,0.6436148137422932
Tuesday-WorkingHours.npz,9,0.6240253486173585,0.6071443296167098
celeba.npz,0,0.7863876758039847,0.8332858662017713
celeba.npz,1,0.792286719802848,0.819193111790742
celeba.npz,4,0.7899256572963927,0.8122020765075677
celeba.npz,2,0.7884048383620661,0.8157436486136349
celeba.npz,5,0.7969031723950593,0.8346455522533927
celeba.npz,3,0.7969599354053322,0.8320455121158066
celeba.npz,6,0.793679628053156,0.804613503036621
celeba.npz,7,0.7931845025840891,0.817757301620311
celeba.npz,8,0.798674770181071,0.8374828738222138
celeba.npz,9,0.7956578235417409,0.8270635959053141
census.npz,0,0.6653838483620995,0.6876511797956314
census.npz,1,0.662598616378199,0.6994123317147636
cover.npz,0,0.8744224903070066,0.909401512331131
cover.npz,1,0.873589934645451,0.8380650711924472
census.npz,3,0.6715799502787958,0.6966661762266406
census.npz,2,0.6596975497663775,0.6943543542130177
census.npz,4,0.6646610670548919,0.706255841689637
census.npz,5,0.6605085971556031,0.6976083911454677
census.npz,6,0.6779351635333597,0.6996562490852021
census.npz,7,0.6592715993576166,0.6747774340603901
census.npz,8,0.6751515928911938,0.6964093230483839
census.npz,9,0.6449954213348889,0.6913902824701412
cover.npz,3,0.8820153656105292,0.8017265822665942
cover.npz,2,0.8790272124508031,0.745688590092305
cover.npz,4,0.9090578520508789,0.9067414289018625
cover.npz,5,0.8757152672281592,0.8620388869225338
cover.npz,7,0.8728996882066082,0.8276569252603472
cover.npz,6,0.8816750089900085,0.8246634356172042
cover.npz,9,0.8994598249065225,0.9098654355913842
cover.npz,8,0.8345568646813021,0.9157069343472106
fraud.npz,1,0.9422027004286011,0.9458339391968915
fraud.npz,0,0.9431534343920897,0.9494995674241427
donors.npz,1,0.721274343377435,0.9159758567054779
donors.npz,2,0.7379402996246273,0.9241097879958422
donors.npz,0,0.7453464909547061,0.9199884088679845
donors.npz,3,0.7290584491677563,0.9138218816756294
donors.npz,4,0.7404455234637194,0.908841343174744
donors.npz,5,0.7320092641679343,0.9132041471310585
donors.npz,6,0.7369175026618966,0.9104977784902659
donors.npz,7,0.7253642766833303,0.9159133267391419
fraud.npz,2,0.9459875747571291,0.9496645338839651
donors.npz,8,0.7272340663589311,0.9163158812595126
fraud.npz,3,0.9435066653570005,0.9475292633885838
donors.npz,9,0.7380315331529215,0.91399927308953
fraud.npz,6,0.9448748947155687,0.9492561711224625
fraud.npz,4,0.9438058118292876,0.9513812330849686
fraud.npz,5,0.9404408313291581,0.9482003707670512
fraud.npz,7,0.9441519547267294,0.9500841346102292
fraud.npz,8,0.9434052412952598,0.9453265436581348
fraud.npz,9,0.9410730526329938,0.9466474906382463
insects.npz,0,0.749407155128487,0.7921510481991381
insects.npz,1,0.748632694133728,0.7768118381192214
http.npz,0,0.9335409657628098,0.9524342500527045
http.npz,1,0.952484720127,0.9692073215656627
insects.npz,2,0.7419936322237848,0.7768529961259995
http.npz,3,0.9395082623532105,0.9600816400497392
http.npz,5,0.9506237233478493,0.9676771077977028
http.npz,2,0.9593575945076724,0.96555476916491
http.npz,4,0.9489029098403721,0.9346888775190405
insects.npz,3,0.7537750229829885,0.7802099306929247
mammography.npz,0,0.8698156325044543,0.8648529214994473
mammography.npz,1,0.8758787033711506,0.8663891999239431
mammography.npz,2,0.8739628448087664,0.8682142127761464
mammography.npz,3,0.8629803731012191,0.8075306868358227
http.npz,6,0.944684835776599,0.9653478722639576
mammography.npz,4,0.8689272459665207,0.8679615701519025
http.npz,8,0.9199921206996915,0.9283425489104686
mammography.npz,5,0.8745938351678533,0.8937807660617327
mammography.npz,6,0.8633937562940583,0.8194038338298156
mammography.npz,7,0.8655546870048381,0.8370935710814864
http.npz,7,0.9315340378202015,0.9437234592707064
mammography.npz,8,0.8654789822463539,0.8250533454460947
mammography.npz,9,0.8697004908485271,0.7152444735526307
http.npz,9,0.9508578667280354,0.9515002736445344
insects.npz,4,0.7596877676519794,0.7729007567061875
insects.npz,5,0.7512344051624149,0.7709196895833716
insects.npz,6,0.75651200628185,0.7948298467303013
insects.npz,7,0.7594268027925674,0.8038292829520659
insects.npz,9,0.7576829557134923,0.7833786646088027
insects.npz,8,0.7608888569358601,0.7667166965516012
nyc_taxi.npz,0,0.6135808653482384,0.6136313971333032
nyc_taxi.npz,1,0.6215196948109005,0.6215196948109005
nyc_taxi.npz,3,0.6121815162739044,0.6121815162739044
nyc_taxi.npz,2,0.6103578908910069,0.6103578908910069
nyc_taxi.npz,4,0.6093744279420559,0.6093744279420559
nyc_taxi.npz,5,0.5773471918819638,0.5773471918819638
nyc_taxi.npz,7,0.6202437195665174,0.6202437195665174
nyc_taxi.npz,6,0.6002383765453192,0.6002383765453192
nyc_taxi.npz,8,0.600672949896877,0.600672949896877
