dataset,AUC_Original_mean,AUC_Original_std,AUC_Adaptive_mean,AUC_Adaptive_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5686216705590559,0.020600290007009633
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861471,0.9129301490435079,0.0049011544797839405
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.6450756035503288,0.026893260663064977
Tuesday-WorkingHours.npz,0.6318112189950517,0.015880518556383158,0.620634258381288,0.014423345952911618
backdoor.npz,0.6186276188035845,0.03329577817574836,0.6186951880681634,0.0332525941472943
campaign.npz,0.7083410252530447,0.008051627273743034,0.7396029574829323,0.012023346474946524
celeba.npz,0.793206472342574,0.003808558866677442,0.8234033041867374,0.010474590518579909
census.npz,0.6641783406113024,0.00891197551561253,0.6944181563449275,0.008077302570806341
cover.npz,0.878241950907727,0.01845534967612216,0.854155480252302,0.053959656933442374
donors.npz,0.7333621749613257,0.007191580701609869,0.9152667685129187,0.004177228370297104
fraud.npz,0.9432602161463818,0.001583750944555575,0.9483423247774676,0.0018743544036535773
http.npz,0.9431487036963443,0.011302018795552177,0.9538558120239428,0.013648893685027768
insects.npz,0.7539241299007152,0.005751766753272539,0.7818600750269613,0.011142859415057318
mammography.npz,0.8690286551313742,0.004430846764348652,0.8365524581159022,0.047895421163423726
mulcross.npz,0.979431623440376,0.0027259012962582247,0.9331864454243665,0.005352234353001994
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6093693461606522,0.013524707264823493
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.6550785088115957,0.014129153385674123
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9934988431854392,0.002001106624036369
smtp.npz,0.8918200772309008,0.007096510242809496,0.9156488236654543,0.01407446245292475
