dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.6227049477597226,0.025248381833848425,0.59785605936946,0.03704912323411683,0.010556521709753776,0.00041473832237758887,0.01249177032046456,0.0007936580212321907,0.011781498770067716,0.0010206767333705829,0.009581151832460732,0.0069020426091981005,0.0051308900523560205,0.00601423609113101,0.009947643979057593,0.005761805940390639,0.009712041884816754,0.001596882480105069,0.007643979057591624,0.003414979187319363,0.008848167539267015,0.0033108255753227225,0.0046173175583708505,3.310938812866065e-05,0.004544026803476075,0.00023773268231496025,0.004648727881897183,5.406740440732093e-05,220.47628316879272,3.8287422504283946,220.47628316879272,3.8287422504283946,220.47628316879272,3.8287422504283946,12.780859375,11.535195191911823,74.13981233243967,16.527145497713224,51.12627345844504,10.110668126957677
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9250262986245396,0.006002860972231151,0.9129906301042627,0.008000677821055084,0.009890466451285678,0.005453550303460256,0.009881971548310636,0.005394020849672786,0.005577472389530851,0.0016788937216676233,0.007103257103257103,0.0005478651524893244,0.007033957033957034,0.0008010413899006562,0.005232155232155232,0.000824026748982997,0.004539154539154539,0.00024227508620239122,0.004539154539154539,0.00021297168993515567,0.004071379071379071,0.0004917240230401478,0.0020720720720720717,6.067879665772102e-05,0.002072072072072072,6.067879665772102e-05,0.002058212058212058,5.705284839560401e-05,346.1644822120667,0.47278746063995264,346.1644822120667,0.47278746063995264,346.1644822120667,0.47278746063995264,13.739453125,20.343859094189536,77.95803016858918,1.7027861783783045,52.25288376220053,5.387893370044356
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.643732558764941,0.03567871204797167,0.6671330666615609,0.02807116559556777,0.015003693532907808,0.0009273957692855322,0.017109687866645913,0.001533039016156466,0.017982217087557005,0.001616773556855405,0.03100411039342337,0.00980932976145563,0.024251321197886085,0.012639716470194982,0.007574867880211393,0.0036455767618226507,0.024302905782213093,0.0012514060820130696,0.020633988846492517,0.0044320624572098104,0.00827707660698562,0.005429424110672458,0.010413242545198403,0.0001469435967403823,0.010378023010096266,9.89990658266698e-05,0.010272364404789857,0.0002780909134294418,193.96296646595002,0.5132289460635122,193.96296646595002,0.5132289460635122,193.96296646595002,0.5132289460635122,3.74453125,2.800337925455567,73.26255639097744,18.20145237756688,50.54736842105263,11.33408976579739
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.703822432292636,0.008238479454360173,0.6195582849829703,0.016324312021244052,0.03953914125981915,0.001671472192743062,0.0534789987803607,0.0020498729078939526,0.03887165291538397,0.0017683838165775071,8.970621215519175e-05,0.00028367595067668803,0.0013007400762502807,0.001498090758750135,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.054305898183449205,0.016887891840968314,0.0014689392240412648,0.003544944555429143,0.0592016147118188,0.0021400828661546946,0.06005382372729312,0.0017764007086366466,0.04416685355460866,0.008159267800584876,509.01058158874514,0.9682208313938133,509.01058158874514,0.9682208313938133,509.01058158874514,0.9682208313938133,18.54140625,24.68045326755069,67.92211372774268,25.421149261301196,48.478230901780584,14.039863345202784
backdoor.npz,0.6143590606056409,0.03778549924163329,0.7046075310369027,0.0409385580778884,0.6886980916171508,0.04859005428819891,0.030156617599465658,0.005076941258619727,0.039906579251522564,0.006788716476449624,0.03735225567174584,0.007334722824502233,0.0038824763903462746,0.003283022044143355,0.0026232948583420775,0.0017312862778264542,0.002413431269674711,0.002425818941503981,0.005928646379853095,0.00395761220685123,0.007764952780692551,0.007365185492337957,0.0049842602308499484,0.006801481805746785,0.010847671002937473,0.010160818716737897,0.01959714645404952,0.014743612710289572,0.012211498111624005,0.01266463759194581,142.72615752220153,0.5554627160123767,142.72615752220153,0.5554627160123767,142.72615752220153,0.5554627160123767,19.556640625,33.19431818712414,185.44811827956988,43.81097590059316,47.74301075268817,14.470049883242984
campaign.npz,0.7199203264931711,0.005673600047824202,0.6893398519613319,0.055335846638287556,0.7937169580131751,0.020337169790676412,0.2986486312147953,0.013413759492349355,0.27460028729291447,0.059136345368984024,0.36363832109174804,0.020295593069942944,0.6265206812652069,0.04938966325289559,0.5282238442822385,0.19761008694567983,0.6318734793187348,0.035241097054206284,0.5509113001215067,0.06382719309071945,0.48286755771567436,0.16751400144044765,0.5953827460510329,0.03026034158663888,0.43788246721709567,0.02215978147797173,0.4194269062651773,0.09964596394289982,0.4883438562408936,0.01848854869061376,45.20757353305817,1.8347182806285345,45.20757353305817,1.8347182806285345,45.20757353305817,1.8347182806285345,-5.587109375,17.01815634647931,33.324375,29.540783771920726,27.335,17.46135805142315
celeba.npz,0.7885202083267938,0.0043453074255005286,0.8125079778582874,0.004175554737039057,0.5314219493912049,0.022975113630427955,0.09646643268170403,0.0030428123751231576,0.11670741685594462,0.004161169068889731,0.0236152047419254,0.0016628563389102424,0.1622716049382716,0.006494030571537633,0.19703703703703704,0.01166287380011085,0.02474074074074074,0.005171187586330992,0.14507529005183903,0.006611524725370898,0.17620340656627995,0.008181219012185582,0.02194519871636633,0.004401166929113492,0.12512587619705798,0.004905554561343605,0.1441010958633626,0.004933512435589426,0.02058446046006516,0.003016591025854128,241.42306084632872,1.8526827541163509,241.42306084632872,1.8526827541163509,241.42306084632872,1.8526827541163509,9.228515625,8.791144670414466,34.08065739570164,12.45275542384948,24.5724399494311,6.2571121799911165
census.npz,0.6628653851353623,0.006219607981442671,0.7367705692585929,0.01174836518534173,0.6831699315949049,0.006073239639286914,0.09059068203454224,0.0022592530172919787,0.14085043555516635,0.013560534993930156,0.0976003766269312,0.0022223383782675158,0.07593582887700534,0.008678119524672321,0.19491978609625665,0.08285636854389038,0.0831885026737968,0.007004466619663246,0.0816374269005848,0.007128585343770797,0.19219715956558062,0.06166437538681278,0.09077694235588972,0.005112436125851981,0.08811815022721198,0.006032656599837506,0.1807404437316226,0.03416012544320499,0.09828922747928362,0.0035393531196749044,381.86010270118715,2.076609014517447,381.86010270118715,2.076609014517447,381.86010270118715,2.076609014517447,22.038671875,54.2040571836205,343.16980325064156,230.55896038149106,233.84268605645852,137.23787634923053
cover.npz,0.85781338251187,0.012683747539797183,0.8768327308390443,0.021927107825837504,0.8553058528629084,0.022632731575655443,0.04264522448962443,0.005035509494836328,0.048141195634277725,0.012542628050747318,0.04462149383917557,0.010105482070063725,0.06458041958041957,0.02062775730196007,0.06405594405594406,0.030025988384781863,0.06573426573426573,0.023843544712535518,0.05847902097902098,0.014209378473713542,0.06045454545454546,0.018998169513048585,0.06480769230769232,0.015952268993181817,0.05036358551251574,0.006198902510202134,0.05330023772898897,0.009904691765084152,0.05305551671094951,0.010338161570285397,323.56284644603727,0.7335944980663033,323.56284644603727,0.7335944980663033,323.56284644603727,0.7335944980663033,-8.16328125,54.00011405775795,9.860608773500447,1.0946262432378355,6.930259623992838,0.6320783418043948
donors.npz,0.735080104366869,0.005978266926511104,0.9102212065322544,0.006005672119771708,0.8835019786034092,0.007358381542101832,0.12358928810832019,0.002436562168395755,0.2925084042566949,0.009625621489671799,0.21752655927384676,0.010279307591525278,0.22270305183271435,0.0069771624159411655,0.382351041498466,0.012870729370371373,0.15922816082673988,0.015005365409378907,0.1821492007104796,0.002897135296655236,0.34593088971419345,0.009603666800925214,0.1654044889391248,0.012019926511781907,0.14423561325324546,0.003960111041229935,0.29190725311632115,0.009295947118562235,0.20710779564683848,0.010840172416839659,632.7697420835495,3.2725979908243947,632.7697420835495,3.2725979908243947,632.7697420835495,3.2725979908243947,27.5984375,19.27855259599116,7.420132286068624,3.885447327310784,5.751922281934684,2.1326637997483164
