dataset,AUC_AIF,AUC_RFE,AP_AIF,AP_RFE,runtime_s,memory_MB,anomaly_ratio,last_selected_features,Prec@1%_AIF,Prec@1%_RFE,Prec@2%_AIF,Prec@2%_RFE,Prec@5%_AIF,Prec@5%_RFE,AUC_diff,AP_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.5627639275351268,0.010645370385398478,0.0109765310212675,297.11008739471436,60.84765625,0.010291415619290908,39,0.002617801047120419,0.015706806282722512,0.0075916230366492145,0.011518324607329843,0.00460684745052874,0.00460684745052874,-0.003647024836491486,-0.0003311606358690211
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.8972210382065493,0.010371377864682113,0.013701821335373935,431.61524081230164,37.30078125,0.00012473926029618645,39,0.007623007623007623,0.007276507276507277,0.004851004851004851,0.0045045045045045045,0.002079002079002079,0.002079002079002079,0.027567590930478447,-0.0033304434706918212
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6730198596748009,0.015146599370935602,0.01886852294105771,273.0716161727905,14.4921875,0.01279598041862813,39,0.04286553141514973,0.0358191426893717,0.025535661872615203,0.023481068388611682,0.010331063629960084,0.011152852782343273,-0.09230968700336906,-0.0037219235701221078
Tuesday-WorkingHours.npz,0.6052959927879411,0.6434083525684194,0.03864480678744831,0.04246235129445085,675.8802964687347,33.5703125,0.031026509893274188,39,0.0,0.0,0.015025790535994617,0.004597443372953577,0.05732226956716752,0.060058309037900874,-0.03811235978047833,-0.0038175445070025363
backdoor.npz,0.5963380148386174,0.741807451165067,0.027625146191070565,0.04844825416373638,175.44081664085388,11.90625,0.02443118043827167,98,0.002098635886673662,0.0031479538300104933,0.004197271773347324,0.005771248688352571,0.005245488879563575,0.04259336970205623,-0.1454694363264496,-0.020823107972665816
campaign.npz,0.7130010091830112,0.7506912526229088,0.2974125998622045,0.34135294325024135,64.61031484603882,-47.703125,0.11265417111780131,31,0.6618004866180048,0.6788321167883211,0.5795868772782503,0.6488456865127582,0.4424477901894123,0.5099562894609033,-0.037690243439897575,-0.04394034338803687
celeba.npz,0.7872573682934594,0.6706166472482223,0.09646538483721136,0.04759268245788754,344.8130769729614,-41.1796875,0.022443348683853327,19,0.16641975308641976,0.09037037037037036,0.14119970377684524,0.08121451493458405,0.12538256491262711,0.06831868891302202,0.11664072104523704,0.04887270237932382
census.npz,0.6640788103752422,0.622631623300706,0.09166539355543213,0.07865939479631223,547.4917342662811,33.8359375,0.062041198189017155,316,0.08622994652406417,0.05548128342245989,0.08705096073517127,0.0608187134502924,0.09055065490510558,0.06609195402298851,0.04144718707453621,0.013005998759119897
cover.npz,0.8459589406083023,0.7619705607887353,0.04308704444722577,0.027811440797871165,414.00178933143616,-73.640625,0.009603283365029646,5,0.07272727272727272,0.05,0.06398601398601399,0.045104895104895106,0.049643406516571106,0.03733743532373095,0.08398837981956708,0.015275603649354604
donors.npz,0.7285119295973419,0.7154495439504396,0.12071910411489759,0.13874295470201337,932.8598761558533,43.546875,0.05927411411760527,5,0.22283222993702567,0.21185209107056355,0.18149523655740352,0.1815759728725981,0.1370212491119292,0.19082219208163792,0.01306238564690232,-0.01802385058711578
