dataset,n_instances,anomaly_ratio,n_anomalies,AUC_AIF,AUC_AIF_FS,AP_AIF,AP_AIF_FS,Precision@1%_AIF,Precision@1%_AIF_FS,Precision@2%_AIF,Precision@2%_AIF_FS,Precision@5%_AIF,Precision@5%_AIF_FS,runtime_s,memory_MB,AUC_diff,AP_diff,Mem_Δ_MB
Friday-WorkingHours-Morning.npz,191033,0.010291415619290908,1966,0.5591169026986353,0.4558033384269506,0.010645370385398478,0.008988179750943506,0.002617801047120419,0.0,0.0075916230366492145,0.005759162303664921,0.00460684745052874,0.00460684745052874,158.99149107933044,55.13671875,0.10331356427168475,0.0016571906344549723,55.13671875
Thursday-WorkingHours-Afternoon-Infilteration.npz,288602,0.00012473926029618645,36,0.9247886291370278,0.8857634244274561,0.010371377864682113,0.007686871896829302,0.007623007623007623,0.002772002772002772,0.004851004851004851,0.0024255024255024253,0.002079002079002079,0.0018711018711018712,252.80374145507812,33.46484375,0.039025204709571604,0.002684505967852811,33.46484375
Thursday-WorkingHours-Morning-WebAttacks.npz,170366,0.01279598041862813,2180,0.5807101726714319,0.5129612098313608,0.015146599370935602,0.012236706152405755,0.04286553141514973,0.0017615971814445098,0.025535661872615203,0.004696213677722336,0.010331063629960084,0.005165531814980042,141.7738118171692,27.16796875,0.06774896284007104,0.002909893218529847,27.16796875
Tuesday-WorkingHours.npz,445909,0.031026509893274188,13835,0.6052959927879411,0.6133848066780393,0.03864480678744831,0.036752371856564665,0.0,0.0,0.015025790535994617,0.0,0.05732226956716752,0.0005830903790087463,371.643385887146,21.52734375,-0.00808881389009819,0.0018924349308836463,21.52734375
backdoor.npz,95329,0.02443118043827167,2329,0.5963380148386174,0.48843873183839115,0.027625146191070565,0.023932763871682923,0.002098635886673662,0.0031479538300104933,0.004197271773347324,0.004197271773347324,0.005245488879563575,0.006714225765841376,115.71154022216797,16.7734375,0.10789928300022622,0.0036923823193876423,16.7734375
campaign.npz,41188,0.11265417111780131,4640,0.7130010091830112,0.5834885447054983,0.2974125998622045,0.15532836483336487,0.6618004866180048,0.24817518248175183,0.5795868772782503,0.2393681652490887,0.4424477901894123,0.21175327829043225,36.161245584487915,-27.3203125,0.12951246447751297,0.1420842350288396,-27.3203125
celeba.npz,202599,0.022443348683853327,4547,0.7872573682934594,0.29407422411286144,0.09646538483721136,0.014596301514208342,0.16641975308641976,0.009382716049382716,0.14119970377684524,0.01061466304616144,0.12538256491262711,0.011156086484351862,180.1606640815735,-55.0234375,0.49318314418059794,0.08186908332300302,-55.0234375
census.npz,299285,0.062041198189017155,18568,0.6640788103752422,0.5558821883694678,0.09166539355543213,0.0707956255607765,0.08622994652406417,0.05247326203208556,0.08705096073517127,0.06198830409356725,0.09055065490510558,0.0669607056936648,370.4788234233856,113.4609375,0.1081966220057744,0.020869767994655633,113.4609375
cover.npz,286048,0.009603283365029646,2747,0.8459589406083023,0.5355555601186294,0.04308704444722577,0.01001430302347943,0.07272727272727272,0.0,0.06398601398601399,0.0008741258741258741,0.049643406516571106,0.005733463851209621,226.15724968910217,-61.46484375,0.310403380489673,0.03307274142374634,-61.46484375
donors.npz,619326,0.05927411411760527,36710,0.7285119295973419,0.6385670300780761,0.12071910411489759,0.07274457794592805,0.22283222993702567,0.0008073631519457452,0.18149523655740352,0.0012110447279186178,0.1370212491119292,0.0017761415746302396,485.6578812599182,73.6171875,0.08994489951926576,0.047974526168969536,73.6171875
fraud.npz,284807,0.001727485630620034,492,0.94359164352947,0.9377694162649379,0.12447827141080994,0.27496615766551535,0.09445224719101124,0.1074438202247191,0.058462078651685394,0.060042134831460675,0.029073033707865167,0.02717696629213483,228.09886264801025,-56.2265625,0.005822227264532076,-0.1504878862547054,-56.2265625
http.npz,567498,0.003896048972859816,2211,0.917001984023586,0.1420174360233021,0.02316585031290262,0.0024247915167186296,0.0014099400775467042,0.0017624250969333803,0.0025552912150850295,0.00105736188210415,0.0020793684358920137,0.0005638965249876648,421.8138179779053,51.67578125,0.7749845480002839,0.02074105879618399,51.67578125
insects.npz,212514,0.05505990193587246,11701,0.7729105476895338,0.7825964009587072,0.1254318513211201,0.14697947971913575,0.034823529411764705,0.041411764705882356,0.05788235294117647,0.11129411764705882,0.1004235294117647,0.16922352941176472,171.55142664909363,-12.8515625,-0.009685853269173372,-0.021547628398015634,-12.8515625
mammography.npz,11183,0.023249575248144506,260,0.8680805850745428,0.7836975964619469,0.30771624259706637,0.06818205603111561,0.5225225225225225,0.0990990990990991,0.37668161434977576,0.09865470852017937,0.2075134168157424,0.06618962432915922,8.797497510910034,-0.22265625,0.08438298861259586,0.23953418656595077,-0.22265625
mulcross.npz,262144,0.09999847412109375,26214,0.9763467879159038,0.8466981575030187,0.6569661210237204,0.2383946655819649,0.33384204502098436,0.006867607783288821,0.5141167493323159,0.02060282334986646,0.6784924086366064,0.0763714045929656,209.82017755508423,27.20703125,0.1296486304128851,0.41857145544175556,27.20703125
nyc_taxi.npz,10320,0.05193798449612403,536,0.6192066738567994,0.6358325845730465,0.09240712606725056,0.08345672164736755,0.14563106796116504,0.07766990291262135,0.16019417475728157,0.07281553398058252,0.07945736434108527,0.07364341085271318,8.281219482421875,0.30859375,-0.016625910716247083,0.008950404419883012,0.30859375
nyc_taxi_shingle.npz,10273,0.052175605957363966,536,0.6813452188068593,0.6995233024055035,0.2153844129732366,0.13360251747364096,0.4019607843137255,0.11764705882352941,0.3170731707317073,0.13170731707317074,0.21052631578947367,0.13060428849902533,8.500986814498901,0.01171875,-0.018178083598644257,0.08178189549959564,0.01171875
shuttle.npz,49097,0.0715114976475141,3511,0.996147481557389,0.9835578489066015,0.9482699278571912,0.835814209175459,0.9836734693877551,0.9938775510204082,0.9898063200815495,0.9898063200815495,0.9731051344743277,0.8113284433577832,39.33868741989136,-0.21484375,0.012589632650787497,0.11245571868173221,-0.21484375
smtp.npz,95156,0.0003152717642607928,30,0.8950786325505119,0.5176262711211095,0.002263510033788161,0.0005300598392131002,0.0,0.0010515247108307045,0.0,0.0010509721492380452,0.002522598276224511,0.0008408660920748371,66.41155767440796,12.18359375,0.3774523614294024,0.0017334501945750606,12.18359375
