dataset,AUC_AIF,AUC_LassoFS(10%LABEL BUDGET),AUC_MI_FS(10%LABEL BUDGET),AUC_ETFS(10%LABEL BUDGET),AUC_ANOVA(10%LABEL BUDGET),AUC_LOGISTIC(10%LABEL BUDGET),AUC_LOGISTIC(1%LABEL BUDGET),AUC_ANOVA(1%LABEL BUDGET),AUC_LOGISTIC(2.5%LABEL BUDGET),AUC_ANOVA(2.5%LABEL BUDGET)
Friday-WorkingHours-Morning.npz,0.559116903,0.545239526,0.490122821,0.549261753,0.668617379,0.621335274,0.624869994,0.549890676,0.57235963,0.597745327
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.924788629,0.912827761,0.902751595,0.947504547,0.912524571,0.915255955,0.919604354,0.9127611,0.919870512,0.913102481
Thursday-WorkingHours-Morning-WebAttacks.npz,0.580710173,0.692442842,0.65285329,0.671268462,0.727206776,0.685730305,0.663455712,0.624900346,0.673531748,0.660515064
Tuesday-WorkingHours.npz,0.605295993,0.700787618,0.630543999,0.275280707,0.683392599,0.604484448,0.606658418,0.559871629,0.69917078,0.620948567
backdoor.npz,0.596338015,0.410799547,0.689210379,0.14457827,0.737483602,0.655494824,0.66337663,0.634844432,0.704513664,0.694602541
campaign.npz,0.713001009,0.685006149,0.74279298,0.667285841,0.829514176,0.704267864,0.698569459,0.696451388,0.716280609,0.790407759
celeba.npz,0.787257368,0.876261581,0.839338057,0.714804923,0.864723091,0.674913927,0.688361124,0.459839282,0.810149362,0.551587657
census.npz,0.66407881,0.510141827,0.574760821,0.56427091,0.81443318,0.567840552,0.592322506,0.663591023,0.754449785,0.683759804
cover.npz,0.845958941,0.862033565,0.854194389,0.781346668,0.872627546,0.789768063,0.798924053,0.847021009,0.890262129,0.859635351
donors.npz,0.72851193,0.75978752,0.858399098,0.83026259,0.951687278,0.769303901,0.769362172,0.684859578,0.920542367,0.885576819
fraud.npz,0.943591644,0.92047866,0.932637623,0.944800011,0.947797482,0.946648449,0.945172863,0.947156741,0.943821379,0.948507715
http.npz,0.917001984,0.9214457,0.972013415,0.986796335,0.806037745,0.905223264,0.90116123,0.810801137,0.944521941,0.805888501
insects.npz,0.772910548,0.779843787,0.779606217,0.721336154,0.810160871,0.744999212,0.746009021,0.731187933,0.761399068,0.759377555
mammography.npz,0.868080585,0.870203663,0.787074205,0.882237199,0.854694434,0.865829689,0.860103557,0.848532067,0.871906809,0.84601293
mulcross.npz,0.976346788,0.92905178,0.992974893,0.979597744,0.987264964,0.965329483,0.959106705,0.980614174,0.990302599,0.988088104
nyc_taxi.npz,0.619206674,0.636456509,0.619206674,0.592533423,0.618903369,0.621769303,0.609187518,0.618903369,0.604571201,0.618903369
nyc_taxi_shingle.npz,0.681345219,0.654631453,0.667565269,0.623161632,0.668578177,0.70103546,0.710491677,0.673497097,0.634259572,0.673171941
shuttle.npz,0.996147482,0.991556361,0.990077303,0.99341603,0.994934931,0.995610501,0.995207126,0.994723148,0.995007923,0.995161933
smtp.npz,0.895078633,0.815486302,0.614383379,0.760574396,0.789254743,0.907273686,0.90862111,0.783588031,0.891844045,0.783232835
