dataset,AUC_AIF,AUC_ETFS,AP_AIF,AP_ETFS,runtime_s,memory_MB,anomaly_ratio,selected_features_last_window,Prec@1%_AIF,Prec@1%_ETFS,Prec@2%_AIF,Prec@2%_ETFS,Prec@5%_AIF,Prec@5%_ETFS,AUC_diff,AP_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.549261753091872,0.010645370385398478,0.012110121082963575,294.06253695487976,89.9140625,0.010291415619290908,33,0.002617801047120419,0.0,0.0075916230366492145,0.0,0.00460684745052874,0.0,-0.00985514960676337,0.0014647506975650967
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9475045473902755,0.010371377864682113,0.05726089628612051,463.9463634490967,107.8984375,0.00012473926029618645,32,0.007623007623007623,0.005197505197505198,0.004851004851004851,0.004851004851004851,0.002079002079002079,0.0022176022176022174,0.022715918253247702,0.046889518421438396
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.671268462112229,0.015146599370935602,0.033270782800207246,257.2671625614166,63.2734375,0.01279598041862813,26,0.04286553141514973,0.051673517322372284,0.025535661872615203,0.02582917522747285,0.010331063629960084,0.010331063629960084,0.09055828944079714,0.018124183429271645
Tuesday-WorkingHours.npz,0.6052959927879411,0.27528070678653155,0.03864480678744831,0.022518545776035365,678.0128350257874,136.328125,0.031026509893274188,29,0.0,0.0,0.015025790535994617,0.0,0.05732226956716752,0.0,-0.33001528600140956,-0.016126261011412946
backdoor.npz,0.5963380148386174,0.14457826978212993,0.027625146191070565,0.013507898405812468,161.93341946601868,67.46875,0.02443118043827167,33,0.002098635886673662,0.01049317943336831,0.004197271773347324,0.005771248688352571,0.005245488879563575,0.0029374737725556023,-0.4517597450564874,-0.014117247785258098
campaign.npz,0.7130010091830112,0.667285841387613,0.2974125998622045,0.21322760987267006,62.470155239105225,-5.6484375,0.11265417111780131,25,0.6618004866180048,0.35036496350364965,0.5795868772782503,0.3377885783718105,0.4424477901894123,0.2923749392909179,-0.04571516779539819,-0.08418498998953441
celeba.npz,0.7872573682934594,0.7148049226206156,0.09646538483721136,0.072506353052741,309.9947123527527,-22.94140625,0.022443348683853327,20,0.16641975308641976,0.134320987654321,0.14119970377684524,0.1283633670698593,0.12538256491262711,0.10593345838681015,-0.07245244567284381,-0.023959031784470355
census.npz,0.6640788103752422,0.5642709097113429,0.09166539355543213,0.06718863829872433,544.7297377586365,206.0703125,0.062041198189017155,116,0.08622994652406417,0.048462566844919786,0.08705096073517127,0.04912280701754386,0.09055065490510558,0.05292702485966319,-0.09980790066389933,-0.024476755256707797
cover.npz,0.8459589406083023,0.7813466677452369,0.04308704444722577,0.03191948663053528,426.44166564941406,-10.03125,0.009603283365029646,3,0.07272727272727272,0.07132867132867132,0.06398601398601399,0.05856643356643357,0.049643406516571106,0.0411830513214935,-0.06461227286306548,-0.011167557816690488
donors.npz,0.7285119295973419,0.8302625898848877,0.12071910411489759,0.15804344900613748,985.8922255039215,194.82421875,0.05927411411760527,5,0.22283222993702567,0.2129823994832876,0.18149523655740352,0.15977716777006298,0.1370212491119292,0.12943228056578182,0.10175066028754576,0.0373243448912399
fraud.npz,0.94359164352947,0.9448000106946535,0.12447827141080994,0.09919810194276792,462.2121772766113,121.52734375,0.001727485630620034,15,0.09445224719101124,0.09550561797752809,0.058462078651685394,0.06530898876404495,0.029073033707865167,0.02928370786516854,0.001208367165183466,-0.025280169468042027
http.npz,0.917001984023586,0.9867963348808069,0.02316585031290262,0.2245320259021703,853.0031678676605,175.84375,0.003896048972859816,1,0.0014099400775467042,0.007402185407120197,0.0025552912150850295,0.19270420301348137,0.0020793684358920137,0.07757101571861563,0.06979435085722085,0.2013661755892677
insects.npz,0.7729105476895338,0.7213361535031066,0.1254318513211201,0.10444187230732416,343.0609173774719,-23.72265625,0.05505990193587246,11,0.034823529411764705,0.027294117647058823,0.05788235294117647,0.03411764705882353,0.1004235294117647,0.07068235294117647,-0.051574394186427175,-0.020989979013795956
mammography.npz,0.8680805850745428,0.8822371988535131,0.30771624259706637,0.2818131091742835,17.84188175201416,0.296875,0.023249575248144506,3,0.5225225225225225,0.4954954954954955,0.37668161434977576,0.37668161434977576,0.2075134168157424,0.22361359570661896,0.014156613778970373,-0.025903133422782887
mulcross.npz,0.9763467879159038,0.9795977437770793,0.6569661210237204,0.6996867521568798,434.75172877311707,92.3359375,0.09999847412109375,2,0.33384204502098436,0.46203739030904234,0.5141167493323159,0.6171308660816482,0.6784924086366064,0.742198825055314,0.0032509558611755196,0.04272063113315938
