dataset,run,AUC_Original,AUC_TopN
Friday-WorkingHours-Morning.npz,2,0.556424809354966,0.5659329263701784
Friday-WorkingHours-Morning.npz,7,0.5093752309790915,0.5980321416736221
Friday-WorkingHours-Morning.npz,0,0.5053809865751812,0.5848399005813529
Friday-WorkingHours-Morning.npz,3,0.5544055466544581,0.5954747086190941
Friday-WorkingHours-Morning.npz,8,0.5020949260501295,0.5385340261186509
Friday-WorkingHours-Morning.npz,9,0.5332860668203542,0.540126426948036
Friday-WorkingHours-Morning.npz,1,0.5594696064431314,0.5864163855944085
Friday-WorkingHours-Morning.npz,6,0.5309184236878657,0.5824097469772069
Friday-WorkingHours-Morning.npz,4,0.5592692691989283,0.5670002128726982
Friday-WorkingHours-Morning.npz,5,0.5195951624333618,0.5648298265906168
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.9288822429992908,0.9238740973565069
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9262231651992574,0.9170900244658067
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6227316657497046,0.6872463680719588
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.5543889904220284,0.6347292076258515
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6173923922367732,0.6858139175750919
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.6164723481658632,0.6912809602889418
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.9262706702183288,0.9223603381317734
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9181962608977572,0.9230123649740827
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9162322388022922,0.9149134571178402
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9177588970595598,0.9105888639379245
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.9217511476288498,0.9158632205842376
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9151582499516768,0.920470581734816
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9151851550232684,0.9283670999201415
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9273004750694429,0.9221650718071814
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6031520516767314,0.708659746739548
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6468647233834712,0.6971963039064331
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.566593664266637,0.684590735988345
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6302350379445562,0.6574716712722055
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.646315397096945,0.6537349880871299
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6195396476727328,0.6345935793344568
backdoor.npz,0,0.6242064871627954,0.8045146493257063
backdoor.npz,1,0.6776646514032973,0.6741147730577987
backdoor.npz,2,0.6687651560270917,0.6929780490957861
backdoor.npz,3,0.6525959154558927,0.6573782254601864
Tuesday-WorkingHours.npz,0,0.6373780258655081,0.6663610022335869
Tuesday-WorkingHours.npz,3,0.640257043452175,0.694905753479943
Tuesday-WorkingHours.npz,1,0.6372143716450583,0.6980982553118088
Tuesday-WorkingHours.npz,4,0.6457439162845084,0.7124210469047219
Tuesday-WorkingHours.npz,2,0.653677985335668,0.6898694715552538
Tuesday-WorkingHours.npz,5,0.6295597014873064,0.6917445694004895
backdoor.npz,4,0.6288884633674521,0.8123652936097914
campaign.npz,0,0.7040335300672143,0.7200715202586678
campaign.npz,1,0.7094332783434538,0.7312854163443068
backdoor.npz,5,0.6258619302206402,0.829825821687281
Tuesday-WorkingHours.npz,6,0.6482739486062852,0.7023278008373791
Tuesday-WorkingHours.npz,7,0.6418115213332017,0.7160582595829187
campaign.npz,3,0.7147659354679534,0.6365977323632974
campaign.npz,2,0.6975640059317364,0.7408076394811924
campaign.npz,4,0.7048929395636537,0.7352999379889649
campaign.npz,5,0.7091633953034837,0.7555176346976861
campaign.npz,6,0.7091600488540343,0.7304754546925536
campaign.npz,7,0.7030653447473895,0.7800450629639623
backdoor.npz,8,0.6409743556004931,0.7989867634362433
campaign.npz,9,0.7050116014178802,0.5848241288970952
backdoor.npz,9,0.6764773127051621,0.4752793298152791
backdoor.npz,6,0.6456360729834669,0.6655431169406778
backdoor.npz,7,0.6034665969519429,0.6341506138127491
campaign.npz,8,0.7057629309165463,0.7478815618713982
Tuesday-WorkingHours.npz,8,0.6317303276392179,0.7072672059937852
Tuesday-WorkingHours.npz,9,0.6335143954036879,0.7126544339565948
celeba.npz,0,0.784639602728153,0.8158732299573878
celeba.npz,1,0.7876978050575926,0.8214789724003281
celeba.npz,3,0.7908113690197149,0.8167845673468335
celeba.npz,2,0.7907482265211255,0.8071314409918029
celeba.npz,6,0.7843501682859046,0.8126055294513137
celeba.npz,5,0.7886716003582392,0.809850309509676
celeba.npz,4,0.7879618203758979,0.809558277743986
celeba.npz,8,0.7845084312316989,0.8056128823618224
celeba.npz,7,0.7973582242393453,0.8023472883639007
celeba.npz,9,0.7903257533744851,0.8002511217561223
census.npz,0,0.6711979075809592,0.7528697857311918
census.npz,1,0.6523901690825845,0.7474827877437322
census.npz,3,0.6571476737608131,0.761896123584606
census.npz,2,0.660769332457539,0.7741388274778129
census.npz,4,0.677453239462479,0.7558147642746798
cover.npz,0,0.8726456109453508,0.8767201952874863
census.npz,5,0.6850894050378231,0.7637594190143278
cover.npz,1,0.8824771031355809,0.8984532482297566
census.npz,7,0.6761384851349377,0.7615869004907675
census.npz,6,0.6706102643707692,0.7422821213328753
census.npz,9,0.6632265099301627,0.7164895444684343
census.npz,8,0.6722301951554452,0.7681775712133353
cover.npz,2,0.9039368171054408,0.8935705689287677
cover.npz,3,0.8952452712733626,0.8862592782547911
cover.npz,4,0.9035038757743142,0.8871392544759453
cover.npz,5,0.8681216569213823,0.8994679060874057
cover.npz,6,0.8796342043514668,0.9049766835187536
cover.npz,7,0.8902491046430004,0.9163717139512743
cover.npz,8,0.8477730173024765,0.8633198870870012
cover.npz,9,0.905546034771999,0.8763425552414086
donors.npz,3,0.7280133527279361,0.9290636506763956
donors.npz,0,0.7381102150592032,0.9191322953621517
donors.npz,1,0.7203470292981561,0.9159405154679023
donors.npz,2,0.7309268281114005,0.9114006398355443
fraud.npz,0,0.9428154518869987,0.9438245310473083
fraud.npz,1,0.9456910054389749,0.9442820098628153
donors.npz,4,0.7454344257851465,0.9126581508955612
donors.npz,5,0.7311055220415277,0.9189640139874364
donors.npz,7,0.7409130841479494,0.9317098662863342
donors.npz,6,0.7368978602094365,0.9178387309073367
donors.npz,8,0.731588816203494,0.9222224811414933
donors.npz,9,0.7317645607465122,0.9264933266012692
fraud.npz,2,0.9464991809582552,0.9438497842982756
fraud.npz,3,0.9445220211922851,0.9418069303356277
fraud.npz,4,0.9429755070988622,0.9448288705316401
fraud.npz,5,0.9400773560872094,0.9450755338497938
fraud.npz,6,0.944220540626172,0.9444949986052626
fraud.npz,7,0.9437844618408902,0.9432444676257254
fraud.npz,8,0.9431105485456487,0.9417284039845305
fraud.npz,9,0.9432970687355959,0.9450782611294097
insects.npz,0,0.747078499585196,0.7596950772683608
insects.npz,1,0.7493081270733094,0.7693421392028584
http.npz,0,0.9448640853500738,0.9489552105349908
http.npz,1,0.932325761907679,0.9514269336177394
http.npz,3,0.9447935968664747,0.9410290493866215
http.npz,2,0.9377994462896786,0.9261892009455663
http.npz,4,0.9729800820339851,0.9437865092590499
http.npz,5,0.9568491102005487,0.9387618661211399
http.npz,6,0.9563379342782773,0.9378098259389149
insects.npz,2,0.7551458989662538,0.7703681368839632
http.npz,7,0.9314684971320912,0.9574242010152587
mammography.npz,0,0.872109662744104,0.8710307819069147
http.npz,8,0.9426451310891651,0.9389285245792186
insects.npz,3,0.7539229255195398,0.7627122620319872
mammography.npz,1,0.8802787343572842,0.8674311086697793
mammography.npz,2,0.882371706843006,0.8726589623870592
http.npz,9,0.9507496497036403,0.9609080907167133
mammography.npz,3,0.8637180543524954,0.8730491059796196
mammography.npz,4,0.866064901865506,0.8828467101881
mammography.npz,5,0.8683427348079915,0.8608388087240053
mammography.npz,6,0.869614926865682,0.8721145923562842
mammography.npz,7,0.8650152465862436,0.8727476954063058
mammography.npz,8,0.8560380706906388,0.877898788019634
mammography.npz,9,0.8723219881830154,0.8684515383911153
insects.npz,4,0.7524359121568992,0.7626600618251784
insects.npz,5,0.7465234160289096,0.7491407240693833
insects.npz,6,0.7428958132895107,0.7576580116023731
insects.npz,7,0.758318866803623,0.7704522543941946
insects.npz,9,0.7454531450668331,0.7551680018792152
insects.npz,8,0.7509409169680977,0.7567940115840015
nyc_taxi.npz,0,0.6137222590034292,0.6213344433799929
nyc_taxi.npz,1,0.617715986197386,0.5962922255037161
nyc_taxi.npz,2,0.5995929044983586,0.6158855914621496
nyc_taxi.npz,3,0.6148464482066365,0.6075322106759742
nyc_taxi.npz,4,0.6067105447822213,0.6122739989748721
nyc_taxi.npz,5,0.5758307616150644,0.6004111380444466
nyc_taxi.npz,6,0.5992213528636458,0.609344108871017
nyc_taxi.npz,7,0.6149980435618311,0.5823401136183352
nyc_taxi.npz,8,0.6029943610341587,0.6113077931072357
nyc_taxi.npz,9,0.6243815100194042,0.5889903825618432
nyc_taxi_shingle.npz,1,0.6516818636099568,0.6259592775058669
nyc_taxi_shingle.npz,0,0.6484521459151812,0.6201643331560336
nyc_taxi_shingle.npz,2,0.6510528197566138,0.6290487393064461
nyc_taxi_shingle.npz,3,0.6481666523600544,0.6487075572634926
nyc_taxi_shingle.npz,5,0.6568897259108586,0.6309877962043536
nyc_taxi_shingle.npz,4,0.6576716716816451,0.6525247402200255
mulcross.npz,0,0.977204098951119,0.9910853670872755
nyc_taxi_shingle.npz,6,0.6487343821612898,0.6228138666327396
nyc_taxi_shingle.npz,7,0.6579700028664319,0.6433533076631834
mulcross.npz,2,0.9788471024759868,0.9906689642059455
mulcross.npz,1,0.9746242716477655,0.991217224911415
mulcross.npz,3,0.9781681114117243,0.9892932040848323
mulcross.npz,4,0.9787440104595929,0.9887813802524229
nyc_taxi_shingle.npz,8,0.6679630437215177,0.6324133479158588
nyc_taxi_shingle.npz,9,0.6638044181373097,0.6366227491994684
mulcross.npz,5,0.9802828316914525,0.9911523934711708
shuttle.npz,0,0.9959979368262826,0.9924240582989903
shuttle.npz,2,0.996952592652036,0.9914053297254826
shuttle.npz,1,0.9977548421846675,0.9965514803816243
shuttle.npz,3,0.9972476959208733,0.989932587471984
shuttle.npz,6,0.9971490345108504,0.9924099004397596
shuttle.npz,4,0.9970346032699807,0.9971727142489281
shuttle.npz,5,0.9962345155287411,0.9965816329979738
shuttle.npz,7,0.9975812178465552,0.9976225667928873
shuttle.npz,8,0.9967698962876206,0.9980635222531995
shuttle.npz,9,0.9965202593654833,0.997915433294909
mulcross.npz,6,0.9779092768653932,0.9900025405078187
mulcross.npz,7,0.9791166932971945,0.9904895639831668
mulcross.npz,8,0.9799408184013053,0.990253817980384
mulcross.npz,9,0.9790654396247709,0.9900815374595422
smtp.npz,0,0.8992092943394376,0.8764246017562671
smtp.npz,1,0.8879049891722558,0.8956527833259746
smtp.npz,2,0.8787394263047608,0.9050610068050096
smtp.npz,3,0.8859521406695682,0.8959304851810581
smtp.npz,4,0.9047978470659966,0.8877218986747402
smtp.npz,5,0.8938586716565398,0.8946223955595737
smtp.npz,6,0.8791248799837409,0.8968890383981947
smtp.npz,7,0.8981151315097871,0.8895540300934199
smtp.npz,8,0.8783786767024788,0.8846230263019574
smtp.npz,9,0.8956419205404762,0.8919611883186511
