dataset,AUC_AIF,AUC_MI_FS,AP_AIF,AP_MI_FS,runtime_s,memory_MB,selected_features_last,P@1%_AIF,P@1%_MI,P@2%_AIF,P@2%_MI,P@5%_AIF,P@5%_MI,AUC_diff,AP_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.49012282086956943,0.010645370385398478,0.00915857589365658,458.5446186065674,61.671875,26,0.002617801047120419,0.0,0.0075916230366492145,0.0,0.00460684745052874,0.0033504345094754477,-0.06899408182906591,-0.0014867944917418986
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9027515946669624,0.010371377864682113,0.003927415303720208,638.0839035511017,39.27734375,22,0.007623007623007623,0.004158004158004158,0.004851004851004851,0.004158004158004158,0.002079002079002079,0.0020097020097020095,-0.02203703447006533,-0.0064439625609619055
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6528532903228481,0.015146599370935602,0.017389178415816872,408.59059882164,15.27734375,25,0.04286553141514973,0.007633587786259542,0.025535661872615203,0.013208100968594072,0.010331063629960084,0.010331063629960084,0.07214311765141623,0.0022425790448812703
Tuesday-WorkingHours.npz,0.6052959927879411,0.6305439994443122,0.03864480678744831,0.0427060210920445,1077.9264628887177,28.5859375,43,0.0,0.004261045077371608,0.015025790535994617,0.08017492711370262,0.05732226956716752,0.06037228078044404,0.025248006656371058,0.004061214304596189
backdoor.npz,0.5963380148386174,0.6892103791834605,0.027625146191070565,0.03802013805303376,310.13050603866577,38.90625,66,0.002098635886673662,0.001049317943336831,0.004197271773347324,0.0026232948583420775,0.005245488879563575,0.01678556441460344,0.09287236434484314,0.010394991861963195
campaign.npz,0.7130010091830112,0.7427929803225235,0.2974125998622045,0.3427114740258667,84.22908759117126,-45.375,15,0.6618004866180048,0.6715328467153284,0.5795868772782503,0.6257594167679222,0.4424477901894123,0.4968431277319087,0.029791971139512263,0.04529887416366224
celeba.npz,0.7872573682934594,0.8393380573409153,0.09646538483721136,0.10219992183514051,350.9898171424866,-58.45703125,15,0.16641975308641976,0.1708641975308642,0.14119970377684524,0.13700320908417674,0.12538256491262711,0.11225194984697404,0.052080689047455886,0.005734536997929154
census.npz,0.6640788103752422,0.5747608205663027,0.09166539355543213,0.07386594558823557,2816.0627312660217,121.76171875,121,0.08622994652406417,0.0768716577540107,0.08705096073517127,0.06466165413533835,0.09055065490510558,0.05914194065757819,-0.08931798980893946,-0.017799447967196555
cover.npz,0.8459589406083023,0.8541943886518365,0.04308704444722577,0.0381666289098016,417.343768119812,-74.5078125,3,0.07272727272727272,0.044055944055944055,0.06398601398601399,0.045104895104895106,0.049643406516571106,0.04663683400922948,0.008235448043534155,-0.004920415537424165
donors.npz,0.7285119295973419,0.8583990978644879,0.12071910411489759,0.2104448397849195,693.4689402580261,61.42578125,3,0.22283222993702567,0.2433392539964476,0.18149523655740352,0.24826416922331665,0.1370212491119292,0.2580572240521863,0.12988716826714597,0.08972573567002193
fraud.npz,0.94359164352947,0.9326376232476603,0.12447827141080994,0.067189621218915,639.9291968345642,-29.1640625,11,0.09445224719101124,0.06530898876404495,0.058462078651685394,0.04722612359550562,0.029073033707865167,0.02556179775280899,-0.010954020281809695,-0.05728865019189494
http.npz,0.917001984023586,0.9720134152913893,0.02316585031290262,0.0651907993218577,752.8469462394714,33.44921875,1,0.0014099400775467042,0.0029961226647867464,0.0025552912150850295,0.03639087144241784,0.0020793684358920137,0.07792345104673293,0.05501143126780328,0.04202494900895508
insects.npz,0.7729105476895338,0.7796062173660107,0.1254318513211201,0.1351886123712609,391.44554471969604,-44.8125,10,0.034823529411764705,0.050823529411764705,0.05788235294117647,0.0903529411764706,0.1004235294117647,0.1388235294117647,0.006695669676476834,0.009756761050140783
mammography.npz,0.8680805850745428,0.7870742047479207,0.30771624259706637,0.1025194886629111,15.700189352035522,-0.5,2,0.5225225225225225,0.21621621621621623,0.37668161434977576,0.17040358744394618,0.2075134168157424,0.1001788908765653,-0.08100638032662211,-0.20519675393415526
mulcross.npz,0.9763467879159038,0.99297489293938,0.6569661210237204,0.8887901533041297,375.40031480789185,11.86328125,2,0.33384204502098436,0.8824876001526135,0.5141167493323159,0.9042350247996948,0.6784924086366064,0.9096665903715572,0.016628105023476225,0.23182403228040926
nyc_taxi.npz,0.6192066738567994,0.6192066738567994,0.09240712606725056,0.09240712606725056,14.408759355545044,0.484375,1,0.14563106796116504,0.14563106796116504,0.16019417475728157,0.16019417475728157,0.07945736434108527,0.07945736434108527,0.0,0.0
nyc_taxi_shingle.npz,0.6813452188068593,0.6675652688084687,0.2153844129732366,0.16929622832143426,18.322970628738403,1.28125,22,0.4019607843137255,0.39215686274509803,0.3170731707317073,0.28780487804878047,0.21052631578947367,0.17543859649122806,-0.013779949998390606,-0.04608818465180234
shuttle.npz,0.996147481557389,0.990077302536195,0.9482699278571912,0.9500315065681393,71.65319108963013,0.19140625,5,0.9836734693877551,1.0,0.9898063200815495,0.9989806320081549,0.9731051344743277,0.9625101874490628,-0.006070179021194,0.001761578710948064
smtp.npz,0.8950786325505119,0.6143833792373623,0.002263510033788161,0.0004659188744672969,98.2147741317749,0.109375,1,0.0,0.0,0.0,0.0,0.002522598276224511,0.0,-0.2806952533131496,-0.001797591159320864
