dataset,AUC_AIF,AUC_AIF_std,WRFS_mean,WRFS_std,AUC_GTNFS,AUC_GTNFS_std,AUC_WTNFS_mean,AUC_WTNFS_std,AUC_WTFS_k2_mean,AUC_WTFS_k2_std,AUC_WTFS_k4_mean,AUC_WTFS_k4_std,AUC_WTFS_k5_mean,AUC_WTFS_k5_std,AUC_GTFS_k2_mean,AUC_GTFS_k2_std,AUC_GTFS_k4_mean,AUC_GTFS_k4_std,AUC_GTFS_k5_mean,AUC_GTFS_k5_std,AUC_GFS_mean,AUC_GFS_std
Friday-WorkingHours-Morning.npz,0.54441339,0.031349449,0.57235963,0.019893752,0.550873255,0.026755543,0.554971387,0.02150467,0.580151416,0.013067066,0.572181971,0.021840709,0.56659431,0.028319067,0.555299445,0.035057263,0.551260987,0.031266716,0.537676288,0.025814674,0.576288662,0.021180289
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.920572518,0.005217393,0.919870512,0.004943957,0.919667516,0.007839857,0.922565563,0.006053273,0.92318475,0.008574972,0.927448092,0.006628757,0.928124353,0.001119889,0.921105926,0.00733897,0.92563251,0.005144863,0.921476528,0.005288903,0.913925704,0.006312511
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141,0.021216402,0.673531748,0.024983838,0.661301077,0.010992415,0.65497529,0.025616555,0.652372634,0.030138462,0.642021386,0.027238871,0.646956731,0.025332901,0.618200166,0.031037366,0.625805542,0.029613985,0.626117722,0.011130708,0.643396455,0.02019436
Tuesday-WorkingHours.npz,0.631811219,0.015880519,0.69917078,0.013984168,0.644025849,0.01339426,0.644495067,0.011738965,0.630754038,0.014311797,0.635821348,0.012284197,0.641250506,0.011325101,0.593535389,0.011583687,0.597881996,0.011378999,0.601198625,0.01390108,0.621419889,0.011276644
backdoor.npz,0.618627619,0.033295778,0.704513664,0.104190897,0.652619127,0.031728664,0.652619127,0.031728664,0.634814987,0.042130039,0.634814987,0.042130039,0.634814987,0.042130039,0.634814987,0.042130039,0.634814987,0.042130039,0.634814987,0.042130039,0.618695188,0.033252594
campaign.npz,0.708341025,0.008051627,0.716280609,0.056248161,0.72590788,0.009030821,0.730339193,0.008474956,0.72921055,0.008576264,0.733533037,0.016728133,0.734290069,0.016718178,0.736778391,0.012902615,0.73393212,0.008522307,0.736415098,0.010469826,0.749626697,0.009127726
celeba.npz,0.793206472,0.003808559,0.810149362,0.006325783,0.810493937,0.003829557,0.845334948,0.001447464,0.838851974,0.006313931,0.847423456,0.003089971,0.849168584,0.003151316,0.827165059,0.007229505,0.819875493,0.007227171,0.820984317,0.007911122,0.829981112,0.004355297
census.npz,0.664178341,0.008911976,0.754449785,0.015527706,0.693381075,0.007769274,0.664334114,0.008221272,0.663794599,0.007718322,0.663794599,0.007718322,0.663794599,0.007718322,0.699995902,0.007657712,0.695043328,0.004964109,0.697889541,0.00500917,0.690444214,0.00658524
cover.npz,0.878241951,0.01845535,0.890262129,0.014798017,0.883021144,0.015641153,0.882479178,0.019246198,0.860729473,0.031221223,0.874511115,0.016636764,0.863826769,0.032168914,0.868396012,0.023585389,0.872743353,0.020965638,0.864648653,0.02202427,0.846188327,0.078746805
donors.npz,0.733362175,0.007191581,0.920542367,0.006436305,0.80974769,0.011962584,0.883100642,0.005549161,0.884608065,0.004434867,0.863793256,0.007000423,0.858719843,0.007797358,0.811298134,0.012441548,0.792684645,0.004281418,0.791307968,0.004271019,0.915851009,0.005247831
fraud.npz,0.943260216,0.001583751,0.943821379,0.00116644,0.953284993,0.001897455,0.952904423,0.001290425,0.949745824,0.002988101,0.951331262,0.001370436,0.949382711,0.003261158,0.949639364,0.002155017,0.94996187,0.001802465,0.949103565,0.002137796,0.946864626,0.001878549
http.npz,0.943148704,0.011302019,0.944521941,0.0098013,0.966521963,0.0124997,0.980986696,0.004891291,0.941289792,0.010675515,0.946995795,0.016918376,0.952327293,0.021533099,0.918104273,0.074450792,0.921235987,0.061138383,0.905007567,0.072015149,0.955473701,0.014155021
insects.npz,0.75392413,0.005751767,0.761399068,0.006752852,0.782747389,0.030688959,0.787932909,0.012869507,0.79333337,0.010888238,0.799874194,0.007670857,0.799299938,0.004070162,0.811874369,0.009624328,0.805806701,0.00886473,0.804885853,0.012952126,0.790016335,0.004830604
mammography.npz,0.869028655,0.004430847,0.871906809,0.005598615,0.869400207,0.007331989,0.868341186,0.006786447,0.87248132,0.008324655,0.873229371,0.010004253,0.871139022,0.010166378,0.879416475,0.008226854,0.87716005,0.008846804,0.877797837,0.007449318,0.812188572,0.065733709
mulcross.npz,0.979431623,0.002725901,0.990302599,0.000762553,0.946989907,0.004096783,0.973907971,0.000973881,0.988502496,0.001273504,0.984052742,0.001573791,0.98214028,0.000730751,0.929041814,0.004216373,0.931572305,0.004534578,0.934580351,0.004698826,0.929684316,0.004578625
nyc_taxi.npz,0.609364293,0.013523123,0.604571201,0.011696647,0.609648024,0.010736534,0.609648024,0.010736534,0.616871123,0.009144019,0.616871123,0.009144019,0.616871123,0.009144019,0.616871123,0.009144019,0.616871123,0.009144019,0.616871123,0.009144019,0.609369346,0.013524707
nyc_taxi_shingle.npz,0.660870541,0.006380957,0.634259572,0.01034641,0.649408741,0.009095629,0.64827878,0.013646105,0.658079563,0.011417027,0.648536587,0.015138064,0.649580286,0.009631438,0.65835996,0.014543805,0.654063091,0.012060937,0.655481879,0.010902734,0.659642133,0.013395873
