dataset,AUC_Original_mean,AUC_Original_std,AUC_GTNFS_mean,AUC_GTNFS_std
Friday-WorkingHours-Morning.npz,0.533022003,0.02204041,0.550873255,0.026755543
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.92129585,0.005153754,0.919667516,0.007839857
Thursday-WorkingHours-Morning-WebAttacks.npz,0.612368592,0.02899034,0.661301077,0.010992415
Tuesday-WorkingHours.npz,0.639916124,0.007251898,0.644025849,0.01339426
backdoor.npz,0.644453694,0.023403308,0.652619127,0.031728664
campaign.npz,0.706285301,0.004401272,0.72590788,0.009030821
celeba.npz,0.7887073,0.003752169,0.810493937,0.003829557
census.npz,0.668625318,0.009566501,0.693381075,0.007769274
cover.npz,0.88491327,0.017646795,0.883021144,0.015641153
donors.npz,0.733510169,0.006725369,0.80974769,0.011962584
fraud.npz,0.943699314,0.001664151,0.953284993,0.001897455
http.npz,0.947081329,0.012011522,0.966521963,0.0124997
insects.npz,0.750202352,0.004579591,0.782747389,0.030688959
mammography.npz,0.869587603,0.007378882,0.869400207,0.007331989
mulcross.npz,0.978390265,0.001522295,0.946989907,0.004096783
nyc_taxi.npz,0.607001417,0.013002677,0.609648024,0.010736534
nyc_taxi_shingle.npz,0.655238673,0.006480245,0.649408741,0.009095629
shuttle.npz,0.996924259,0.000530136,0.996396155,0.000870625
smtp.npz,0.890172298,0.00903861,0.822005235,0.026215441
