dataset,AUC_Original_mean,AUC_Original_std,WRFS,WRFS_std
Friday-WorkingHours-Morning.npz,0.5330220028197468,0.02204040953160218,0.5723596302345866,0.01989375219982505
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9212958502849723,0.005153754191767824,0.9198705120030312,0.004943957361625827
Thursday-WorkingHours-Morning-WebAttacks.npz,0.6123685918615444,0.028990339928262145,0.6735317478889963,0.02498383804212702
Tuesday-WorkingHours.npz,0.6399161237052617,0.007251898136879328,0.6991707799256481,0.013984168113724611
backdoor.npz,0.6444536941878234,0.02340330791301714,0.7045136636241499,0.10419089660036307
campaign.npz,0.7062853010613346,0.0044012720223492825,0.7162806089559124,0.05624816084345418
celeba.npz,0.7887073001192156,0.0037521689754131935,0.8101493619883173,0.0063257826821508985
census.npz,0.6686253181973513,0.00956650104979483,0.7544497845331762,0.015527706484047174
cover.npz,0.8849132696224375,0.017646795384226532,0.8902621291062591,0.01479801724140593
donors.npz,0.7335101694330763,0.006725369029779004,0.9205423671161425,0.006436305186520119
fraud.npz,0.9436993142410893,0.0016641513767330285,0.9438213791270389,0.0011664403881939322
http.npz,0.9470813294851614,0.012011522142432516,0.9445219412115213,0.009801299841818085
insects.npz,0.7502023521458172,0.00457959105266149,0.7613990680741516,0.006752852416282459
mammography.npz,0.8695876027295967,0.007378881930507717,0.8719068092028819,0.005598615307017386
mulcross.npz,0.9783902654826304,0.001522294890402277,0.9903025993943974,0.0007625525498349801
nyc_taxi.npz,0.6070014171782137,0.013002677460530559,0.6045712006199583,0.011696646668015686
nyc_taxi_shingle.npz,0.6552386726120859,0.006480244645737974,0.6342595715067468,0.010346409709487862
shuttle.npz,0.9969242594393093,0.0005301358180563244,0.9950079225905737,0.002938297224831828
smtp.npz,0.8901722977945041,0.009038609597195102,0.8918440454414848,0.0074243994552044505
