dataset,AUC_AIF,,AUC_GTNFS-AIF,,AUC_WTNFS-AIF,,AUC_WTFS-AIF_k2,,AUC_WTFS-AIF_k4,,AUC_WTFS-AIF_k5,,AUC_GFS-AIF,,AUC_GTFS-AIF_k2,,AUC_GTFS-AIF_k4,,AUC_GFS-AIF,,AUC_GTNFS-AIF
Friday-WorkingHours-Morning.npz,0.54441339,,0.550873255,,0.554971387,,0.580151416,,0.572181971,,0.56659431,,0.576288662,,0.555299445,,0.551260987,,0.511490244,,0.57251214
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.920572518,,0.919667516,,0.922565563,,0.92318475,,0.927448092,,0.928124353,,0.913925704,,0.921105926,,0.92563251,,0.865807851,,0.921700731
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141,,0.661301077,,0.65497529,,0.652372634,,0.642021386,,0.646956731,,0.643396455,,0.618200166,,0.625805542,,0.551705009,,0.643841467
Tuesday-WorkingHours.npz,0.631811219,,0.644025849,,0.644495067,,0.630754038,,0.635821348,,0.641250506,,0.621419889,,0.593535389,,0.597881996,,0.535001529,,0.63174932
backdoor.npz,0.618627619,,0.652619127,,0.652619127,,0.634814987,,0.634814987,,0.634814987,,0.618695188,,0.634814987,,0.634814987,,0.591332677,,0.634814987
campaign.npz,0.708341025,,0.72590788,,0.730339193,,0.72921055,,0.733533037,,0.734290069,,0.749626697,,0.736778391,,0.73393212,,0.635931253,,0.733513876
celeba.npz,0.793206472,,0.810493937,,0.845334948,,0.838851974,,0.847423456,,0.849168584,,0.829981112,,0.827165059,,0.819875493,,0.614945889,,0.809357187
census.npz,0.664178341,,0.693381075,,0.664334114,,0.663794599,,0.663794599,,0.663794599,,0.690444214,,0.699995902,,0.695043328,,0.526109152,,0.689591625
cover.npz,0.878241951,,0.883021144,,0.882479178,,0.860729473,,0.874511115,,0.863826769,,0.846188327,,0.868396012,,0.872743353,,0.676022085,,0.882708261
donors.npz,0.733362175,,0.80974769,,0.883100642,,0.884608065,,0.863793256,,0.858719843,,0.915851009,,0.811298134,,0.792684645,,0.67068923,,0.789916738
fraud.npz,0.943260216,,0.953284993,,0.952904423,,0.949745824,,0.951331262,,0.949382711,,0.946864626,,0.949639364,,0.94996187,,0.874204301,,0.951492408
http.npz,0.943148704,,0.966521963,,0.980986696,,0.941289792,,0.946995795,,0.952327293,,0.955473701,,0.918104273,,0.921235987,,0.503325529,,0.938484848
insects.npz,0.75392413,,0.782747389,,0.787932909,,0.79333337,,0.799874194,,0.799299938,,0.790016335,,0.811874369,,0.805806701,,0.610796794,,0.790616725
mammography.npz,0.869028655,,0.869400207,,0.868341186,,0.87248132,,0.873229371,,0.871139022,,0.812188572,,0.879416475,,0.87716005,,0.756404869,,0.86454468
mulcross.npz,0.979431623,,0.946989907,,0.973907971,,0.988502496,,0.984052742,,0.98214028,,0.929684316,,0.929041814,,0.931572305,,0.812090412,,0.948908506
nyc_taxi.npz,0.609364293,,0.609648024,,0.609648024,,0.616871123,,0.616871123,,0.616871123,,0.609369346,,0.616871123,,0.616871123,,0.616364309,,0.616871123
nyc_taxi_shingle.npz,0.660870541,,0.649408741,,0.64827878,,0.658079563,,0.648536587,,0.649580286,,0.659642133,,0.65835996,,0.654063091,,0.645885693,,0.653755486
shuttle.npz,0.997146112,,0.996396155,,0.998124308,,0.995734667,,0.996403155,,0.997158609,,0.992228338,,0.992864025,,0.993067993,,0.922406864,,0.996958136
smtp.npz,0.891820077,,0.822005235,,0.912376357,,0.902989404,,0.905410123,,0.905536919,,0.903409566,,0.898074484,,0.894633661,,0.896952375,,0.833681083
