dataset,AUC_AIF,AUC_AIF_ANOVA,AP_AIF,AP_AIF_ANOVA,runtime_s,memory_MB,selected_features_last,AUC_gain
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.6591427344236578,0.010645370385398478,0.01395385108491078,226.59202361106873,59.14453125,2,0.10002583172502244
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9170584988452478,0.010371377864682113,0.00642720800518193,337.12372875213623,32.36328125,53,-0.007730130291779935
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.746122061834773,0.015146599370935602,0.02332017484667817,186.1910183429718,24.765625,53,0.16541188916334115
Tuesday-WorkingHours.npz,0.6052959927879411,0.7008262576439397,0.03864480678744831,0.05106471808969251,496.4969890117645,31.8984375,4,0.09553026485599858
backdoor.npz,0.5963380148386174,0.6924289163746498,0.027625146191070565,0.036213337385699616,135.06289958953857,25.19140625,137,0.09609090153603239
campaign.npz,0.7130010091830112,0.836123972418888,0.2974125998622045,0.408640907799356,48.22973561286926,-60.515625,9,0.12312296323587679
celeba.npz,0.7872573682934594,0.8600290149122611,0.09646538483721136,0.12792897118954633,229.21235871315002,-38.29296875,8,0.07277164661880176
census.npz,0.6640788103752422,0.8169265295091888,0.09166539355543213,0.2292722241658044,414.6776022911072,124.734375,23,0.15284771913394657
cover.npz,0.8459589406083023,0.9017851606124806,0.04308704444722577,0.0761294108512558,307.6524531841278,-83.82421875,7,0.05582622000417825
donors.npz,0.7285119295973419,0.9520403417571793,0.12071910411489759,0.3897447715994762,589.1110141277313,56.2890625,2,0.22352841215983743
fraud.npz,0.94359164352947,0.9512725887023568,0.12447827141080994,0.285746767213379,310.3147864341736,-32.51171875,20,0.007680945172886755
http.npz,0.917001984023586,0.8820132217720984,0.02316585031290262,0.018652626165819655,602.2776248455048,57.33203125,2,-0.034988762251487615
insects.npz,0.7729105476895338,0.8194005647872098,0.1254318513211201,0.16312867330441078,229.21581864356995,-39.546875,3,0.04649001709767597
mammography.npz,0.8680805850745428,0.8729184712568397,0.30771624259706637,0.23022630116951345,11.864968061447144,0.015625,4,0.004837886182296969
mulcross.npz,0.9763467879159038,0.9882078839200357,0.6569661210237204,0.8072127657783695,283.7805299758911,32.609375,1,0.011861096004131877
nyc_taxi.npz,0.6192066738567994,0.6364565091041114,0.09240712606725056,0.0942416798980674,10.904034852981567,0.01953125,0,0.01724983524731205
nyc_taxi_shingle.npz,0.6813452188068593,0.6765575493693083,0.2153844129732366,0.2397554943515047,10.923563718795776,0.06640625,15,-0.004787669437550934
shuttle.npz,0.996147481557389,0.9946448615974292,0.9482699278571912,0.9642488564167976,51.62228751182556,0.75390625,3,-0.0015026199599598167
smtp.npz,0.8950786325505119,0.8010731380835243,0.002263510033788161,0.0020889086592081204,99.89086270332336,0.19921875,2,-0.09400549446698758
