dataset,AUC_AIF,AUC_LOGISTIC,AUC_ANOVA,AP_AIF,AP_LOGISTIC,AP_ANOVA,runtime_s,memory_MB,features_logistic,features_anova
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.6180903572423349,0.6864001706166901,0.010645370385398478,0.012273018701921101,0.01521177687980432,252.53761076927185,32.16015625,65,2
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9257592813352155,0.9147853812761495,0.010371377864682113,0.015446667242944162,0.007452081489013651,402.349041223526,16.9453125,61,53
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6961020329501948,0.7229865168391003,0.015146599370935602,0.019809681984209408,0.021443913493114575,244.57586097717285,1.65234375,65,53
Tuesday-WorkingHours.npz,0.6052959927879411,0.5874335027329768,0.6905330629769263,0.03864480678744831,0.03782363271534088,0.050365021604396334,644.6931552886963,36.97265625,54,28
backdoor.npz,0.5963380148386174,0.71744461603808,0.7392035277496918,0.027625146191070565,0.041415119048990645,0.04599543886565013,164.75056648254395,29.45703125,48,137
campaign.npz,0.7130010091830112,0.6918318594017127,0.831599413548739,0.2974125998622045,0.24908510392366626,0.40793500779975644,65.01315069198608,-68.82421875,50,11
celeba.npz,0.7872573682934594,0.6863097571001329,0.8631043857828428,0.09646538483721136,0.057002766655050954,0.12531332126825048,304.05679845809937,7.37890625,34,27
census.npz,0.6640788103752422,0.5404924933391737,0.8086995843284034,0.09166539355543213,0.06211633346617954,0.21731473240225793,531.2401065826416,82.8984375,166,25
cover.npz,0.8459589406083023,0.789768062617271,0.8764814297373762,0.04308704444722577,0.06069060942124362,0.04977651186361709,368.9546413421631,-129.875,10,7
donors.npz,0.7285119295973419,0.7681846911958548,0.9515843505244144,0.12071910411489759,0.11797620363563416,0.39056913941356114,721.1482388973236,46.64453125,10,3
fraud.npz,0.94359164352947,0.9466484485818075,0.9477719448070094,0.12447827141080994,0.1100178180597783,0.28879298600154263,377.48470067977905,11.41796875,29,20
http.npz,0.917001984023586,0.9023397633608154,0.8139660960011046,0.02316585031290262,0.019699995308089312,0.010698661515500653,786.4837710857391,12.4375,2,2
insects.npz,0.7729105476895338,0.7449992117398726,0.80455322309411,0.1254318513211201,0.10559506924340448,0.14561115320481616,282.5025472640991,8.0390625,33,23
mammography.npz,0.8680805850745428,0.8658296889414713,0.8697540123521996,0.30771624259706637,0.21713252086583354,0.18598863074238034,14.416625738143921,0.0859375,6,4
mulcross.npz,0.9763467879159038,0.9653294832259269,0.9882569890538783,0.6569661210237204,0.5808280238417332,0.796988454597233,354.5457627773285,7.83984375,4,2
nyc_taxi.npz,0.6192066738567994,0.6217693027605228,0.6364565091041114,0.09240712606725056,0.08648360328621782,0.0942416798980674,13.734398603439331,0.09375,1,0
nyc_taxi_shingle.npz,0.6813452188068593,0.7010354602156109,0.6602809678116555,0.2153844129732366,0.2240069874413838,0.22371740964492437,13.61089277267456,0.18359375,48,19
shuttle.npz,0.996147481557389,0.9956105013227977,0.9955984052877268,0.9482699278571912,0.9655547765810856,0.974217619399437,65.03004670143127,-0.94921875,9,1
smtp.npz,0.8950786325505119,0.9072736861285733,0.8075224789577332,0.002263510033788161,0.0019461191750963646,0.0018430489531613646,124.35992217063904,-0.02734375,3,2
