dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.6166692686802384,0.016427702552297713,0.6477916721443423,0.029544878183403702,0.010556521709753776,0.00041473832237758887,0.01235350180643113,0.00053286813401288,0.013435300943409185,0.0011244292098203964,0.009581151832460732,0.0069020426091981005,0.008848167539267015,0.006323553572321297,0.010418848167539267,0.007528472978876609,0.009712041884816754,0.001596882480105069,0.008089005235602095,0.003023909607124854,0.009659685863874345,0.0025632774497412443,0.0046173175583708505,3.310938812866065e-05,0.004407915401528636,0.0004562479557424631,0.004627787666212961,4.4145850838214206e-05,216.2055512189865,7.781609782824078,216.2055512189865,7.781609782824078,216.2055512189865,7.781609782824078,12.4390625,10.861752712316136,,,,
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9204088059577359,0.0038658435065736783,0.9151700660430464,0.005302152216398703,0.009890466451285678,0.005453550303460256,0.012920179163770768,0.003994600186502188,0.005400743613452853,0.0015844350698602139,0.007103257103257103,0.0005478651524893244,0.007380457380457381,0.0006543874092961558,0.005578655578655578,0.0011601870181425441,0.004539154539154539,0.00024227508620239122,0.004487179487179487,0.00020741839912298408,0.004088704088704089,0.0005429734014110952,0.0020720720720720717,6.067879665772102e-05,0.002113652113652114,3.652434349928821e-05,0.002072072072072072,5.113408089900366e-05,340.45433979034425,7.396681121451604,340.45433979034425,7.396681121451604,340.45433979034425,7.396681121451604,14.465234375,20.44646184108262,,,,
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.6688079086642497,0.020978714992608172,0.7170412998136511,0.019906168300125347,0.015003693532907808,0.0009273957692855322,0.018115000300815053,0.0011283402438724078,0.021063869349496347,0.0013949297339863884,0.03100411039342337,0.00980932976145563,0.021491485613623018,0.008328204250854803,0.004110393423370523,0.004261409484650077,0.024302905782213093,0.0012514060820130696,0.019577340769004987,0.0038544858985859695,0.010096859407103023,0.00346517070676899,0.010413242545198403,0.0001469435967403823,0.010518901150504814,0.00021576346172169115,0.010143226109415355,0.0007490638562420223,193.65050132274627,2.089337778555706,193.65050132274627,2.089337778555706,193.65050132274627,2.089337778555706,2.422265625,3.693257155568096,,,,
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.6031294641937138,0.010461792317176873,0.6813742705172047,0.007126812136976122,0.03953914125981915,0.001671472192743062,0.03997348204626007,0.0010577666036115695,0.04818234978915578,0.0013971076417994752,8.970621215519175e-05,0.00028367595067668803,0.012671002466920833,0.011880312274785981,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.08235030275846603,0.008521959004301072,0.009632204530163713,0.007356351912790139,0.0592016147118188,0.0021400828661546946,0.06180309486431936,0.0005910672059891623,0.05614711818793451,0.0046669651485330465,509.404462480545,1.3338922624521754,509.404462480545,1.3338922624521754,509.404462480545,1.3338922624521754,18.553125,25.092474315073122,,,,
backdoor.npz,0.6143590606056409,0.03778549924163329,0.7037928422369654,0.04944567365871825,0.7102372375887016,0.042208181200644936,0.030156617599465658,0.005076941258619727,0.04010665164517674,0.008985710369327783,0.04223898906231703,0.00887893106972201,0.0038824763903462746,0.003283022044143355,0.007030430220356767,0.004313705097816257,0.005771248688352571,0.006202919849936411,0.005928646379853095,0.00395761220685123,0.009233997901364113,0.006364516767985172,0.018467995802728225,0.0359677865214426,0.010847671002937473,0.010160818716737897,0.019135543432647922,0.014059754261426704,0.027402433906840117,0.027883502338838396,131.54687190055847,0.5292496810716688,131.54687190055847,0.5292496810716688,131.54687190055847,0.5292496810716688,17.348828125,28.845809445299412,,,,
campaign.npz,0.7199203264931711,0.005673600047824202,0.6865110628606499,0.014858364984015174,0.830606475117276,0.007890540742113678,0.2986486312147953,0.013413759492349355,0.2504827928253322,0.01926207324389375,0.40761590899026723,0.009006126967369256,0.6265206812652069,0.04938966325289559,0.5233576642335767,0.05683520996986489,0.6705596107055961,0.02239382949608737,0.5509113001215067,0.06382719309071945,0.4603888213851762,0.051031038819368775,0.6479951397326852,0.01822195175724664,0.43788246721709567,0.02215978147797173,0.3654686741136474,0.03710957926829138,0.5532297231665857,0.014342564004652418,50.48974318504334,0.13396747691743507,50.48974318504334,0.13396747691743507,50.48974318504334,0.13396747691743507,-5.88984375,17.583713984173357,,,,
celeba.npz,0.7885202083267938,0.0043453074255005286,0.6766785736864169,0.007978280605844722,0.8648867516898514,0.005173555794860589,0.09646643268170403,0.0030428123751231576,0.054020080008561476,0.003488864599247881,0.12911034428011617,0.00686708041263945,0.1622716049382716,0.006494030571537633,0.1100246913580247,0.011969693081836711,0.20370370370370372,0.010931949855653874,0.14507529005183903,0.006611524725370898,0.09442113058504073,0.007955866156719456,0.1849913601579857,0.009698512765513246,0.12512587619705798,0.004905554561343605,0.07699674202784086,0.005161639532778778,0.15315430940862867,0.007369082751565083,242.55940959453582,1.370999520896005,242.55940959453582,1.370999520896005,242.55940959453582,1.370999520896005,7.57890625,4.4220750623420955,,,,
census.npz,0.6628653851353623,0.006219607981442671,0.554451906588121,0.006137806623373546,0.8167762588902321,0.005888180876453611,0.09059068203454224,0.0022592530172919787,0.06420966623986141,0.0009335953990789015,0.2285469706845919,0.011461079889335129,0.07593582887700534,0.008678119524672321,0.03208556149732621,0.0038496329196013803,0.43389037433155087,0.03892781688351629,0.0816374269005848,0.007128585343770797,0.035438596491228075,0.001987063444314319,0.37751044277360074,0.028389291690848868,0.08811815022721198,0.006032656599837506,0.039655172413793106,0.0013395819159771054,0.29730686982090354,0.014396588533134153,394.21712119579314,0.33373173855928034,394.21712119579314,0.33373173855928034,394.21712119579314,0.33373173855928034,20.77734375,42.703982446378454,,,,
cover.npz,0.85781338251187,0.012683747539797183,0.7989240528294793,0.03795070071976327,0.8703341003679095,0.013183868038566448,0.04264522448962443,0.005035509494836328,0.06649016529860972,0.03497390720420774,0.05276855072276833,0.009873556188819054,0.06458041958041957,0.02062775730196007,0.11755244755244754,0.04366658646956093,0.08975524475524475,0.029076883273825724,0.05847902097902098,0.014209378473713542,0.08311188811188812,0.02512029512531796,0.07875874125874126,0.017143814985281225,0.05036358551251574,0.006198902510202134,0.05274087540204168,0.010283225668289776,0.061872465389456024,0.0062565920603781825,319.5149271965027,1.398223278198236,319.5149271965027,1.398223278198236,319.5149271965027,1.398223278198236,-6.694921875,49.64666893165528,,,,
donors.npz,0.735080104366869,0.005978266926511104,0.7683981971654934,0.0023731824459089115,0.9514061685138359,0.001695005882140626,0.12358928810832019,0.002436562168395755,0.11905932327592932,0.0012994858251733615,0.39055899021802737,0.006813498165507107,0.22270305183271435,0.0069771624159411655,0.151994186985306,0.004809999567039193,0.35367350234135314,0.009453483604083622,0.1821492007104796,0.002897135296655236,0.12072501211044726,0.0030321356541759053,0.3493864040045212,0.011792984545639635,0.14423561325324546,0.003960111041229935,0.0961312407156236,0.0018594741033985851,0.38451527481754183,0.0076699639967983246,623.9490407943725,2.0525018646939546,623.9490407943725,2.0525018646939546,623.9490407943725,2.0525018646939546,28.484765625,20.35680518435148,,,,
