dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.6012645456396821,0.040485328100269884,0.5746501732626005,0.040656977672961905,0.010556521709753776,0.00041473832237758887,0.011900532651610023,0.0011763775917857406,0.011153832149672303,0.0010951165643744677,0.009581151832460732,0.0069020426091981005,0.007853403141361256,0.007229429381224425,0.0046596858638743455,0.004788660262867895,0.009712041884816754,0.001596882480105069,0.008141361256544502,0.002847539753897182,0.006989528795811518,0.0037022325799412796,0.0046173175583708505,3.310938812866065e-05,0.004523086587791854,0.00023044810692380088,0.0046173175583708505,9.1675744505383e-05,224.6936001777649,7.495247829152241,224.6936001777649,7.495247829152241,224.6936001777649,7.495247829152241,11.855078125,12.356849513766454,74.68565683646112,15.441986327112936,51.15536193029491,10.02468090673589
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9245512532468985,0.006986692490710964,0.9140719973940105,0.008040720332412278,0.009890466451285678,0.005453550303460256,0.008980689247287793,0.0043296237627940696,0.00538511490917443,0.001787312167315634,0.007103257103257103,0.0005478651524893244,0.007137907137907139,0.0005216719699993631,0.005232155232155232,0.0006624915869577265,0.004539154539154539,0.00024227508620239122,0.004573804573804574,0.00021914606099572963,0.004158004158004157,0.0004547244094485915,0.0020720720720720717,6.067879665772102e-05,0.0020720720720720726,6.891399348660807e-05,0.002092862092862093,5.466463186047235e-05,345.70684413909913,1.889086077251169,345.70684413909913,1.889086077251169,345.70684413909913,1.889086077251169,11.530078125,23.765820329532097,77.94605146406388,1.9316905829979196,52.254214729370005,5.375407166026019
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.6576027459823043,0.032801029859853836,0.6661355506141791,0.02275082354372246,0.015003693532907808,0.0009273957692855322,0.017759400565749733,0.001536817587865324,0.017959038898062378,0.0012037916132699846,0.03100411039342337,0.00980932976145563,0.020375807398708163,0.011250988707666604,0.008220786846741046,0.0038554933653537305,0.024302905782213093,0.0012514060820130696,0.018256530672145582,0.006313077366846056,0.012004696213677722,0.006405872467170812,0.010413242545198403,0.0001469435967403823,0.01026062455975581,0.0005567322295931362,0.010096266729279175,0.0011648177245157094,196.08883123397828,2.0205698027744536,196.08883123397828,2.0205698027744536,196.08883123397828,2.0205698027744536,2.07265625,3.7588564579862305,73.71864661654135,17.405921504807242,50.570375939849626,11.299634461185619
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.6976730558487185,0.011931645254560084,0.6239224105404491,0.010923688024151525,0.03953914125981915,0.001671472192743062,0.05215695322074365,0.0021834839241772703,0.03945309340494708,0.0013220303955801236,8.970621215519175e-05,0.00028367595067668803,0.0025117739403453685,0.006529683900345583,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.052231442027360395,0.018455734518185222,0.001973536667414218,0.0030705182686241585,0.0592016147118188,0.0021400828661546946,0.06091500336398296,0.0008613275769367431,0.050056066382597,0.005854852935733141,514.2910224914551,16.195882643446947,514.2910224914551,16.195882643446947,514.2910224914551,16.195882643446947,17.664453125,29.46797562363034,69.23647329121195,23.993759287528302,48.324066628374496,14.251224271164805
backdoor.npz,0.6143590606056409,0.03778549924163329,0.6933742108616464,0.06385318494727828,0.6820992647635931,0.03576617762821366,0.030156617599465658,0.005076941258619727,0.040003232969547185,0.010077966661908782,0.03537180161582436,0.004358532217589441,0.0038824763903462746,0.003283022044143355,0.005876180482686254,0.005981010003441498,0.002308499475341028,0.0017697251683348747,0.005928646379853095,0.00395761220685123,0.012224554039874082,0.01221465481845061,0.0038824763903462746,0.0016810933670091525,0.010847671002937473,0.010160818716737897,0.01961812840956777,0.01764405174970696,0.008120016785564415,0.005621397907258727,141.29446516036987,1.4462402418195903,141.29446516036987,1.4462402418195903,141.29446516036987,1.4462402418195903,7.375390625,23.65528076013859,188.04166666666666,38.29923404462571,47.19032258064516,14.661588059008846
campaign.npz,0.7199203264931711,0.005673600047824202,0.7032926140705846,0.04839725218395892,0.7893247720050722,0.010178549343603831,0.2986486312147953,0.013413759492349355,0.25044437885143706,0.05991189581213608,0.35494056940840824,0.013334328190212538,0.6265206812652069,0.04938966325289559,0.41824817518248175,0.19110197355407424,0.6099756690997566,0.04341927754822923,0.5509113001215067,0.06382719309071945,0.362089914945322,0.14178325293623156,0.5718104495747266,0.03188737062551192,0.43788246721709567,0.02215978147797173,0.3452161243322001,0.12415475235927081,0.46998542982030117,0.022793926238190876,45.75738387107849,1.8360449682221094,45.75738387107849,1.8360449682221094,45.75738387107849,1.8360449682221094,-6.419140625,20.933594280487387,36.35,29.29276787877854,28.123125,17.399977449249036
celeba.npz,0.7885202083267938,0.0043453074255005286,0.8121073755297645,0.003851035561233548,0.5413529119566961,0.026652903405499508,0.09646643268170403,0.0030428123751231576,0.11667242674638123,0.002664009918302256,0.02416024514165022,0.001668984315267352,0.1622716049382716,0.006494030571537633,0.1987160493827161,0.0066913124685251645,0.024148148148148148,0.003814173282764426,0.14507529005183903,0.006611524725370898,0.17980745494939523,0.006896378975960983,0.02199456924216243,0.003151495972029983,0.12512587619705798,0.004905554561343605,0.14526606772633036,0.002946468915976871,0.02055484253134564,0.002791163754120869,240.37222306728364,1.759166246524162,240.37222306728364,1.759166246524162,240.37222306728364,1.759166246524162,7.3453125,3.9476745370175865,34.44361567635904,12.042845721464916,24.61276864728192,6.19508910323692
census.npz,0.6628653851353623,0.006219607981442671,0.7345726537130928,0.016087892398470853,0.6851690514814945,0.009512127571550157,0.09059068203454224,0.0022592530172919787,0.13547903600859504,0.014399968004561049,0.0985572165029591,0.0045348585034345225,0.07593582887700534,0.008678119524672321,0.18706550802139038,0.05430622374872458,0.0829211229946524,0.011687192741710662,0.0816374269005848,0.007128585343770797,0.18093567251461987,0.04266195296693001,0.09236424394319132,0.010953000827934472,0.08811815022721198,0.006032656599837506,0.17028201015771186,0.031113404644949817,0.09992649024325047,0.010216554869327621,381.0238065481186,2.653724238872723,381.0238065481186,2.653724238872723,381.0238065481186,2.653724238872723,20.968359375,53.21787236240978,359.7696321642429,223.22432694159977,238.13507271171943,135.1815861165814
cover.npz,0.85781338251187,0.012683747539797183,0.8697198388738716,0.032040514440065726,0.8474377177484886,0.026688841355537722,0.04264522448962443,0.005035509494836328,0.04817204381868722,0.016509933466826266,0.04974656411268058,0.020373166646897586,0.06458041958041957,0.02062775730196007,0.06846153846153846,0.03729414330855261,0.08541958041958042,0.040674504551367764,0.05847902097902098,0.014209378473713542,0.06291958041958041,0.02304503371039927,0.07375874125874127,0.025436972820833813,0.05036358551251574,0.006198902510202134,0.05270591525660747,0.013037912729454008,0.05495734862257027,0.010367869128052418,318.8762888431549,1.2011125750551563,318.8762888431549,1.2011125750551563,318.8762888431549,1.2011125750551563,-8.242578125,55.27428553316129,9.88692927484333,0.9849444846239551,6.9264100268576545,0.6486339230769912
donors.npz,0.735080104366869,0.005978266926511104,0.8973836327337086,0.00611839464562995,0.8817101453258189,0.004535085857002991,0.12358928810832019,0.002436562168395755,0.26655971933001477,0.009672147172685866,0.21580619794992523,0.006755185889577362,0.22270305183271435,0.0069771624159411655,0.3657193605683836,0.013010426104830613,0.15691910221217503,0.016934844933476165,0.1821492007104796,0.002897135296655236,0.326368480542548,0.008800480563445071,0.16752785402874212,0.012086082265281168,0.14423561325324546,0.003960111041229935,0.2640121423496738,0.014413173218320242,0.2091874959633146,0.011010431398046326,632.578459906578,3.7926491835359766,632.578459906578,3.7926491835359766,632.578459906578,3.7926491835359766,28.59921875,20.66585836162913,7.709177346010748,3.7512850912519204,5.754568003307152,2.116216938614474
