dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.6211296532045314,0.044739356665586434,0.6035597173292909,0.025061575149675958,0.010556521709753776,0.00041473832237758887,0.012496638995188268,0.00145974235907476,0.011913624134090275,0.0008098183732561295,0.009581151832460732,0.0069020426091981005,0.0031937172774869115,0.003672807936139916,0.005968586387434555,0.005047221798783389,0.009712041884816754,0.001596882480105069,0.004424083769633508,0.003867992369735182,0.008848167539267015,0.0024270214403061038,0.0046173175583708505,3.310938812866065e-05,0.0038006491466862106,0.0013499267758786237,0.0046173175583708505,3.310938812866065e-05,231.39424290657044,6.983691309368151,231.39424290657044,6.983691309368151,231.39424290657044,6.983691309368151,12.883203125,10.075413887939893,42.88538873994638,36.16785229817062,50.98632707774799,10.38424387358059
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9252597037304003,0.0074842626802660685,0.9125250039082143,0.0073187526957484905,0.009890466451285678,0.005453550303460256,0.00787017828032024,0.002359040097782397,0.005133898993202884,0.001642571249889704,0.007103257103257103,0.0005478651524893244,0.006964656964656965,0.0004458364302522241,0.00498960498960499,0.0007157280381071688,0.004539154539154539,0.00024227508620239122,0.004521829521829522,0.00019066267058465207,0.0039847539847539856,0.00041644158875767963,0.0020720720720720717,6.067879665772102e-05,0.002065142065142065,4.382921219914603e-05,0.002072072072072072,5.113408089900366e-05,359.4127532958984,2.9003916933826024,359.4127532958984,2.9003916933826024,359.4127532958984,2.9003916933826024,14.83671875,20.208158222501616,75.94897959183673,12.262579920461516,52.278704525288376,5.274232864196808
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.6571899817229439,0.031532383617202106,0.67349027976562,0.023749660835919794,0.015003693532907808,0.0009273957692855322,0.01728900595507023,0.0018522579831579892,0.01822055805084137,0.0012651138909295914,0.03100411039342337,0.00980932976145563,0.003523194362889019,0.005417245058954022,0.004403992953611274,0.00645770666914215,0.024302905782213093,0.0012514060820130696,0.008189022600528324,0.005598937677386922,0.007924860581156443,0.005768282153598934,0.010413242545198403,0.0001469435967403823,0.008581826719887298,0.0018308555048261183,0.009744071378257805,0.001303774849257078,205.73089485168458,4.0448736764122435,205.73089485168458,4.0448736764122435,205.73089485168458,4.0448736764122435,6.162109375,2.461933667702856,48.40015037593985,34.057148344523,50.22466165413534,11.94550505633544
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.5385078077258979,0.021878410935981335,0.6184124560982565,0.01815749328227753,0.03953914125981915,0.001671472192743062,0.03135621730267819,0.0015784325494247555,0.03879147652793304,0.001780413689226369,8.970621215519175e-05,0.00028367595067668803,0.0,0.0,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.002736039470733348,0.005851520854494798,0.0003251850190625701,0.0004530250063878505,0.0592016147118188,0.0021400828661546946,0.023175599910293786,0.011620043366817268,0.042211258129625485,0.008425394618018797,566.8502686023712,16.06041280082792,566.8502686023712,16.06041280082792,566.8502686023712,16.06041280082792,19.358203125,15.901347571207586,36.680356117174036,33.39691176155655,48.51568064330844,13.997177485201545
backdoor.npz,0.6143590606056409,0.03778549924163329,0.640777410351944,0.04959747862125723,0.6556660900197139,0.06637250318322696,0.030156617599465658,0.005076941258619727,0.03240405250912393,0.006598399034794279,0.034501349632240455,0.007371317693696868,0.0038824763903462746,0.003283022044143355,0.004931794333683106,0.003636626437375315,0.004302203567681007,0.006754326282063805,0.005928646379853095,0.00395761220685123,0.006820566631689402,0.004269519277976111,0.006243441762854145,0.007454548788130924,0.010847671002937473,0.010160818716737897,0.01015526647083508,0.0037575343998614216,0.016617708770457405,0.01770619586496811,150.9634607076645,0.7090173561287835,150.9634607076645,0.7090173561287835,150.9634607076645,0.7090173561287835,1.371484375,12.331292260165185,151.54408602150536,79.05755486450293,47.75430107526882,14.262811927575738
campaign.npz,0.7199203264931711,0.005673600047824202,0.6799489039921048,0.022369003224451754,0.7872768888245217,0.014057026955062571,0.2986486312147953,0.013413759492349355,0.22645740373982087,0.03175392201502696,0.3585562675444764,0.016855497362100257,0.6265206812652069,0.04938966325289559,0.4236009732360097,0.15961618654829515,0.6328467153284671,0.04275366823130539,0.5509113001215067,0.06382719309071945,0.33669501822600245,0.08903390153441096,0.5942891859052247,0.037531602904389026,0.43788246721709567,0.02215978147797173,0.3151044196211753,0.07019152693764619,0.4878581835842642,0.0253536322959136,55.24398801326752,2.13930617858497,55.24398801326752,2.13930617858497,55.24398801326752,2.13930617858497,-2.88359375,8.891731892626275,33.388125,7.2189842765014385,28.11125,17.417954054294093
celeba.npz,0.7885202083267938,0.0043453074255005286,0.7690826412064149,0.007861696562010006,0.5196480053970671,0.022506860507436194,0.09646643268170403,0.0030428123751231576,0.08670725291911412,0.007645815483451452,0.023022170449715978,0.001440104234769446,0.1622716049382716,0.006494030571537633,0.15274074074074076,0.019250182518693107,0.024,0.0038407211412253193,0.14507529005183903,0.006611524725370898,0.13581831646507034,0.014017713456608771,0.02243890397432733,0.0031147589573354896,0.12512587619705798,0.004905554561343605,0.11547043143449502,0.008989853206855122,0.020535097245532628,0.002327469603460285,283.00240607261657,3.0062361630601826,283.00240607261657,3.0062361630601826,283.00240607261657,3.0062361630601826,7.287109375,3.8528596328612448,17.24045512010114,5.985366207879281,24.662199747155498,6.121663648972424
census.npz,0.6628653851353623,0.006219607981442671,0.6299903620538493,0.016788568622131662,0.6883556646357125,0.011897478910425613,0.09059068203454224,0.0022592530172919787,0.08332165369980994,0.005247589563926844,0.09993534752745394,0.004894449905585297,0.07593582887700534,0.008678119524672321,0.06360294117647058,0.02179848831200101,0.08559491978609626,0.00926290677873194,0.0816374269005848,0.007128585343770797,0.07099415204678362,0.018216956994601977,0.0939515455304929,0.00891083611193692,0.08811815022721198,0.006032656599837506,0.08009222133119487,0.012468026807607481,0.10256615878107458,0.009364735646688186,436.13589520454406,2.0322393935618197,436.13589520454406,2.0322393935618197,436.13589520454406,2.0322393935618197,19.6734375,42.74557701068941,45.303250641573996,28.36954893540958,233.26757912745936,137.5660901941294
cover.npz,0.85781338251187,0.012683747539797183,0.854494053461955,0.027603829781273483,0.8624542962415992,0.02272901828276822,0.04264522448962443,0.005035509494836328,0.04113257953324367,0.011641689206841496,0.05340727335764965,0.01840607648915135,0.06458041958041957,0.02062775730196007,0.055559440559440565,0.03005070218806461,0.09031468531468531,0.04013863167471139,0.05847902097902098,0.014209378473713542,0.052552447552447555,0.01957299504037097,0.07674825174825176,0.025503711578620438,0.05036358551251574,0.006198902510202134,0.04830093693189764,0.00961695925303964,0.05961403999440638,0.012698880032553232,352.01682753562926,0.7421000169514789,352.01682753562926,0.7421000169514789,352.01682753562926,0.7421000169514789,-8.0390625,61.67388104002425,9.416651745747538,1.7858717086202023,6.9250671441360785,0.6600426724249236
donors.npz,0.735080104366869,0.005978266926511104,0.7218168208273342,0.008617777029116095,0.8828914314021006,0.009869432774987415,0.12358928810832019,0.002436562168395755,0.12396909308622886,0.004741343557468874,0.21737980790052752,0.011996012593805451,0.22270305183271435,0.0069771624159411655,0.24036815759728722,0.009208880361201474,0.16072985628935896,0.02667142498717345,0.1821492007104796,0.002897135296655236,0.19275795252704667,0.008773779640904379,0.16614726303891492,0.019796536071101895,0.14423561325324546,0.003960111041229935,0.144745850287412,0.006954876432128987,0.20462442679067366,0.009860819773221488,764.4430359125138,2.8933602227945605,764.4430359125138,2.8933602227945605,764.4430359125138,2.8933602227945605,28.0140625,20.29530131264608,6.689995866060356,1.4813192420829262,5.727986771393137,2.1447432583659505
