dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.640998143552926,0.03906521417686879,0.5871565847189192,0.019092826894590634,0.010556521709753776,0.00041473832237758887,0.013243374934092661,0.0014737357380660606,0.01140762546450592,0.0005790700644601154,0.009581151832460732,0.0069020426091981005,0.0014659685863874347,0.0017241311043948997,0.007382198952879582,0.008224507104341442,0.009712041884816754,0.001596882480105069,0.0034554973821989527,0.002392262145019567,0.008141361256544504,0.0034585149093069394,0.0046173175583708505,3.310938812866065e-05,0.003968170872159983,0.0007685214478573686,0.004627787666212961,4.4145850838214206e-05,231.3781501531601,7.992821581470097,231.3781501531601,7.992821581470097,231.3781501531601,7.992821581470097,13.23125,9.532203354813936,50.83391420911528,35.53168962755482,51.15187667560322,10.024052332485889
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9249865378380605,0.007274433885307801,0.9132077718403723,0.004880962074068543,0.009890466451285678,0.005453550303460256,0.009832683203901012,0.005064801008715733,0.005204505820234357,0.0017746259845421348,0.007103257103257103,0.0005478651524893244,0.007276507276507277,0.0006326201865386536,0.005058905058905059,0.0007341302186218851,0.004539154539154539,0.00024227508620239122,0.004521829521829522,0.00023740823274537385,0.0040367290367290375,0.0004168418210353104,0.0020720720720720717,6.067879665772102e-05,0.002065142065142065,6.368236891702583e-05,0.002072072072072072,6.067879665772102e-05,347.0668531656265,1.7662449244069407,347.0668531656265,1.7662449244069407,347.0668531656265,1.7662449244069407,7.8390625,12.931457032110005,77.48952972493345,6.196760928724596,52.28766637089618,5.232834239826865
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.6550031010882774,0.04236293090484785,0.6477644557352786,0.029121153493545007,0.015003693532907808,0.0009273957692855322,0.017098355545046746,0.0019425478780517747,0.0169547553028742,0.0014557050896817263,0.03100411039342337,0.00980932976145563,0.003288314738696418,0.003965224431270495,0.002935995302407516,0.003069952464544553,0.024302905782213093,0.0012514060820130696,0.007103023187555034,0.002904975021605813,0.011388318168476666,0.006148698086310452,0.010413242545198403,0.0001469435967403823,0.007208264850903969,0.0013535656099804632,0.010483681615402678,7.923791473474468e-05,198.42309877872466,6.967623462148784,198.42309877872466,6.967623462148784,198.42309877872466,6.967623462148784,2.169140625,4.108283204965105,50.885263157894734,35.0920153628141,50.70842105263158,11.029254526107467
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.5467072464308477,0.04720638701279192,0.6166597125351203,0.011866594867507966,0.03953914125981915,0.001671472192743062,0.03359196922028936,0.003814226842522002,0.03857621362097201,0.0013555533796090276,8.970621215519175e-05,0.00028367595067668803,0.002758466023772146,0.0039002577699144307,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.01881587799955147,0.015125671414806483,0.0015474321596770574,0.0025781325378862008,0.0592016147118188,0.0021400828661546946,0.0408880915003364,0.0071126461061717565,0.04656200941915228,0.009896127461538647,521.7604328632355,9.947933540692222,521.7604328632355,9.947933540692222,521.7604328632355,9.947933540692222,18.401171875,25.17813253703641,40.744801838024124,35.29736250490646,48.370189546237796,14.203152137328523
backdoor.npz,0.6143590606056409,0.03778549924163329,0.6855124793972216,0.022625191243792583,0.6846185547352918,0.04718296551403198,0.030156617599465658,0.005076941258619727,0.03757877120616713,0.0041672093132663224,0.036678776474128,0.007726501683020244,0.0038824763903462746,0.003283022044143355,0.003777544596012592,0.0036751103285242942,0.002833158447009444,0.0027115841123909494,0.005928646379853095,0.00395761220685123,0.009338929695697797,0.009019116798433835,0.004354669464847849,0.004712529342561438,0.010847671002937473,0.010160818716737897,0.018757868233319343,0.013195557589804207,0.012253462022660512,0.01212894964763066,141.40997803211212,0.5708168689721675,141.40997803211212,0.5708168689721675,141.40997803211212,0.5708168689721675,11.33046875,27.057912950037473,162.44274193548387,71.50365770784086,47.38252688172043,14.59119140896823
campaign.npz,0.7199203264931711,0.005673600047824202,0.6662684930398569,0.03032080941269491,0.785937354643209,0.013166459085954771,0.2986486312147953,0.013413759492349355,0.21760731348528325,0.039738095729221226,0.35603397149462257,0.011609800369088782,0.6265206812652069,0.04938966325289559,0.3802919708029197,0.17700179477119943,0.6228710462287104,0.028397634063279133,0.5509113001215067,0.06382719309071945,0.3222357229647631,0.11535785286450566,0.5865127582017011,0.02191653343563144,0.43788246721709567,0.02215978147797173,0.30432248664400197,0.08860866582172437,0.4817872753763964,0.0150253581352399,50.75245418548584,1.6930786525638384,50.75245418548584,1.6930786525638384,50.75245418548584,1.6930786525638384,-5.8640625,16.852150328759976,25.9125,6.33352932810767,27.816875,17.456971107107183
celeba.npz,0.7885202083267938,0.0043453074255005286,0.721779994303078,0.024307899553772733,0.5467433195186523,0.016506409820237343,0.09646643268170403,0.0030428123751231576,0.0630203989095347,0.009562743487082092,0.02460683237700683,0.0011392776917674683,0.1622716049382716,0.006494030571537633,0.1037037037037037,0.027603323544038955,0.027358024691358025,0.0038828201826220303,0.14507529005183903,0.006611524725370898,0.0993088126388546,0.018348474712602997,0.02374722290792397,0.002948026318098859,0.12512587619705798,0.004905554561343605,0.08814295586928621,0.013310854845526163,0.021630960608154805,0.0021146054950865038,243.4327514410019,3.074047450779528,243.4327514410019,3.074047450779528,243.4327514410019,3.074047450779528,9.946875,10.928720310533528,13.338558786346397,10.328016831785474,24.585714285714285,6.236726848624987
census.npz,0.6628653851353623,0.006219607981442671,0.603513758594339,0.0168703108376897,0.6752324888472601,0.013242064621560318,0.09059068203454224,0.0022592530172919787,0.07882157787942654,0.004417252799625694,0.09466302529000795,0.00505456818858507,0.07593582887700534,0.008678119524672321,0.06610962566844919,0.02290288137491301,0.07977941176470589,0.011689953612997059,0.0816374269005848,0.007128585343770797,0.07067669172932331,0.017599378191433705,0.0852297410192147,0.011848849501313508,0.08811815022721198,0.006032656599837506,0.07719192729216787,0.010799524006368166,0.09288291900561348,0.010540727914369394,398.4232306718826,1.9412690431573782,398.4232306718826,1.9412690431573782,398.4232306718826,1.9412690431573782,21.57734375,52.22162804303878,23.646706586826348,37.657339042532044,234.99178785286568,136.69796406659307
cover.npz,0.85781338251187,0.012683747539797183,0.8541224669772065,0.021429379430380157,0.8513891712487126,0.023872058454276784,0.04264522448962443,0.005035509494836328,0.041448245406644386,0.0087522972520011,0.04737659898456913,0.014514027425714912,0.06458041958041957,0.02062775730196007,0.059580419580419576,0.026577617957594436,0.07765734265734266,0.0366147157890886,0.05847902097902098,0.014209378473713542,0.057202797202797195,0.015552738575645209,0.07127622377622378,0.023043943199323937,0.05036358551251574,0.006198902510202134,0.048944203607887,0.007439349548940104,0.05508320514613341,0.009693529280516673,325.4700017213821,0.9028219615403127,325.4700017213821,0.9028219615403127,325.4700017213821,0.9028219615403127,-7.37265625,51.386799342840845,9.579140555058192,1.565191524238985,6.929364368845121,0.6348057800824077
donors.npz,0.735080104366869,0.005978266926511104,0.732021683090671,0.011966141899393733,0.8830084160801597,0.009385705995974417,0.12358928810832019,0.002436562168395755,0.11917305982664883,0.004140564641715252,0.21740685228860648,0.012529662745620495,0.22270305183271435,0.0069771624159411655,0.17579525270466653,0.009505133016647141,0.15788793799450992,0.02293123606192367,0.1821492007104796,0.002897135296655236,0.14862748264169223,0.0068736540456337996,0.16564669788470854,0.01760615541773816,0.14423561325324546,0.003960111041229935,0.12479170703352065,0.005793759487566701,0.20561906607246655,0.011747430379838384,676.4820495128631,6.323677516901713,676.4820495128631,6.323677516901713,676.4820495128631,6.323677516901713,29.02890625,21.35112903953842,5.247457627118644,1.6138702060329853,5.727986771393137,2.140730355599498
fraud.npz,0.9425890169054162,0.0018132913975022664,0.944677302056333,0.0017054409987537424,0.948472867463933,0.0023603243243409807,0.12268165053080929,0.010876246530417667,0.12212094074481468,0.020463986823708234,0.27920999028440996,0.039870062876586856,0.09009831460674159,0.003265428463009703,0.09315308988764046,0.005004246967175221,0.12756320224719103,0.002612143497838232,0.05702247191011236,0.0018165910087725354,0.05956811797752809,0.0021881539928315045,0.07090941011235954,0.0005640487247201084,0.02904494382022472,0.0003055649601513241,0.029213483146067414,0.0003519030051117254,0.030161516853932584,0.00018799600192192213,340.7684914112091,0.6507240319329758,340.7684914112091,0.6507240319329758,340.7684914112091,0.6507240319329758,8.669921875,0.31383314809930474,25.469694244604316,8.68954856267346,19.87634892086331,1.3780453446020602
http.npz,0.9227706410268384,0.014363602847292,0.9306679866671346,0.01778488606841355,0.8074362270626464,0.02551697148007287,0.02573187153421952,0.005189006334077146,0.029502945669201176,0.007768062478393111,0.010400434836101856,0.0015727362752130034,0.005304899541769475,0.0022175918000680566,0.004758547761720128,0.002384888160049869,0.001409940077546704,0.0012844090652729084,0.0035685963521015066,0.0006065696369155398,0.0035509736540664375,0.0006258883966202633,0.0019208740858225395,0.001236941012282681,0.011633890181151758,0.014679517386297532,0.015302741946852752,0.01642410644372684,0.0014872770846549657,0.00010481289454287009,663.1788420438767,1.221471843465445,663.1788420438767,1.221471843465445,663.1788420438767,1.221471843465445,17.603515625,0.35556293585852955,2.976534296028881,0.19280817541300696,1.9986913357400722,0.047005092634680126
insects.npz,0.7602688876443179,0.014933979642298076,0.8095865504783053,0.010060903862863206,0.7589809846697642,0.011475213747446571,0.11567954827146643,0.008952608045007776,0.16053495575440932,0.015564639843100936,0.1121478506042742,0.006874043591615111,0.03632941176470588,0.009266327277978405,0.08362352941176471,0.033938261788513606,0.012894117647058825,0.004043287496495351,0.05223529411764706,0.01086890177337726,0.1278823529411765,0.04087790919564762,0.0248,0.006866396787565561,0.08532705882352941,0.013092934076135494,0.18132705882352942,0.034436148134580756,0.06510117647058823,0.016061522625049795,257.25606672763826,0.19382004372877193,257.25606672763826,0.19382004372877193,257.25606672763826,0.19382004372877193,6.9078125,0.20237407939791296,13.696024096385543,10.396570732091,19.88409638554217,6.6203456096120705
mammography.npz,0.8688387946393987,0.006565120116233335,0.862519348727808,0.010828267918096768,0.8496895576729413,0.011870032386458956,0.259626886320765,0.03823099888091362,0.22497150519625989,0.04501712641946106,0.17874167552508513,0.03248419231778148,0.43693693693693697,0.08324874640017485,0.39909909909909913,0.10359707513051332,0.3171171171171171,0.07014439072988075,0.3354260089686098,0.045623502427586615,0.30089686098654705,0.062332017793579,0.22062780269058296,0.05405194649411907,0.20966010733452595,0.01628245501812857,0.1996422182468694,0.02221898623432153,0.15724508050089447,0.02129143818436056,12.992309260368348,0.08802785972548563,12.992309260368348,0.08802785972548563,12.992309260368348,0.08802785972548563,-1.79921875,3.6733375670217683,3.074418604651163,1.8749378933287133,3.8976744186046512,0.6777144806277707
