dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.5929755500239515,0.0397426862090786,0.5818647772928285,0.04283438385846708,0.010556521709753776,0.00041473832237758887,0.011442472384047176,0.0010552768432016578,0.011392616445160066,0.001079500993424347,0.009581151832460732,0.0069020426091981005,0.0004712041884816754,0.0010601286246762613,0.009319371727748691,0.008473843510228849,0.009712041884816754,0.001596882480105069,0.0020157068062827224,0.0026726368391438815,0.009267015706806284,0.0020171983632530388,0.0046173175583708505,3.310938812866065e-05,0.003591246989843995,0.0007015753562035786,0.004627787666212961,4.4145850838214206e-05,231.17409193515778,5.789482813200496,231.17409193515778,5.789482813200496,231.17409193515778,5.789482813200496,16.16875,13.541274132932585,31.989276139410187,30.29126070026051,51.1642091152815,9.984826583772671
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9156346622417211,0.014382740462700688,0.9131283513419228,0.004757454417320246,0.009890466451285678,0.005453550303460256,0.011930669249138862,0.008577360385283313,0.004920327074843975,0.0013896169497092134,0.007103257103257103,0.0005478651524893244,0.006964656964656965,0.0008557927259340588,0.004954954954954955,0.0006744652954796227,0.004539154539154539,0.00024227508620239122,0.004383229383229383,0.00036569970429631705,0.0040367290367290375,0.0004005206949503281,0.0020720720720720717,6.067879665772102e-05,0.002016632016632017,8.29673596491937e-05,0.002065142065142065,5.4664631860472395e-05,352.8540505886078,10.327854184620191,352.8540505886078,10.327854184620191,352.8540505886078,10.327854184620191,8.1625,8.973672142491063,61.649511978704524,30.834865970021088,52.28447204968944,5.2414292452687405
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.5812433850268657,0.05378547159091722,0.6538493687417065,0.024537018370136113,0.015003693532907808,0.0009273957692855322,0.014600730297461274,0.0019445041117456098,0.017206571106765236,0.0014893939358266058,0.03100411039342337,0.00980932976145563,0.012096300645918967,0.010537637579697284,0.005167351732237228,0.0036070149147901954,0.024302905782213093,0.0012514060820130696,0.014294100381567362,0.006177044166152545,0.011828588200763133,0.005829440917181643,0.010413242545198403,0.0001469435967403823,0.009767551068325896,0.0013268275700261934,0.010096266729279175,0.0008609219691633402,201.6716187477112,2.1656712436668633,201.6716187477112,2.1656712436668633,201.6716187477112,2.1656712436668633,2.868359375,3.63015231249368,22.581804511278197,20.17880969367404,50.489624060150376,11.438845465035138
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.5940560881415762,0.013092197454632788,0.6167253850553538,0.011160503792276361,0.03953914125981915,0.001671472192743062,0.036172136144980375,0.0011492123169356138,0.03860757844601015,0.0013538507931305374,8.970621215519175e-05,0.00028367595067668803,6.727965911639382e-05,0.00015136769627955887,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.003106077595873514,0.004118681224137639,0.0016259250953128503,0.0032918813668982344,0.0592016147118188,0.0021400828661546946,0.03364880017941242,0.010809377295384297,0.04497869477461315,0.011526943807525787,553.8221618652344,10.494882783674809,553.8221618652344,10.494882783674809,553.8221618652344,10.494882783674809,20.565234375,24.770126434497673,20.542619184376797,10.057528025924507,48.361746122917864,14.152419096360424
backdoor.npz,0.6143590606056409,0.03778549924163329,0.6205477799784853,0.05621851835860701,0.6557475544444291,0.0513522340873388,0.030156617599465658,0.005076941258619727,0.03328149517199819,0.005757438763376037,0.03308530845398998,0.005587648187808148,0.0038824763903462746,0.003283022044143355,0.008289611752360966,0.00997250829950353,0.001993704092339979,0.002006244197229799,0.005928646379853095,0.00395761220685123,0.01311647429171039,0.012584526280172103,0.0037250786988457497,0.002714402514682153,0.010847671002937473,0.010160818716737897,0.020814099874108268,0.015114065069109983,0.007658413764162819,0.004140356522293934,139.05979409217835,1.6387290196648836,139.05979409217835,1.6387290196648836,139.05979409217835,1.6387290196648836,6.353515625,21.623862940418004,29.1997311827957,51.81414418440342,47.714516129032255,14.153904588079204
campaign.npz,0.7199203264931711,0.005673600047824202,0.6584778767553676,0.04978004343911865,0.7820763978782743,0.020776328787454803,0.2986486312147953,0.013413759492349355,0.20826329862804993,0.05231439844241505,0.3508253948976071,0.019899325268726488,0.6265206812652069,0.04938966325289559,0.327007299270073,0.19072901499727066,0.6099756690997566,0.027504561478618565,0.5509113001215067,0.06382719309071945,0.2865127582017011,0.14906668665151002,0.5730255164034023,0.02377035678267277,0.43788246721709567,0.02215978147797173,0.27236522583778533,0.11406308383649064,0.47430791646430304,0.015462401793941831,52.31588537693024,1.9670188510403326,52.31588537693024,1.9670188510403326,52.31588537693024,1.9670188510403326,-4.529296875,14.04238074776348,32.255,7.075130740841472,27.99125,17.402547900738558
celeba.npz,0.7885202083267938,0.0043453074255005286,0.7743720999451305,0.005066656649753592,0.5422499925500458,0.01815296137647901,0.09646643268170403,0.0030428123751231576,0.09138199121566021,0.003417404287964537,0.024276082588759913,0.0013156833374717708,0.1622716049382716,0.006494030571537633,0.15866666666666665,0.007773487178514452,0.02498765432098765,0.004878652458361865,0.14507529005183903,0.006611524725370898,0.14231054060725748,0.007883196610927347,0.02224142187114293,0.004559837220931895,0.12512587619705798,0.004905554561343605,0.12164083325106131,0.0037282791214966545,0.0216210879652483,0.002641329211283919,273.45276551246644,1.0382183639715996,273.45276551246644,1.0382183639715996,273.45276551246644,1.0382183639715996,7.7671875,4.888133628382474,27.032237673830593,5.4073132501951635,24.538558786346396,6.306416570311656
census.npz,0.6628653851353623,0.006219607981442671,0.6554130454257915,0.008750218333770914,0.6839057636963813,0.010624608336244408,0.09059068203454224,0.0022592530172919787,0.08954327606015436,0.0034678515646418095,0.09844655621132244,0.005132137720495147,0.07593582887700534,0.008678119524672321,0.0767379679144385,0.006900476755018992,0.08399064171122995,0.010271388914603202,0.0816374269005848,0.007128585343770797,0.08247284878863827,0.007959173641965935,0.09204678362573099,0.010498859874500947,0.08811815022721198,0.006032656599837506,0.08835872761293771,0.011251571182558151,0.09923148890670944,0.011397858176496259,418.6854832410812,1.1777082500964138,418.6854832410812,1.1777082500964138,418.6854832410812,1.1777082500964138,21.9140625,44.12263322485765,83.86142001710864,25.627467855339344,233.9528656971771,137.31582704969006
cover.npz,0.85781338251187,0.012683747539797183,0.8541063316640738,0.020157427308532486,0.8503214509747554,0.01612288586271369,0.04264522448962443,0.005035509494836328,0.048996785821709146,0.017404355265080676,0.04725261636089631,0.012799847930293321,0.06458041958041957,0.02062775730196007,0.07839160839160839,0.03411746619644893,0.08300699300699302,0.037258212171122226,0.05847902097902098,0.014209378473713542,0.0687237762237762,0.01974715507090045,0.07246503496503495,0.022115250252193866,0.05036358551251574,0.006198902510202134,0.05385960005593623,0.00919935704339306,0.05464270731366242,0.00970139661396755,347.20020880699155,0.7956129047432787,347.20020880699155,0.7956129047432787,347.20020880699155,0.7956129047432787,-5.405859375,53.126463944353944,5.147358997314234,1.5605202828881626,6.930170098478066,0.6298692277920296
donors.npz,0.735080104366869,0.005978266926511104,0.712639937816497,0.013314947294453764,0.8813804451415457,0.012133808254400266,0.12358928810832019,0.002436562168395755,0.1212554864502469,0.004920237740818237,0.21657247944139496,0.017584268245156666,0.22270305183271435,0.0069771624159411655,0.22302599709349263,0.008645381284872774,0.16441143226223157,0.03159621422882239,0.1821492007104796,0.002897135296655236,0.18251251412885516,0.0036699665776096712,0.16961085096076214,0.025418359999098344,0.14423561325324546,0.003960111041229935,0.15153071110249955,0.0052951476859255,0.20906801007556677,0.0192912113465331,745.9270245075226,2.507465128796655,745.9270245075226,2.507465128796655,745.9270245075226,2.507465128796655,29.492578125,21.345411731876,7.831252583712278,1.2831656068672925,5.737040099214552,2.1375819024954663
