dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.5910829960266255,0.035071790666751784,0.5512983931143249,0.042957675718806744,0.010556521709753776,0.00041473832237758887,0.011718944709859706,0.000928833041879841,0.01107247940240937,0.0007932075984608137,0.009581151832460732,0.0069020426091981005,0.013350785340314137,0.006990612653532192,0.01842931937172775,0.006997362557528256,0.009712041884816754,0.001596882480105069,0.010209424083769634,0.0019974734977765436,0.01081151832460733,0.001974662006873938,0.0046173175583708505,3.310938812866065e-05,0.004627787666212961,6.62187762573213e-05,0.004638257774055072,5.0575425771086576e-05,247.44172399044038,6.978895826603123,247.44172399044038,6.978895826603123,247.44172399044038,6.978895826603123,13.70234375,15.79496788874716,70.56756032171582,22.539589684891144,49.01823056300268,13.711551267305824
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9125469226373786,0.0050868057911328726,0.9022333760349067,0.005728670676451647,0.009890466451285678,0.005453550303460256,0.013930509506819904,0.009734186978264874,0.007444677093376807,0.0033260654192978907,0.007103257103257103,0.0005478651524893244,0.006722106722106722,0.0004067178762221993,0.005647955647955649,0.000654387409296156,0.004539154539154539,0.00024227508620239122,0.004279279279279279,0.0002456923930028026,0.00395010395010395,0.00032463546598649097,0.0020720720720720717,6.067879665772102e-05,0.002106722106722107,4.845501724047824e-05,0.0020997920997921,4.677398182332314e-05,374.93797731399536,11.745058065404066,374.93797731399536,11.745058065404066,374.93797731399536,11.745058065404066,11.868359375,26.719516774577677,77.89822380106573,2.703549480517709,52.98863232682061,3.410340363904476
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.6773662395892621,0.03050426943829346,0.697100493097583,0.017357724387594198,0.015003693532907808,0.0009273957692855322,0.018976036548276006,0.0016823409358786455,0.020076390247955742,0.0008685216379267298,0.03100411039342337,0.00980932976145563,0.024721080446271283,0.013935448769657077,0.00892542571931885,0.006671022400983611,0.024302905782213093,0.0012514060820130696,0.024449662459641912,0.0017504489469365313,0.01901966539477546,0.0066223967628428896,0.010413242545198403,0.0001469435967403823,0.010530640995538859,0.0001754442496005318,0.010648039445879314,9.665092772347541e-05,218.8439512014389,8.845745283140303,218.8439512014389,8.845745283140303,218.8439512014389,8.845745283140303,3.273828125,5.111231044154588,68.56355421686747,25.04439786610923,47.424698795180724,15.533787258618634
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.7037588315155944,0.014789124898552415,0.6596936461708072,0.01483670345632322,0.03953914125981915,0.001671472192743062,0.052287746679807665,0.0031388978806387298,0.043131699746076155,0.0021614875773312446,8.970621215519175e-05,0.00028367595067668803,2.242655303879794e-05,7.091898766917201e-05,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.009710697465799506,0.010047023453286579,0.0,0.0,0.0592016147118188,0.0021400828661546946,0.05322718098228303,0.006320206031988589,0.007808925768109441,0.007360085081065827,557.5754435777665,20.602287009974894,557.5754435777665,20.602287009974894,557.5754435777665,20.602287009974894,21.399609375,28.971217172545956,60.67551724137931,31.428098902010127,44.38057471264368,17.24191270400978
backdoor.npz,0.6143590606056409,0.03778549924163329,0.7920395667991708,0.03157939452594913,0.790474556665143,0.02504810284126781,0.030156617599465658,0.005076941258619727,0.0637395198307393,0.012363256726143962,0.06265723361381399,0.008338793238320638,0.0038824763903462746,0.003283022044143355,0.013746065057712486,0.013604762231574351,0.011647429171038826,0.016183931654638432,0.005928646379853095,0.00395761220685123,0.023819517313746062,0.01750296719264431,0.025603357817418675,0.030330351169526586,0.010847671002937473,0.010160818716737897,0.05386067981535879,0.03884566023644629,0.052748636172891314,0.02898451247276276,143.83164463043212,4.152350880986527,143.83164463043212,4.152350880986527,143.83164463043212,4.152350880986527,-0.330078125,17.64011804231231,178.6204301075269,54.985159403731075,47.13333333333333,16.466893037493254
campaign.npz,0.7199203264931711,0.005673600047824202,0.7266863773030648,0.07779712197701064,0.7924971388594308,0.01104585568186758,0.2986486312147953,0.013413759492349355,0.2645079844865018,0.0774704123059395,0.35520807068651983,0.011205031110178565,0.6265206812652069,0.04938966325289559,0.4036496350364963,0.1613091589432848,0.6357664233576641,0.013180173402426425,0.5509113001215067,0.06382719309071945,0.3850546780072904,0.1496900635893498,0.5958687727825029,0.01607076130272952,0.43788246721709567,0.02215978147797173,0.35507527926177757,0.14082077539024734,0.46114618746964553,0.02396012452315842,46.52593650817871,3.5385171381623834,46.52593650817871,3.5385171381623834,46.52593650817871,3.5385171381623834,-2.29296875,6.522880257304167,17.895,25.04419044409302,17.4425,14.826047812886616
celeba.npz,0.7885202083267938,0.0043453074255005286,0.8228407867802842,0.01569615794822725,0.7063086615049096,0.022261101890514053,0.09646643268170403,0.0030428123751231576,0.11990996986477524,0.009888069983446912,0.042987792301367886,0.0035063024645658435,0.1622716049382716,0.006494030571537633,0.19491358024691358,0.0148203921828765,0.05338271604938272,0.006265747996928654,0.14507529005183903,0.006611524725370898,0.17904221179955568,0.012325092450824604,0.05166625524561837,0.005237892481427756,0.12512587619705798,0.004905554561343605,0.15034060618027445,0.012736925301626286,0.047566393523546247,0.004653961957964787,235.69959843158722,7.709045209041744,235.69959843158722,7.709045209041744,235.69959843158722,7.709045209041744,9.01171875,7.544541852369353,30.05012658227848,15.683257822702016,22.105063291139242,8.505298404251395
census.npz,0.6628653851353623,0.006219607981442671,0.7810337961675557,0.021735664698509075,0.7040907862251,0.011712560939973434,0.09059068203454224,0.0022592530172919787,0.21723246425243184,0.03323491353843106,0.10745900580612326,0.006900134458654021,0.07593582887700534,0.008678119524672321,0.3372994652406417,0.14419585272265112,0.11540775401069521,0.023296863755284586,0.0816374269005848,0.007128585343770797,0.33999999999999997,0.10827017389035144,0.11674185463659148,0.021714834655609996,0.08811815022721198,0.006032656599837506,0.30391606522320236,0.05096833018446346,0.11656642608928094,0.01708343239478306,375.4419932842255,4.338123070007108,375.4419932842255,4.338123070007108,375.4419932842255,4.338123070007108,25.601953125,78.77671832633801,223.2625,245.68908705487834,146.6291095890411,139.75777397164188
cover.npz,0.85781338251187,0.012683747539797183,0.7977662273886736,0.022305789051910656,0.7481356667515908,0.02769915998998767,0.04264522448962443,0.005035509494836328,0.02746228317950634,0.0028467681027453673,0.026460276331229778,0.0056378300748584345,0.06458041958041957,0.02062775730196007,0.03888111888111888,0.011767291339222993,0.04293706293706294,0.01667668859359096,0.05847902097902098,0.014209378473713542,0.03365384615384616,0.006372131807205454,0.03891608391608392,0.009577413193294693,0.05036358551251574,0.006198902510202134,0.030359390295063626,0.0037014193282205775,0.0333729548314921,0.0067246415038238454,344.1794173955917,1.0975453144072942,344.1794173955917,1.0975453144072942,344.1794173955917,1.0975453144072942,-14.5453125,74.17101405285855,9.789426523297491,1.3405434198010087,6.843189964157706,0.9467725991993127
donors.npz,0.735080104366869,0.005978266926511104,0.9414367856871128,0.004764555217792889,0.9346350218454293,0.0026724928143420294,0.12358928810832019,0.002436562168395755,0.37013585376224467,0.009527278185652228,0.33558048554632314,0.0076060270626050735,0.22270305183271435,0.0069771624159411655,0.3754400129178105,0.016392003913097183,0.32551267560148556,0.01417375522422174,0.1821492007104796,0.002897135296655236,0.3685774261262716,0.02282682149863622,0.33046988535443245,0.01632914235083309,0.14423561325324546,0.003960111041229935,0.3830846735128851,0.012012984756652297,0.3420654911838791,0.009913055556302421,570.6987490653992,4.440302091939086,570.6987490653992,4.440302091939086,570.6987490653992,4.440302091939086,28.83125,19.640380085264727,5.838461538461538,3.988999714834222,4.657899090157155,2.325516932259181
