dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.624869994064821,0.024483091332583647,0.5498906762861187,0.05032849929993507,0.010556521709753776,0.00041473832237758887,0.012649295792414144,0.0008292158520374557,0.010632230538828742,0.001274920399989545,0.009581151832460732,0.0069020426091981005,0.008848167539267015,0.004493341093690541,0.008743455497382199,0.006530176291463738,0.009712041884816754,0.001596882480105069,0.008167539267015706,0.0018625469974807346,0.009790575916230365,0.002329042093606037,0.0046173175583708505,3.310938812866065e-05,0.004575437127002408,7.066784187106615e-05,0.004585907234844517,0.00010813480881464185,221.56430120468139,4.467071050588634,221.56430120468139,4.467071050588634,221.56430120468139,4.467071050588634,12.69921875,12.134426232606742,,,,
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9196043539432921,0.0035044207880043955,0.9127610995212342,0.007488634697743755,0.009890466451285678,0.005453550303460256,0.01094966438368195,0.0026016727642146644,0.005438498244082877,0.001753521309097676,0.007103257103257103,0.0005478651524893244,0.007484407484407483,0.0007157280381071684,0.005093555093555093,0.0006939625264864773,0.004539154539154539,0.00024227508620239122,0.004313929313929314,0.0003411655229323615,0.004088704088704089,0.0004634419646047327,0.0020720720720720717,6.067879665772102e-05,0.0020997920997921,4.677398182332314e-05,0.0020859320859320856,5.113408089900363e-05,334.6236573696136,5.874382736524586,334.6236573696136,5.874382736524586,334.6236573696136,5.874382736524586,10.688671875,21.547470328227494,,,,
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.6634557123137043,0.021365633935078766,0.6249003455599671,0.026988535628536005,0.015003693532907808,0.0009273957692855322,0.017775762570665925,0.0011776790013521368,0.01602241507797169,0.001234314265994409,0.03100411039342337,0.00980932976145563,0.019553728714034057,0.005975790331859959,0.0091015854374633,0.007581970619787264,0.024302905782213093,0.0012514060820130696,0.021015556207807453,0.004242596535375188,0.011945993542706191,0.004587016843288692,0.010413242545198403,0.0001469435967403823,0.01063629960084527,0.00016786108311440273,0.010378023010096266,0.00011341767822015749,183.62644004821777,1.8669274572225163,183.62644004821777,1.8669274572225163,183.62644004821777,1.8669274572225163,4.233203125,3.2325408960757973,,,,
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.6066584179747857,0.01715105125292899,0.559871628640009,0.01914107286725156,0.03953914125981915,0.001671472192743062,0.04018357932175133,0.0018833392558830005,0.03323174900398903,0.0013874383118682087,8.970621215519175e-05,0.00028367595067668803,0.014644539134335055,0.013180272605709734,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.07599237497196681,0.014166554724037907,0.00011213276519398969,0.0002179469198940458,0.0592016147118188,0.0021400828661546946,0.06200941915227629,0.0009001094487071398,0.03430814083875308,0.006578029099920509,512.0764153003693,16.143201863952815,512.0764153003693,16.143201863952815,512.0764153003693,16.143201863952815,6.93515625,52.368525768669585,,,,
backdoor.npz,0.6143590606056409,0.03778549924163329,0.6633766298702198,0.03395296101502945,0.6348444322866891,0.04520399681284657,0.030156617599465658,0.005076941258619727,0.034804390411502725,0.004768733872219861,0.03144733688785096,0.004923342635400301,0.0038824763903462746,0.003283022044143355,0.004197271773347324,0.0036684464783845808,0.0018887722980062958,0.001289897790457207,0.005928646379853095,0.00395761220685123,0.007502623294858342,0.005873941927743156,0.003987408184679958,0.002173098925079967,0.010847671002937473,0.010160818716737897,0.0180444817456987,0.018197000030287326,0.010595887536718423,0.00540146701984581,131.4853907108307,1.4786419814798204,131.4853907108307,1.4786419814798204,131.4853907108307,1.4786419814798204,-2.63515625,8.026218514842682,,,,
campaign.npz,0.7199203264931711,0.005673600047824202,0.6985694589047752,0.008003836895731479,0.6964513884433507,0.01980377919345399,0.2986486312147953,0.013413759492349355,0.2683872615598432,0.010255842506479736,0.2749517673968622,0.022853297785469753,0.6265206812652069,0.04938966325289559,0.5656934306569343,0.041785758336783135,0.5559610705596107,0.05474602743426594,0.5509113001215067,0.06382719309071945,0.504131227217497,0.03605130559630662,0.5075334143377886,0.04445310917363411,0.43788246721709567,0.02215978147797173,0.3910150558523555,0.019485436086667675,0.4036425449247207,0.031854638951702124,49.8235981464386,0.1320914394255611,49.8235981464386,0.1320914394255611,49.8235981464386,0.1320914394255611,-5.6296875,17.162913759730845,,,,
celeba.npz,0.7885202083267938,0.0043453074255005286,0.6883611239871776,0.0078089150195565045,0.4598392822670777,0.013150940921184094,0.09646643268170403,0.0030428123751231576,0.0587424994416299,0.0028915713491847166,0.01966186013654634,0.0006134447916227026,0.1622716049382716,0.006494030571537633,0.11856790123456791,0.005107922638527336,0.01762962962962963,0.002351663724838438,0.14507529005183903,0.006611524725370898,0.10128363367069859,0.0035773290819239066,0.016193532461120715,0.002022920101422759,0.12512587619705798,0.004905554561343605,0.08260440319873631,0.004447208923211248,0.015065653075328266,0.0015260606702802583,254.17342193126677,0.8345247457477618,254.17342193126677,0.8345247457477618,254.17342193126677,0.8345247457477618,7.713671875,4.69609204233758,,,,
census.npz,0.6628653851353623,0.006219607981442671,0.59232250613407,0.006420394913554878,0.663591023290383,0.005266507883455352,0.09059068203454224,0.0022592530172919787,0.0709457483562632,0.001103238639192621,0.0901143832320964,0.0015658597978616506,0.07593582887700534,0.008678119524672321,0.04141042780748663,0.005929700771913837,0.06908422459893049,0.004150759142885492,0.0816374269005848,0.007128585343770797,0.04416040100250627,0.0036402842404106247,0.07642439431913116,0.0034298226141314067,0.08811815022721198,0.006032656599837506,0.0487436514300989,0.002551552939691749,0.08384121892542101,0.0035417917044540705,381.95248148441317,0.7037178810279292,381.95248148441317,0.7037178810279292,381.95248148441317,0.7037178810279292,23.7234375,59.94404413896659,,,,
cover.npz,0.85781338251187,0.012683747539797183,0.7989240528294793,0.03795070071976327,0.8470210093240211,0.023652554110606017,0.04264522448962443,0.005035509494836328,0.06649016529860972,0.03497390720420774,0.045117554420219745,0.012289790660171739,0.06458041958041957,0.02062775730196007,0.11755244755244754,0.04366658646956093,0.07475524475524475,0.03546526399299239,0.05847902097902098,0.014209378473713542,0.08311188811188812,0.02512029512531796,0.06601398601398603,0.0212486237835024,0.05036358551251574,0.006198902510202134,0.05274087540204168,0.010283225668289776,0.05162215074814711,0.009678345120932656,315.7883706331253,1.2719133262130844,315.7883706331253,1.2719133262130844,315.7883706331253,1.2719133262130844,-10.503515625,61.254336206133935,,,,
donors.npz,0.735080104366869,0.005978266926511104,0.7693621720035695,0.0038378993065376556,0.6848595777398557,0.006058717229928998,0.12358928810832019,0.002436562168395755,0.11938764997670522,0.002506111185136909,0.08250318450160843,0.0013480174260982669,0.22270305183271435,0.0069771624159411655,0.15026642984014207,0.006998058128831712,0.0009042467301792346,0.0006286151599399939,0.1821492007104796,0.002897135296655236,0.12084611658323914,0.0046916375323031905,0.0021233650896173096,0.0010423360900750054,0.14423561325324546,0.003960111041229935,0.09659303752502746,0.004005620093072339,0.010802170122069368,0.002707532483990032,720.569580578804,1.4531897335729307,720.569580578804,1.4531897335729307,720.569580578804,1.4531897335729307,27.952734375,19.250990228106218,,,,
