dataset,mean_AUC_AIF,std_AUC_AIF,mean_AUC_LOGISTIC,std_AUC_LOGISTIC,mean_AUC_ANOVA,std_AUC_ANOVA,mean_AP_AIF,std_AP_AIF,mean_AP_LOGISTIC,std_AP_LOGISTIC,mean_AP_ANOVA,std_AP_ANOVA,mean_Prec1_AIF,std_Prec1_AIF,mean_Prec1_LOGISTIC,std_Prec1_LOGISTIC,mean_Prec1_ANOVA,std_Prec1_ANOVA,mean_Prec2_AIF,std_Prec2_AIF,mean_Prec2_LOGISTIC,std_Prec2_LOGISTIC,mean_Prec2_ANOVA,std_Prec2_ANOVA,mean_Prec5_AIF,std_Prec5_AIF,mean_Prec5_LOGISTIC,std_Prec5_LOGISTIC,mean_Prec5_ANOVA,std_Prec5_ANOVA,mean_runtime_AIF,std_runtime_AIF,mean_runtime_LOGISTIC,std_runtime_LOGISTIC,mean_runtime_ANOVA,std_runtime_ANOVA,mean_memory_delta,std_memory_delta,mean_features_log,std_features_log,mean_features_anova,std_features_anova
Friday-WorkingHours-Morning.npz,0.5476758944001405,0.018190161345890084,0.6202385225858859,0.011179755632710602,0.5977453270143631,0.02350685832758922,0.010556521709753776,0.00041473832237758887,0.012491644866669113,0.00036851531934317834,0.011718269241959905,0.000704257207957526,0.009581151832460732,0.0069020426091981005,0.009109947643979058,0.0063942019672206555,0.005026178010471205,0.005125069415142102,0.009712041884816754,0.001596882480105069,0.008324607329842932,0.002254620992630878,0.00662303664921466,0.003160813343832754,0.0046173175583708505,3.310938812866065e-05,0.004564967019160297,7.320761164067647e-05,0.004533556695633964,0.00015646886379408711,227.02173993587493,4.82694031520247,227.02173993587493,4.82694031520247,227.02173993587493,4.82694031520247,11.060546875,12.034030591888678,,,,
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9225190732410917,0.005751450490181414,0.9204274084804016,0.0034046200946020026,0.9131024810807771,0.007673419872039442,0.009890466451285678,0.005453550303460256,0.011004876332463522,0.002233822409392333,0.0053079013056001375,0.0017238991387103471,0.007103257103257103,0.0005478651524893244,0.007276507276507277,0.0007304868699857654,0.005093555093555094,0.00071292674345165,0.004539154539154539,0.00024227508620239122,0.0043485793485793485,0.0003210196837534602,0.0040887040887040895,0.0004634419646047327,0.0020720720720720717,6.067879665772102e-05,0.002113652113652114,4.900254893877669e-05,0.0020859320859320856,6.0678796657721e-05,338.4510664701462,3.1760121218127466,338.4510664701462,3.1760121218127466,338.4510664701462,3.1760121218127466,11.79921875,21.02767712552052,,,,
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5840738039372529,0.0336034988823451,0.6581402050831228,0.015392227680708843,0.660515063624949,0.02516875590360935,0.015003693532907808,0.0009273957692855322,0.01777448306766716,0.0008950304243596778,0.017586409135745343,0.0013599768861542881,0.03100411039342337,0.00980932976145563,0.028302994715208456,0.011071639626252794,0.005284791544333529,0.005611771848436661,0.024302905782213093,0.0012514060820130696,0.020956853536835924,0.004188097207334774,0.010801291458761372,0.006046660067774859,0.010413242545198403,0.0001469435967403823,0.010554120685606952,0.00017890161149976483,0.010248884714721768,0.00043943905576050116,192.90143058300018,0.5170644732872058,192.90143058300018,0.5170644732872058,192.90143058300018,0.5170644732872058,0.72890625,3.556543891024645,,,,
Tuesday-WorkingHours.npz,0.615477993871999,0.013945932324357544,0.600069346573651,0.012980489584819219,0.620948567201807,0.01224227816842834,0.03953914125981915,0.001671472192743062,0.03974449769052822,0.001577629631297878,0.038817696107336395,0.0014939521377876697,8.970621215519175e-05,0.00028367595067668803,0.0163265306122449,0.010324769776339485,0.0,0.0,0.011280556178515363,0.0072510980131879925,0.07909845256784033,0.015136695789875167,0.0007176496972415339,0.0012754468796722328,0.0592016147118188,0.0021400828661546946,0.0621978021978022,0.0006444746068616982,0.03894146669656874,0.012423236237409147,510.53960914611815,1.265519104951319,510.53960914611815,1.265519104951319,510.53960914611815,1.265519104951319,21.458203125,27.697931544029828,,,,
backdoor.npz,0.6143590606056409,0.03778549924163329,0.6705283018693703,0.039286715313419734,0.6946025406630747,0.04780622272734707,0.030156617599465658,0.005076941258619727,0.03523023341947347,0.0053980256867614245,0.03892677475350108,0.00972775924573997,0.0038824763903462746,0.003283022044143355,0.004721930745015739,0.002675246334518775,0.0025183630640083945,0.002433372106460453,0.005928646379853095,0.00395761220685123,0.004931794333683106,0.0028112670580496845,0.005561385099685205,0.007711673877037321,0.010847671002937473,0.010160818716737897,0.011162400335711286,0.008644180882600994,0.014519513218631975,0.01613316978556045,132.26480302810668,0.59328154055934,132.26480302810668,0.59328154055934,132.26480302810668,0.59328154055934,-3.4125,7.560968686432549,,,,
campaign.npz,0.7199203264931711,0.005673600047824202,0.7005857241822752,0.00955404819816806,0.7904077585263403,0.02021998673504948,0.2986486312147953,0.013413759492349355,0.26265520447242563,0.016305375399391833,0.36030112141369347,0.018262306971769292,0.6265206812652069,0.04938966325289559,0.5257907542579076,0.053324220800439824,0.6201946472019465,0.033605427439413776,0.5509113001215067,0.06382719309071945,0.47958687727825033,0.04656188652709679,0.5912515188335358,0.029614856604708455,0.43788246721709567,0.02215978147797173,0.3836813987372511,0.028361878579584318,0.48120446818844104,0.020276857649426785,50.74200522899628,0.11364645568644446,50.74200522899628,0.11364645568644446,50.74200522899628,0.11364645568644446,-5.180859375,15.809964470841852,,,,
celeba.npz,0.7885202083267938,0.0043453074255005286,0.6831849420858613,0.007165935160672562,0.5515876568167618,0.020495522834424733,0.09646643268170403,0.0030428123751231576,0.05668578374760254,0.0031128935093799204,0.025141490172862713,0.0015692245255762027,0.1622716049382716,0.006494030571537633,0.11407407407407406,0.008253465769034848,0.028345679012345675,0.006435350894104203,0.14507529005183903,0.006611524725370898,0.09708713897803012,0.004788135058124219,0.025549247099481608,0.004277591946209177,0.12512587619705798,0.004905554561343605,0.08049165761674401,0.004850461600596459,0.023289564616447822,0.0032956328610701247,255.82825603485108,0.832703386388154,255.82825603485108,0.832703386388154,255.82825603485108,0.832703386388154,9.265625,9.559420176239914,,,,
census.npz,0.6628653851353623,0.006219607981442671,0.5728649765655869,0.005768326282010484,0.6837598040381169,0.008359344804978752,0.09059068203454224,0.0022592530172919787,0.06794279878545831,0.001081195266276987,0.09826262146199205,0.0031457534378630746,0.07593582887700534,0.008678119524672321,0.039872994652406415,0.004377789422311794,0.08459224598930482,0.009012985320895959,0.0816374269005848,0.007128585343770797,0.04307435254803676,0.0035468444925351363,0.09246449456975772,0.007587258067315761,0.08811815022721198,0.006032656599837506,0.046531676022453894,0.002634762388129573,0.10042101042502005,0.008284401400228082,391.89080317020415,0.629820148348001,391.89080317020415,0.629820148348001,391.89080317020415,0.629820148348001,21.21328125,49.40627811159507,,,,
cover.npz,0.85781338251187,0.012683747539797183,0.7989240528294793,0.03795070071976327,0.8596353514962309,0.022555008889916996,0.04264522448962443,0.005035509494836328,0.06649016529860972,0.03497390720420774,0.04976503949062043,0.016550569711705508,0.06458041958041957,0.02062775730196007,0.11755244755244754,0.04366658646956093,0.07944055944055944,0.03621683055093748,0.05847902097902098,0.014209378473713542,0.08311188811188812,0.02512029512531796,0.07185314685314685,0.021092834244029843,0.05036358551251574,0.006198902510202134,0.05274087540204168,0.010283225668289776,0.05581037617116487,0.009108431126310728,318.0671867609024,1.434037267545527,318.0671867609024,1.434037267545527,318.0671867609024,1.434037267545527,-7.08203125,51.27161647545218,,,,
donors.npz,0.735080104366869,0.005978266926511104,0.7704335666541773,0.0026876131558060817,0.885576818775532,0.006563556248135584,0.12358928810832019,0.002436562168395755,0.12017565115857912,0.001829421404787197,0.22038299059383232,0.009019461917154374,0.22270305183271435,0.0069771624159411655,0.14871629258840627,0.007426180711989747,0.16433069594703698,0.01936565610066763,0.1821492007104796,0.002897135296655236,0.12048280316486355,0.004889870985358514,0.17024059421927984,0.01318968831131485,0.14423561325324546,0.003960111041229935,0.09873086611121876,0.0029298039029216198,0.2106180972679713,0.011945795498390508,693.1802683591843,0.9758385336409009,693.1802683591843,0.9758385336409009,693.1802683591843,0.9758385336409009,28.4515625,19.720875245901478,,,,
fraud.npz,0.9425890169054162,0.0018132913975022664,0.9451728627028105,0.002808527276282054,0.9485077151630599,0.0026679321178104173,0.12268165053080929,0.010876246530417667,0.12761492292750512,0.012613889171915076,0.2787161221630958,0.023522728394184293,0.09009831460674159,0.003265428463009703,0.09139747191011235,0.003554084681535117,0.1284058988764045,0.002814104657797739,0.05702247191011236,0.0018165910087725354,0.05977879213483146,0.00128278968965256,0.07147120786516854,0.001165867817126686,0.02904494382022472,0.0003055649601513241,0.02887640449438202,0.00030304405117382514,0.030119382022471906,0.00026781727031767016,327.41377432346343,1.3238521551525297,327.41377432346343,1.3238521551525297,327.41377432346343,1.3238521551525297,8.69453125,0.36231062462378577,,,,
http.npz,0.9227706410268384,0.014363602847292,0.9051690563986815,0.03119855367710551,0.8058885006269598,0.03633634408821324,0.02573187153421952,0.005189006334077146,0.02269422708869428,0.0072483892925388925,0.010525016808722547,0.002133414261141511,0.005304899541769475,0.0022175918000680566,0.001868170602749383,0.0014418892216324704,0.0019034191046880505,0.0018274156658753835,0.0035685963521015066,0.0006065696369155398,0.002282139395541457,0.0012724529017037272,0.002185214556348577,0.0011509599215385636,0.011633890181151758,0.014679517386297532,0.014707126242334532,0.013185300710883759,0.0015084232043420032,0.00012186088183914798,635.1342427253724,2.5163594598592436,635.1342427253724,2.5163594598592436,635.1342427253724,2.5163594598592436,17.540234375,0.23926503142454147,,,,
