dataset,AUC_Original_mean,AUC_Original_std,AUC_TopN_mean,AUC_TopN_std
Friday-WorkingHours-Morning.npz,0.5330220028197468,0.02204040953160218,0.5508732545150327,0.026755543053694236
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9212958502849723,0.005153754191767823,0.9196675158850625,0.007839857219336107
Thursday-WorkingHours-Morning-WebAttacks.npz,0.6123685918615444,0.028990339928262145,0.6613010768604046,0.010992414660594864
Tuesday-WorkingHours.npz,0.6399161237052617,0.007251898136879328,0.6440258491155573,0.013394259996339222
backdoor.npz,0.6444536941878234,0.02340330791301714,0.6526191267653754,0.03172866388090957
campaign.npz,0.7062853010613347,0.0044012720223492825,0.7259078796471716,0.009030820770320889
celeba.npz,0.7887073001192156,0.003752168975413193,0.8104939374739788,0.003829556852876465
census.npz,0.6686253181973513,0.00956650104979483,0.6933810747457905,0.007769274315327693
cover.npz,0.8849132696224375,0.017646795384226532,0.8830211438064873,0.015641152631445346
donors.npz,0.7335101694330763,0.006725369029779004,0.8097476904434793,0.01196258422203741
fraud.npz,0.9436993142410893,0.0016641513767330285,0.9532849929276599,0.0018974550000742578
http.npz,0.9470813294851614,0.012011522142432516,0.9665219632909785,0.012499700270142538
insects.npz,0.7502023521458172,0.00457959105266149,0.7827473887445076,0.03068895931790874
mammography.npz,0.8695876027295967,0.007378881930507717,0.8694002070437117,0.00733198943774125
mulcross.npz,0.9783902654826304,0.001522294890402277,0.9469899071656386,0.0040967829945296194
nyc_taxi.npz,0.6070014171782137,0.013002677460530559,0.6096480241881354,0.010736534123678034
nyc_taxi_shingle.npz,0.6552386726120859,0.006480244645737974,0.6494087409312684,0.00909562906171154
shuttle.npz,0.9969242594393093,0.0005301358180563244,0.9963961550453281,0.0008706249000143947
smtp.npz,0.8901722977945041,0.009038609597195102,0.8220052351617854,0.026215440815545558
