window,original_run_0,random_run_0,tournament_run_0,original_run_1,random_run_1,tournament_run_1,original_run_2,random_run_2,tournament_run_2,original_run_3,random_run_3,tournament_run_3,original_run_4,random_run_4,tournament_run_4,original_run_5,random_run_5,tournament_run_5,original_run_6,random_run_6,tournament_run_6,original_run_7,random_run_7,tournament_run_7,original_run_8,random_run_8,tournament_run_8,original_run_9,random_run_9,tournament_run_9,original_mean,original_std,random_mean,random_std,tournament_mean,tournament_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
50,0.34600374014147495,0.365761444019839,0.365761444019839,0.36551752174973573,0.36551752174973573,0.36551752174973573,0.3461663549882104,0.3461663549882104,0.3461663549882104,0.3458411252947394,0.3458411252947394,0.3458411252947394,0.20769981299292628,0.30648833238474676,0.30648833238474676,0.207455890722823,0.28648670623627936,0.28648670623627936,0.3062444101146435,0.3062444101146435,0.3062444101146435,0.36568013659647125,0.41625335393121393,0.36568013659647125,0.28648670623627936,0.3062444101146435,0.3062444101146435,0.3062444101146435,0.34575981787137167,0.34575981787137167,0.30833401089519474,0.05925958425894495,0.33907634767054234,0.03871798450478146,0.33401902593706806,0.02979083971012528
100,0.2987660180351211,0.3154451149230456,0.3154451149230456,0.31266526544172485,0.31266526544172485,0.31266526544172485,0.2967319818292766,0.2967997830361381,0.2967997830361381,0.29768119872533727,0.2978168011390602,0.2978168011390602,0.1811309241304495,0.26289917960539705,0.26289917960539705,0.18119872533731096,0.24689809478608718,0.24689809478608718,0.26269577598481253,0.26269577598481253,0.26269577598481253,0.3135466811309241,0.4281985219336904,0.31320767509661673,0.24676249237236422,0.2633059868465659,0.2633059868465659,0.26262797477795113,0.2955793613126314,0.2955793613126314,0.26538070377652717,0.049713233179493097,0.2982303885009153,0.051393249703057656,0.286731303817208,0.025345849880551198
150,0.26126518983661845,0.2758009186580616,0.2758009186580616,0.27033548462119883,0.27027734170591317,0.27027734170591317,0.25911390197104484,0.25911390197104484,0.25911390197104484,0.26033490319204605,0.2593464736321879,0.2593464736321879,0.1581778010349439,0.2282400139542997,0.2282400139542997,0.15724751439037152,0.21358799930228498,0.21358799930228498,0.22707715564858424,0.22707715564858424,0.22707715564858424,0.2715564858422001,0.4329612186755043,0.2709169137740566,0.21480900052328625,0.22899587185301473,0.22899587185301473,0.22701901273329847,0.25521832664689803,0.25521832664689803,0.23069364497935924,0.04319718011966871,0.2650619222047793,0.06258031481032829,0.24885749171463462,0.0222733864901359
200,0.23713674996183012,0.24726449183164534,0.24726449183164534,0.243651076390656,0.24349839686498037,0.24349839686498037,0.23484655707669605,0.23484655707669602,0.23484655707669602,0.2334724413456156,0.23230189831543593,0.23230189831543593,0.14166115323935058,0.20298742938571945,0.20298742938571945,0.14481653010331313,0.1941320168965342,0.1941320168965342,0.2055829813222047,0.2055829813222047,0.2055829813222047,0.2452796579978625,0.43394065855768743,0.24466893989516003,0.1948954145249122,0.2072624561046364,0.2072624561046364,0.20517583592040306,0.2298590259046262,0.2298590259046262,0.2086518397882844,0.03866321506246826,0.24316759122601664,0.06951929598941357,0.22424041935976388,0.01978188035641227
250,0.21247567763247205,0.2217068645640074,0.2217068645640074,0.21709127109823972,0.2169555183492466,0.2169555183492466,0.20917236074030499,0.20917236074030499,0.20917236074030499,0.2093533644056292,0.2081768405810218,0.2081768405810218,0.12735870401375626,0.18184080727634735,0.18184080727634735,0.12885198425268113,0.17270012217747413,0.17270012217747413,0.18288157835196167,0.18288157835196167,0.18288157835196167,0.21885605683515094,0.430947101678809,0.21817729309018508,0.17328838408977787,0.1842843567582244,0.1842843567582244,0.18242906918865112,0.2043757636092131,0.2043757636092131,0.18617584506086252,0.03450915564524481,0.22130413140866106,0.07552908405014352,0.20002715054979867,0.01787078878623059
300,0.19265550531589884,0.20149496924518312,0.20149496924518312,0.19591429386125708,0.19579208929080613,0.19583282414762312,0.18919304248645566,0.18915230762963867,0.18915230762963867,0.19000773962279524,0.1889486333455538,0.18890789848873682,0.11570736078862683,0.16483359810990267,0.16483359810990267,0.11615544421361358,0.15558678561244857,0.15562752046926556,0.16462992382581776,0.16462992382581776,0.16462992382581776,0.1977473624180211,0.4335614485315084,0.19705486985213247,0.15603486903743533,0.16589270438714407,0.16589270438714407,0.16422257525764797,0.18397898081388245,0.18397898081388245,0.16822681168275694,0.03126259270395596,0.2043871440791886,0.08198811491184226,0.18074055969693267,0.016453086630356037
350,0.1778769584058669,0.1862106003926071,0.18595133153079743,0.17961776362087484,0.17946960998555503,0.179506648394385,0.17517315456128008,0.17454350161117077,0.17454350161117077,0.17483980888181042,0.17398792547872144,0.1737656950257417,0.10720767435830955,0.1519130338160673,0.1519130338160673,0.10683729027000997,0.14254231638208822,0.14257935479091816,0.1509500351864884,0.15095003518648842,0.15095003518648842,0.18165487610652245,0.4327752879736287,0.18080299270343347,0.14294973887921775,0.15187599540723729,0.15187599540723729,0.15054261268935884,0.1684692025630579,0.1684692025630579,0.1547649912959739,0.02872305719345216,0.1912737508796622,0.08608065856939937,0.16603577910292977,0.015318665293790971
400,0.1713300960983395,0.17924207952731844,0.17795171313117594,0.16980203062922336,0.16949641753540015,0.16953037454582495,0.16807022309755845,0.1669835987639648,0.1669835987639648,0.16593093144079596,0.1646745220550783,0.16440286597167983,0.1021257088525926,0.1432136914666033,0.1432136914666033,0.10300859112363744,0.13574314917314678,0.13581106319399638,0.14477571394614416,0.1436211755917009,0.1436211755917009,0.17275629053618113,0.43079561275425315,0.1718734082651363,0.1379163978403341,0.145658596217189,0.14579442425888822,0.14419844476892255,0.1593432714183843,0.1594111854392339,0.14799144283337295,0.027104799915431185,0.1838772114503039,0.08787912216303585,0.15785935006282045,0.014581943620595608
450,0.1595818050722593,0.16707420295307063,0.16588294303896672,0.15707388946361953,0.15679174895764755,0.15682309790275556,0.15632151478102763,0.15491081225116776,0.15491081225116776,0.15425248440389985,0.15318662027022792,0.15284178187403996,0.09525376971064922,0.13321734223643375,0.13321734223643375,0.09515972287532527,0.12538010595943447,0.12544280384965045,0.13371892535816168,0.13259036333427382,0.13259036333427382,0.16033417975485129,0.43328944481018217,0.15920561773096337,0.12732374055613027,0.13447130004075364,0.1345966958211856,0.13337408696197375,0.14729301858992444,0.14735571648014045,0.13723941189378977,0.025251354420380543,0.1738204959403116,0.0921291585295855,0.14628671745195773,0.013783790878802285
