window,original_run_0,random_run_0,tournament_run_0,original_run_1,random_run_1,tournament_run_1,original_run_2,random_run_2,tournament_run_2,original_run_3,random_run_3,tournament_run_3,original_run_4,random_run_4,tournament_run_4,original_run_5,random_run_5,tournament_run_5,original_run_6,random_run_6,tournament_run_6,original_run_7,random_run_7,tournament_run_7,original_run_8,random_run_8,tournament_run_8,original_run_9,random_run_9,tournament_run_9,original_mean,original_std,random_mean,random_std,tournament_mean,tournament_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
150,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
200,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
250,0.5239709205226447,0.5375282444247962,0.523774437567541,0.5427350427350428,0.542636801257491,0.542636801257491,0.5260339915512329,0.5324196875921015,0.5260339915512329,0.5265251989389921,0.548138324000393,0.5264269574614402,0.5445033893309755,0.5445033893309755,0.5445033893309755,0.5496119461636704,0.5494154632085667,0.5494154632085667,0.5236761960899892,0.5084487670694567,0.5235779546124374,0.5455840455840456,0.5455840455840456,0.5455840455840456,0.5471559092248748,0.5463699774044601,0.5469594262697711,0.5491207387759112,0.5454858041064937,0.5454858041064937,0.5378917378917378,0.011261028611282977,0.540053050397878,0.012215616567115548,0.5374398270949995,0.01091521813913451
300,0.4966542494481237,0.5303876931567328,0.4965162803532009,0.5288010485651214,0.5286630794701986,0.5286630794701986,0.49844784768211914,0.5388727924944812,0.49886175496688745,0.497275110375276,0.5632243377483444,0.49706815673289184,0.5117618653421634,0.511692880794702,0.511692880794702,0.5325262141280354,0.5321812913907285,0.5321812913907285,0.4938948675496688,0.4664390176600442,0.4934809602649006,0.5100372516556292,0.5098992825607064,0.5098992825607064,0.5118308498896248,0.5468749999999999,0.5270074503311258,0.5170046909492274,0.5145212472406181,0.5145212472406181,0.509823399558499,0.013535880404341016,0.5242756622516557,0.026172809632837107,0.5109892384105961,0.014487879115896623
350,0.4876739261947973,0.5660667473280905,0.49851280500100825,0.5362220205686631,0.5357178866706997,0.5357178866706997,0.4972020568663037,0.5629915305505142,0.497554950594878,0.49936983262754586,0.609573502722323,0.5101582980439605,0.5188798144787256,0.5187285743093366,0.5187285743093366,0.5279038112522686,0.5274500907441017,0.5274500907441017,0.49523593466424687,0.48535491026416616,0.49442932042750554,0.5061252268602541,0.5060244000806615,0.5060244000806615,0.5087467231296632,0.5636469046178664,0.5192831215970962,0.5175186529542246,0.5155021173623714,0.5155021173623714,0.5094877999596694,0.015458554453338307,0.539105666465013,0.036467062141847424,0.512336156483162,0.013536322170593819
400,0.5089256800518135,0.5704946567357513,0.5161309909326426,0.5494454339378239,0.5488787240932642,0.5488787240932642,0.5158476360103627,0.6084642163212435,0.5148356541450777,0.5187216645077721,0.6274085168393781,0.5259269753886011,0.5417543717616581,0.5417543717616581,0.5417543717616581,0.5421186852331605,0.550376457253886,0.550376457253886,0.5145118199481865,0.48411188471502586,0.5137022344559585,0.5236601360103627,0.5235791774611399,0.5235791774611399,0.5259674546632125,0.5844195272020726,0.534346664507772,0.5324846178756477,0.5306225712435233,0.5306225712435233,0.52734375,0.013608516988153052,0.5570110103626943,0.04217360011931918,0.5300153821243523,0.01364140210016907
450,0.5198172757475084,0.5713455149501662,0.5258305647840531,0.5534053156146179,0.5527740863787376,0.5527740863787376,0.5232724252491694,0.6153322259136214,0.5225415282392026,0.5273588039867109,0.6230730897009967,0.5331395348837209,0.5455647840531561,0.5457308970099668,0.5457308970099668,0.5564285714285715,0.563172757475083,0.563172757475083,0.5234385382059801,0.493671096345515,0.5228737541528239,0.5295847176079734,0.528687707641196,0.528687707641196,0.5389867109634551,0.5866279069767442,0.5455647840531562,0.538953488372093,0.5370930232558139,0.5370930232558139,0.5356810631229235,0.013020800142892109,0.5617508305647841,0.03946529015883936,0.5377408637873754,0.013724636772481745
500,0.5319157894736841,0.5648421052631579,0.5370245614035087,0.5646456140350877,0.5640561403508771,0.5641684210526317,0.5335157894736843,0.6172210526315789,0.5335157894736842,0.5351719298245614,0.6154526315789474,0.5391859649122805,0.5549894736842105,0.5551859649122808,0.5551298245614035,0.5718035087719299,0.5774456140350877,0.5769122807017544,0.5315228070175438,0.49469473684210535,0.5306526315789474,0.5414596491228071,0.5402807017543859,0.5402245614035088,0.5519017543859649,0.597178947368421,0.5572912280701755,0.548561403508772,0.5467649122807018,0.5466245614035088,0.5465487719298245,0.014276406785491667,0.5673122807017545,0.03710801224844865,0.5480729824561403,0.014928221435222698
550,0.5589907432153356,0.5849145994800651,0.5629995869676133,0.5867368011856459,0.5859107364124493,0.5861294006171189,0.5588692631016302,0.6416944046259627,0.5586505988969606,0.554666051167424,0.6302266818921742,0.5577759420782817,0.5768726159527685,0.5765081756116524,0.5766296557253578,0.5938312398260405,0.5984474841468452,0.597159794941568,0.5595495517383805,0.5110546903471902,0.5579946062829515,0.566643990378775,0.5656478534463909,0.5656721494691319,0.5711387545858743,0.6117617046089555,0.5803469472047424,0.5744673097014019,0.5725722199275978,0.571989115381812,0.5701766320853277,0.012982572419918133,0.5878738550499285,0.03673320241168374,0.5715347797565539,0.013413620012820354
600,0.5770031894812211,0.6057519147735902,0.5800841849465166,0.6023888563431622,0.6006530842500379,0.6006747814012021,0.5739004968647616,0.6575647117533467,0.5738571025624336,0.574876868667144,0.6390136475080822,0.5777625897719629,0.591084640586691,0.590260148842457,0.5905205146564257,0.6088329102388856,0.6127817917507431,0.6113280826227516,0.5755928746555579,0.5139946625008136,0.5731627937251839,0.5809520709930786,0.5796068476209074,0.5795417561674152,0.5898479029703398,0.6283603462865326,0.5978541517498752,0.5904554232029334,0.5886762568074813,0.5878300679120831,0.5864935234003776,0.012169478868149758,0.6016663412093993,0.039221704433597196,0.587261602551585,0.012745605844550478
650,0.5784126225197227,0.6150076316225014,0.5851983302377757,0.6052796116147777,0.6036797293072693,0.603459055885544,0.581134261387668,0.6600617885580831,0.5811894297430994,0.5821640706890527,0.6590503687085087,0.5850144357196713,0.5897405248349548,0.5888394416962429,0.588839441696243,0.6066588205005609,0.6092701226576437,0.6079644715791022,0.574054322440648,0.5162378859486199,0.5727118924584859,0.5835248901230254,0.5816859449419812,0.5819801761709483,0.5933080784861803,0.6290387833538682,0.6038820132771843,0.5970595266555104,0.5950182975045515,0.5942827194321337,0.5891336729252101,0.011228868250677173,0.6057889994299269,0.04140325625585392,0.5904521966200188,0.01156122229754965
700,0.5743436320866422,0.610844476721239,0.5801692426706241,0.6054135552012125,0.6043715760723702,0.6043873636349284,0.575575061966183,0.6630697336638196,0.575938175905022,0.5793325018550386,0.66032269777869,0.5822216258031921,0.5865316303815854,0.5857896149413493,0.5854738636901848,0.6035979855070176,0.6049399283244661,0.6043715760723702,0.57126505738779,0.5143508943654189,0.570191503133831,0.579000963041316,0.5778484709745663,0.5783063102887547,0.5948990385374402,0.6325208001136704,0.6038032238202744,0.5950411266004642,0.5931939817811528,0.591962551901612,0.586500055256469,0.012473986195311019,0.6047252174736741,0.04305910345903897,0.5876825436920795,0.012730975437548505
