window,original_run_0,random_run_0,tournament_run_0,original_run_1,random_run_1,tournament_run_1,original_run_2,random_run_2,tournament_run_2,original_run_3,random_run_3,tournament_run_3,original_run_4,random_run_4,tournament_run_4,original_run_5,random_run_5,tournament_run_5,original_run_6,random_run_6,tournament_run_6,original_run_7,random_run_7,tournament_run_7,original_run_8,random_run_8,tournament_run_8,original_run_9,random_run_9,tournament_run_9,original_mean,original_std,random_mean,random_std,tournament_mean,tournament_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
150,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
200,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
250,0.5729927007299269,0.6024705221785513,0.6023301516002246,0.5694834362717575,0.5661145423919146,0.5661145423919146,0.5765019651880966,0.5731330713082537,0.5731330713082537,0.6058394160583941,0.6058394160583941,0.6058394160583941,0.5731330713082537,0.6056990454800673,0.6056990454800673,0.5658338012352611,0.5658338012352611,0.5658338012352611,0.5661145423919146,0.6056990454800673,0.5661145423919146,0.5765019651880966,0.5765019651880966,0.5765019651880966,0.5731330713082537,0.6056990454800673,0.6056990454800673,0.5693430656934306,0.6058394160583941,0.5693430656934306,0.5748877035373386,0.011507771820122907,0.5912829870859068,0.01826173330290393,0.5836608646827625,0.018596379358111863
300,0.6675260500590826,0.6901922870340531,0.6899774411859492,0.6643033623375227,0.661940058008379,0.661940058008379,0.6699967773122785,0.6674186271350306,0.6674186271350306,0.692663014287249,0.692663014287249,0.692663014287249,0.6676334729831346,0.692555591363197,0.692555591363197,0.661617789236223,0.661725212160275,0.661725212160275,0.661940058008379,0.692448168439145,0.661832635084327,0.6702116231603825,0.6702116231603825,0.6702116231603825,0.6672037812869267,0.692233322591041,0.692233322591041,0.6641959394134709,0.692555591363197,0.6641959394134709,0.6687291868084648,0.008934390418324091,0.681394349554195,0.014059089613110172,0.67547534643893,0.014362480208780549
350,0.7548336594911937,0.7738551859099805,0.7712720156555772,0.7155381604696673,0.7318982387475539,0.7318982387475539,0.7567123287671234,0.7548336594911937,0.7548336594911937,0.755225048923679,0.773385518590998,0.773385518590998,0.755146771037182,0.773307240704501,0.773307240704501,0.7135029354207436,0.7318199608610567,0.7318199608610567,0.750450097847358,0.7731506849315068,0.750371819960861,0.7387084148727985,0.7569471624266144,0.7569471624266144,0.7181996086105675,0.7364383561643836,0.7364383561643836,0.7339334637964775,0.773307240704501,0.7520939334637965,0.7392250489236789,0.01788223628359754,0.7578943248532289,0.018345120374264542,0.7532367906066536,0.01617987903098656
400,0.7759146341463414,0.8161585365853659,0.8015243902439024,0.746890243902439,0.7596951219512196,0.7596951219512196,0.7776219512195122,0.776219512195122,0.776219512195122,0.7765243902439025,0.7892073170731707,0.7892073170731707,0.7907317073170732,0.8020121951219512,0.8020121951219512,0.7424390243902439,0.7551219512195122,0.7551219512195122,0.7595121951219512,0.8173780487804878,0.7721951219512195,0.7493292682926829,0.7778048780487805,0.7778048780487805,0.7472560975609757,0.7615243902439024,0.7615243902439024,0.7566463414634146,0.7898780487804877,0.7679268292682927,0.7622865853658537,0.016656755182956038,0.7845,0.022510762255955993,0.7763231707317073,0.01665253341860381
450,0.7963462419215308,0.8409750139941987,0.8177192000407105,0.7705969161874714,0.7812325072515394,0.7812325072515394,0.7952775940155716,0.7940562821230472,0.7940562821230472,0.7963462419215308,0.807236272963208,0.807236272963208,0.8093226807796042,0.8305938629077401,0.8305938629077401,0.7667294285278102,0.7775685715739657,0.7775685715739657,0.7824538191440639,0.8297796549793903,0.7931911861991756,0.7743626278560887,0.7981782097603176,0.7981782097603176,0.7723271080352145,0.7843366749783727,0.7843366749783727,0.7757366037351787,0.8068291689990332,0.7850999949112005,0.7839499262124064,0.01434101201436667,0.8050786219530813,0.02231645002193396,0.7969212762709277,0.017046593211373973
500,0.823283298826777,0.8609817115251897,0.841571773636991,0.7817028985507246,0.78938060731539,0.7896394064872325,0.8226794340924776,0.8215579710144928,0.8216011042097999,0.8234989648033126,0.8330314009661834,0.8318236714975846,0.8354037267080745,0.8534765355417528,0.8534765355417528,0.7773895790200138,0.7966701173222912,0.7966701173222912,0.8003795721187026,0.8513630089717046,0.8095238095238094,0.7952467218771566,0.8153899240855762,0.8153899240855762,0.784247757073844,0.7935645272601795,0.7935213940648722,0.784635955831608,0.8313923395445135,0.7911059351276744,0.8028467908902691,0.021432041328572602,0.8246808143547273,0.025967212127567068,0.8144323671497584,0.022488103582644272
550,0.8373870495374836,0.8793528340297867,0.8524590163934425,0.80313582627951,0.8086717382763671,0.8089931783277975,0.8386728097432051,0.8375299117825636,0.837672774027644,0.8389942497946357,0.8451730418943534,0.8440301439337119,0.8496732026143791,0.863780849316047,0.8637094181935068,0.7990999678559948,0.8151719704275153,0.8151362548662453,0.8183149398192794,0.8704239437122754,0.8260295010536092,0.8160291438979964,0.8326368798885673,0.8326725954498375,0.8051001821493624,0.8128504589449623,0.8127790278224223,0.8042430086788813,0.8450301796492732,0.8095646273081183,0.8210650380370728,0.018532334823649025,0.8410621807921711,0.024666389568086356,0.8303046537376335,0.01913348431321032
600,0.8487854737854739,0.8833273208273209,0.8615019240019239,0.8125300625300627,0.8169793169793169,0.8172799422799424,0.8510401635401634,0.8499579124579125,0.8501683501683502,0.8416305916305917,0.8468013468013469,0.8457190957190958,0.8667628667628666,0.8779160654160654,0.8777356902356903,0.8093734968734969,0.8300565175565175,0.8223003848003849,0.8247655122655122,0.8760822510822511,0.8306277056277056,0.8247354497354498,0.8457792207792207,0.8450276575276574,0.8158670033670036,0.8223304473304472,0.8214586339586338,0.8131914381914382,0.8633357383357383,0.8167087542087542,0.830868205868206,0.01984064226337702,0.8512566137566138,0.023603465503374874,0.8388528138528137,0.02065084642332446
650,0.8639583333333332,0.8938541666666666,0.8745572916666668,0.8320572916666666,0.8359895833333333,0.8363541666666667,0.8656510416666665,0.8644270833333334,0.8646614583333333,0.8575260416666667,0.8621614583333335,0.8609375,0.8803645833333333,0.8894010416666667,0.8892708333333333,0.8289322916666666,0.8465104166666667,0.8398177083333334,0.8431510416666665,0.8874739583333333,0.8484114583333334,0.8440104166666667,0.8622916666666667,0.8616145833333333,0.8366145833333334,0.8422135416666665,0.8415104166666666,0.8323437499999999,0.8762500000000001,0.8347135416666667,0.8484609375,0.017429978211235795,0.8660572916666667,0.020458219448606246,0.8551848958333335,0.018086438807113924
700,0.8670476696792486,0.9053251816409711,0.8758860535176325,0.8380737196526671,0.8411970583023214,0.8416622363990784,0.867468545100124,0.8662280701754386,0.8664052808789651,0.8613990785043417,0.865585681375155,0.8642787524366472,0.8811359206096048,0.8889331915647705,0.8887338295233032,0.8347288676236044,0.8499246854510012,0.844187488924331,0.8485734538366119,0.893474215842637,0.8524499379762538,0.8503677122098174,0.8656078327130959,0.8650762006025164,0.8440988835725678,0.848662059188375,0.8478646110225057,0.8367667907141592,0.8770600744284955,0.8389154704944178,0.8529660641502748,0.015616007397066879,0.870199805068226,0.020943730592726473,0.8585459861775652,0.016251833464639067
