dataset,run,AUC_Original,AUC_TopN
Friday-WorkingHours-Morning.npz,9,0.5332860668203542,0.5659865588509826
Friday-WorkingHours-Morning.npz,6,0.5309184236878657,0.5353587830966993
Friday-WorkingHours-Morning.npz,1,0.5594696064431314,0.5515103060479655
Friday-WorkingHours-Morning.npz,3,0.5544055466544581,0.5816382293948115
Friday-WorkingHours-Morning.npz,2,0.556424809354966,0.5694614327190798
Friday-WorkingHours-Morning.npz,0,0.5053809865751812,0.5007753082154598
Friday-WorkingHours-Morning.npz,5,0.5195951624333618,0.5668906638461702
Friday-WorkingHours-Morning.npz,8,0.5020949260501295,0.5772072510629793
Friday-WorkingHours-Morning.npz,7,0.5093752309790915,0.552993619237317
Friday-WorkingHours-Morning.npz,4,0.5592692691989283,0.5069103926788622
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9262231651992574,0.9211136562635007
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.9288822429992908,0.9243889997820642
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6227316657497046,0.6581369760783632
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.5543889904220284,0.6580011377748336
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6173923922367732,0.6445549540117064
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.6164723481658632,0.6611977297524574
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9177588970595598,0.9027557820394642
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9273004750694429,0.9209304226185113
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.9262706702183288,0.9305417901700901
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9162322388022922,0.9132261866532363
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9151851550232684,0.9186572087879761
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.9217511476288498,0.9132554019993115
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9151582499516768,0.9225107466268068
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9181962608977572,0.9292949639096622
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6031520516767314,0.6661294528982056
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6468647233834712,0.6741896422669659
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6302350379445562,0.6624999931814243
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.566593664266637,0.676378916494484
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.646315397096945,0.6706536202219103
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6195396476727328,0.6412683459236972
backdoor.npz,0,0.6242064871627954,0.5784140569813987
backdoor.npz,1,0.6776646514032973,0.6360566466756234
backdoor.npz,2,0.6687651560270917,0.6845723324884464
backdoor.npz,3,0.6525959154558927,0.6252282834018938
Tuesday-WorkingHours.npz,0,0.6373780258655081,0.6238793944696649
Tuesday-WorkingHours.npz,3,0.640257043452175,0.664038299055303
Tuesday-WorkingHours.npz,1,0.6372143716450583,0.6497443305444845
Tuesday-WorkingHours.npz,4,0.6457439162845084,0.6475411396813981
Tuesday-WorkingHours.npz,2,0.653677985335668,0.6296017747190867
Tuesday-WorkingHours.npz,5,0.6295597014873064,0.6439251943917791
backdoor.npz,4,0.6288884633674521,0.6391124046039419
backdoor.npz,5,0.6258619302206402,0.6727674690785191
campaign.npz,0,0.7040335300672143,0.7313381929479608
Tuesday-WorkingHours.npz,7,0.6418115213332017,0.6271850662572476
campaign.npz,1,0.7094332783434538,0.7262736881446411
Tuesday-WorkingHours.npz,6,0.6482739486062852,0.6481737413172068
campaign.npz,2,0.6975640059317364,0.7240956743705962
campaign.npz,3,0.7147659354679534,0.7157791135794968
campaign.npz,4,0.7048929395636537,0.7227073695952041
campaign.npz,5,0.7091633953034837,0.7357529735340959
campaign.npz,6,0.7091600488540343,0.7200187053256369
campaign.npz,7,0.7030653447473895,0.7174549358566722
backdoor.npz,7,0.6034665969519429,0.6637579952630923
backdoor.npz,6,0.6456360729834669,0.6747578936919717
backdoor.npz,9,0.6764773127051621,0.6867467855048777
backdoor.npz,8,0.6409743556004931,0.6647773999639883
campaign.npz,8,0.7057629309165463,0.7464479842049945
campaign.npz,9,0.7050116014178802,0.7192101589124176
Tuesday-WorkingHours.npz,8,0.6317303276392179,0.6414740776302157
Tuesday-WorkingHours.npz,9,0.6335143954036879,0.664695473089187
celeba.npz,1,0.7876978050575926,0.8107053574922894
celeba.npz,0,0.784639602728153,0.8102240797880704
celeba.npz,2,0.7907482265211255,0.8137534475831991
celeba.npz,3,0.7908113690197149,0.8055860124456278
celeba.npz,4,0.7879618203758979,0.8104180067941362
celeba.npz,7,0.7973582242393453,0.8175388199692674
celeba.npz,5,0.7886716003582392,0.805780952174643
celeba.npz,6,0.7843501682859046,0.8055676435168668
celeba.npz,9,0.7903257533744851,0.8109319831237183
celeba.npz,8,0.7845084312316989,0.8144330718519693
census.npz,0,0.6711979075809592,0.6838104437563086
census.npz,1,0.6523901690825845,0.6874708360134983
cover.npz,0,0.8726456109453508,0.8648723398868557
cover.npz,1,0.8824771031355809,0.8960868846935518
census.npz,2,0.660769332457539,0.7111854980728497
census.npz,3,0.6571476737608131,0.703561945034832
census.npz,5,0.6850894050378231,0.6905753106538872
census.npz,4,0.677453239462479,0.6918398273081283
census.npz,6,0.6706102643707692,0.6921367111577059
census.npz,8,0.6722301951554452,0.6884648626547349
