window,original_run_0,random_run_0,tournament_run_0,original_run_1,random_run_1,tournament_run_1,original_run_2,random_run_2,tournament_run_2,original_run_3,random_run_3,tournament_run_3,original_run_4,random_run_4,tournament_run_4,original_run_5,random_run_5,tournament_run_5,original_run_6,random_run_6,tournament_run_6,original_run_7,random_run_7,tournament_run_7,original_run_8,random_run_8,tournament_run_8,original_run_9,random_run_9,tournament_run_9,original_mean,original_std,random_mean,random_std,tournament_mean,tournament_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
150,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
200,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
250,0.6059564719358533,0.602901870943108,0.602901870943108,0.6059564719358533,0.602901870943108,0.602901870943108,0.612065673921344,0.602901870943108,0.602901870943108,0.6090110729285987,0.602901870943108,0.602901870943108,0.6090110729285987,0.6059564719358533,0.6059564719358533,0.602901870943108,0.5998472699503627,0.5998472699503627,0.6059564719358533,0.6059564719358533,0.6059564719358533,0.6090110729285987,0.6090110729285987,0.6090110729285987,0.602901870943108,0.5631920580374189,0.5998472699503627,0.602901870943108,0.5998472699503627,0.5998472699503627,0.6065673921344025,0.003154778339789701,0.5995418098510882,0.013075056122177506,0.6032073310423826,0.0030375835846101515
300,0.5808823529411765,0.5782352941176471,0.5782352941176471,0.5788235294117647,0.5764705882352941,0.5764705882352941,0.5852941176470589,0.5758823529411765,0.5758823529411765,0.5835294117647059,0.5788235294117647,0.5788235294117647,0.5832352941176471,0.578529411764706,0.578529411764706,0.578529411764706,0.5761764705882353,0.5761764705882353,0.5782352941176471,0.5782352941176471,0.5782352941176471,0.5832352941176471,0.5832352941176471,0.5832352941176471,0.5823529411764706,0.5261764705882354,0.5776470588235294,0.5782352941176471,0.5758823529411765,0.5758823529411765,0.5812352941176471,0.002629937366134125,0.5727647058823531,0.01651499615619741,0.5779117647058823,0.0021898107337384952
350,0.5298539518900344,0.5259879725085911,0.5259879725085911,0.5354381443298969,0.5337199312714777,0.5337199312714777,0.5356529209621993,0.5287800687285223,0.5287800687285223,0.5369415807560137,0.5332903780068728,0.5332903780068728,0.5358676975945017,0.5292096219931272,0.5292096219931272,0.5309278350515464,0.5294243986254296,0.5294243986254296,0.5272766323024055,0.5253436426116839,0.5253436426116839,0.5302835051546392,0.5302835051546392,0.5302835051546392,0.540807560137457,0.46262886597938147,0.5382302405498282,0.5281357388316151,0.5251288659793815,0.5251288659793815,0.5331185567010309,0.004416490929661021,0.5223797250859106,0.02120502790177668,0.5299398625429553,0.004168609782191362
400,0.5349410315085372,0.5301883471219856,0.5301883471219856,0.5391656398521386,0.5377574370709381,0.5377574370709381,0.5330047526843865,0.5275479669072346,0.5275479669072346,0.5409258933286394,0.5359971835944376,0.5359971835944376,0.5391656398521387,0.5337088540749868,0.5337088540749868,0.5356451328991374,0.534412955465587,0.534412955465587,0.5273719415595846,0.525787713430734,0.525787713430734,0.537053335680338,0.537053335680338,0.537053335680338,0.5488470339728921,0.508537229361028,0.5440943495863404,0.5337088540749868,0.5296602710790353,0.5296602710790353,0.536982925541278,0.005683435401810617,0.5300651293786305,0.00858705860670277,0.5336208414011618,0.005483063217575098
450,0.5219827061259286,0.5482888807696992,0.5482888807696992,0.5632687857751797,0.5605894531725734,0.5605894531725734,0.515406162464986,0.5110218000243576,0.5110218000243576,0.5655827548410669,0.5592497868712701,0.5592497868712701,0.5283156740957252,0.5234441602728047,0.5234441602728047,0.5542564852027768,0.5537693338204848,0.5537693338204848,0.5194251613688954,0.5169894044574351,0.5169894044574351,0.5541346973572038,0.5532821824381926,0.5532821824381926,0.5685056631348192,0.5052368773596395,0.5652173913043479,0.5520643039824626,0.5490196078431373,0.5490196078431373,0.5442942394349044,0.02071497926701798,0.5380891487029594,0.021410875351387044,0.5440872000974303,0.01950137846618151
500,0.5474009491226133,0.5711290144575655,0.5710186513629842,0.5877938417393224,0.5853658536585366,0.5853658536585366,0.5402273479748372,0.5360335503807526,0.5355920980024279,0.5879042048339036,0.5819445977265202,0.5820549608211014,0.5546849133649707,0.5500496633925614,0.5498289372033991,0.5770886215649487,0.5756539013353935,0.5757642644299746,0.5445315086635029,0.5422138836772984,0.5417724312989737,0.5762057168082994,0.575433175146231,0.5751020858624876,0.5928705440900564,0.5171062796600816,0.5890078357797153,0.5732259132546077,0.5699150204171725,0.5698046573225913,0.5681933561417062,0.019740239087639347,0.5604844939852114,0.022748996940444577,0.5675311775742191,0.01864785802802381
550,0.5859106529209622,0.6063382970599465,0.6053837342497137,0.6232340588010692,0.620561282932417,0.6207521954944635,0.5808514700267278,0.5773195876288659,0.5767468499427262,0.6249522718594883,0.6190339824360442,0.6190339824360443,0.5957426498663613,0.5908743795341735,0.5898243604429172,0.6137838869797633,0.6119702176403207,0.6117793050782742,0.5837151584574265,0.5806605574646813,0.5799923634975181,0.6125429553264604,0.6107292859870179,0.6102520045819015,0.6279114165712103,0.5174207712867507,0.6235204276441391,0.6112065673921344,0.6070064910271096,0.6070064910271096,0.6059851088201603,0.01796501128807608,0.5941914852997328,0.030887538180945556,0.6044291714394807,0.016721477569056828
600,0.5703561598131621,0.5880390357828009,0.5871215280673951,0.6097255817833013,0.6065560096755359,0.6070564684293936,0.5716073066978063,0.568187505213112,0.5679372758361831,0.6086412544832763,0.6033864375677704,0.6033030277754609,0.5840353657519394,0.5784469096671949,0.5774459921594796,0.5992159479522895,0.596713654183001,0.5971307031445492,0.5709400283593293,0.5681040954208025,0.5659354408207524,0.595629326882976,0.5926265743598299,0.5922095253982819,0.6149803986988073,0.507173242138627,0.6093085328217532,0.5976311618984068,0.5928768037367587,0.5927099841521394,0.5922762532321295,0.017018586673819783,0.5802110267745434,0.02888312253248058,0.5900158478605388,0.01540396433437572
650,0.5692633742213088,0.5834564254062039,0.582364652238135,0.625907135058763,0.6231455911630596,0.6232098131141224,0.5724744717744525,0.5706120351936291,0.5693275961723718,0.6248795838417571,0.620897822875859,0.6204482692184188,0.589493288806114,0.5844197546721469,0.5832637595530152,0.591034615631623,0.5894290668550511,0.5893648449039882,0.5691349303191832,0.5660522766681652,0.564061396185216,0.6142187399653203,0.6119709716781196,0.6105580887547365,0.6397148545372808,0.4980733414681138,0.6342559886969367,0.5944383790379552,0.5896859546593025,0.5897501766103654,0.5990559373193758,0.025684952690086055,0.5837743240639652,0.035936236951883034,0.5966604585447305,0.023971974392336594
700,0.5710514233241506,0.5836776859504131,0.5826446280991735,0.6231060606060607,0.6205234159779615,0.6208103764921948,0.5688705234159781,0.5668044077134986,0.5649678604224059,0.6241391184573003,0.6206955922865015,0.6201790633608815,0.5894168962350781,0.5843089990817263,0.5825872359963268,0.5906795224977042,0.5889577594123049,0.5891873278236915,0.5699609733700642,0.5664600550964187,0.5641643709825529,0.6133494031221305,0.6113406795224977,0.6095615243342516,0.639520202020202,0.49698691460055094,0.6344696969696969,0.5978535353535355,0.5939508723599634,0.5935491276400368,0.5987947658402205,0.025287243898274463,0.5833706382001835,0.0360901523962906,0.5962121212121213,0.024154026339884626
