dataset,AUC_orig_mean,AUC_orig_std,AUC_gls_mean,AUC_gls_std
Friday-WorkingHours-Morning.npz,0.5463006235346572,0.022376686881816456,0.5114902441561016,0.004687077009043314
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.921460274445207,0.007494868221216408,0.8658078510057781,0.0048426794565803585
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5886582941101579,0.03383087174591452,0.5517050088821496,0.005229660608258966
Tuesday-WorkingHours.npz,0.6113662807050485,0.007905556724237957,0.5350015291471701,0.0017043362137277199
backdoor.npz,0.6473380949412966,0.050957977108530846,0.591332676814545,0.007004966283591897
campaign.npz,0.7090462512925846,0.007699393941711651,0.6359312531960803,0.01180967907797084
celeba.npz,0.788028469594266,0.0027565737195551438,0.6149458894355012,0.00399697244113972
census.npz,0.6647085065582901,0.00694275068673323,0.5261091517815576,0.0013714339438655684
cover.npz,0.858383329220549,0.028195775500349244,0.676022085341801,0.03868114075284708
donors.npz,0.7337112507968409,0.006955205357788185,0.670689229582159,0.0009773187841721743
fraud.npz,0.9440618601348069,0.0019372557818372294,0.8742043013381613,0.0028920135913398696
http.npz,0.9230482033926904,0.015438220672044062,0.5033255290420524,0.0184295086437158
insects.npz,0.7573409878732704,0.009609237132095817,0.6107967944124756,0.0027792511491920076
mammography.npz,0.8678999499996479,0.005720644965763343,0.7564048690483736,0.008357212857059483
mulcross.npz,0.9776400980953384,0.001659599694077512,0.8120904121802142,0.0013896432971147509
nyc_taxi.npz,0.6143158358605583,0.010122519155237649,0.6163643086183962,0.003255842504838533
nyc_taxi_shingle.npz,0.6778217493205636,0.009407002936582485,0.6458856929790812,0.0071457889630369255
shuttle.npz,0.9966359964283207,0.0006064418895624006,0.9224068640600469,0.008146873932854917
smtp.npz,0.891660429325316,0.013016799286653563,0.8969523754458999,0.003553815977083409
