dataset,run,AUC_Original,AUC_Adaptive
Friday-WorkingHours-Morning,8,0.502019086,0.579179487
Friday-WorkingHours-Morning,2,0.573466076,0.54438129
Friday-WorkingHours-Morning,9,0.536919036,0.607741718
Friday-WorkingHours-Morning,7,0.497589589,0.58464976
Friday-WorkingHours-Morning,1,0.562617259,0.565650196
Friday-WorkingHours-Morning,3,0.573635612,0.581837643
Friday-WorkingHours-Morning,4,0.574802657,0.567190903
Friday-WorkingHours-Morning,5,0.571829603,0.587818122
Friday-WorkingHours-Morning,0,0.499439566,0.563273846
Friday-WorkingHours-Morning,6,0.551815417,0.543398437
Thursday-WorkingHours-Afternoon-Infilteration,0,0.929971345,0.924936824
Thursday-WorkingHours-Afternoon-Infilteration,1,0.926012834,0.929339822
Thursday-WorkingHours-Morning-WebAttacks,0,0.610273597,0.659583791
Thursday-WorkingHours-Morning-WebAttacks,1,0.601618592,0.641965417
Thursday-WorkingHours-Morning-WebAttacks,2,0.611215364,0.644788443
Thursday-WorkingHours-Morning-WebAttacks,3,0.595507092,0.636532765
Thursday-WorkingHours-Afternoon-Infilteration,7,0.923014098,0.921441475
Thursday-WorkingHours-Afternoon-Infilteration,4,0.91911113,0.919976183
Thursday-WorkingHours-Afternoon-Infilteration,3,0.920707337,0.933147443
Thursday-WorkingHours-Afternoon-Infilteration,5,0.91139592,0.911905432
Thursday-WorkingHours-Afternoon-Infilteration,8,0.920073888,0.911932674
Thursday-WorkingHours-Afternoon-Infilteration,6,0.918088111,0.92096267
Thursday-WorkingHours-Afternoon-Infilteration,9,0.913759379,0.925950745
Thursday-WorkingHours-Afternoon-Infilteration,2,0.923591137,0.91741404
Thursday-WorkingHours-Morning-WebAttacks,4,0.600169611,0.648139689
Thursday-WorkingHours-Morning-WebAttacks,5,0.626390185,0.620014889
Thursday-WorkingHours-Morning-WebAttacks,6,0.657937942,0.66347548
Thursday-WorkingHours-Morning-WebAttacks,7,0.650100117,0.616159547
Thursday-WorkingHours-Morning-WebAttacks,9,0.645509133,0.657294586
Thursday-WorkingHours-Morning-WebAttacks,8,0.62122978,0.650460062
backdoor,1,0.59692984,0.587421476
backdoor,0,0.641695672,0.591488846
backdoor,3,0.556445505,0.639609392
backdoor,2,0.667320371,0.699663691
Tuesday-WorkingHours,3,0.616454299,0.609032482
Tuesday-WorkingHours,2,0.621868859,0.630522651
Tuesday-WorkingHours,1,0.630216913,0.637073288
Tuesday-WorkingHours,0,0.635961087,0.625281164
Tuesday-WorkingHours,4,0.631925899,0.634795349
Tuesday-WorkingHours,5,0.644105801,0.645925227
backdoor,5,0.638009869,0.68025257
backdoor,4,0.6077242,0.673543916
campaign,0,0.698532259,0.737047749
campaign,1,0.718033049,0.747049107
Tuesday-WorkingHours,7,0.635253389,0.630066672
Tuesday-WorkingHours,6,0.669449617,0.646733046
campaign,3,0.71292203,0.743154721
campaign,2,0.70235486,0.730943713
campaign,4,0.702485819,0.717536409
campaign,5,0.710254745,0.750349201
campaign,6,0.720917464,0.720798938
campaign,7,0.716774527,0.728942492
backdoor,6,0.592345483,0.656551432
backdoor,7,0.657201889,0.64865039
backdoor,8,0.590480978,0.573189986
backdoor,9,0.638122382,0.597778171
campaign,8,0.697995217,0.748322025
campaign,9,0.703140282,0.710994401
Tuesday-WorkingHours,8,0.608850976,0.628857367
Tuesday-WorkingHours,9,0.624025349,0.62920595
celeba,0,0.786387676,0.808631427
celeba,1,0.79228672,0.817020024
celeba,2,0.788404838,0.814150094
celeba,3,0.796959935,0.810365003
celeba,4,0.789925657,0.81088125
celeba,5,0.796903172,0.806269351
celeba,6,0.793679628,0.812977526
celeba,7,0.793184503,0.80035787
celeba,8,0.79867477,0.810804296
celeba,9,0.795657824,0.802115027
census,0,0.665383848,0.688780727
census,1,0.662598616,0.698038315
cover,0,0.87442249,0.886952005
cover,1,0.873589935,0.869884835
census,2,0.65969755,0.694018434
census,3,0.67157995,0.688240549
census,7,0.659271599,0.679783178
census,4,0.664661067,0.700210324
census,5,0.660508597,0.685380971
census,8,0.675151593,0.688499025
census,6,0.677935164,0.696084891
census,9,0.644995421,0.676879836
cover,2,0.879027212,0.873500772
cover,3,0.882015366,0.882134315
cover,4,0.909057852,0.884654544
cover,5,0.875715267,0.899975565
cover,6,0.881675009,0.909318908
cover,7,0.872899688,0.90482973
cover,8,0.834556865,0.852035141
cover,9,0.899459825,0.863796798
