dataset,run,AUC_Original,AUC_Adaptive
Friday-WorkingHours-Morning.npz,8,0.5020190864858411,0.5791794873149679
Friday-WorkingHours-Morning.npz,2,0.5734660764786397,0.5443812901540428
Friday-WorkingHours-Morning.npz,9,0.5369190361831448,0.6077417177882454
Friday-WorkingHours-Morning.npz,7,0.49758958916430135,0.5846497595751297
Friday-WorkingHours-Morning.npz,1,0.5626172590907815,0.565650195990257
Friday-WorkingHours-Morning.npz,3,0.5736356124751828,0.5818376425208758
Friday-WorkingHours-Morning.npz,4,0.5748026566564396,0.5671909027001742
Friday-WorkingHours-Morning.npz,5,0.5718296031504192,0.5878181221541701
Friday-WorkingHours-Morning.npz,0,0.49943956606619044,0.5632738457009816
Friday-WorkingHours-Morning.npz,6,0.5518154170357377,0.5433984373799874
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.929971344895487,0.9249368236190142
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9260128339598028,0.9293398217392208
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6102735972634927,0.659583790587027
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.6016185921615617,0.6419654171108288
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6112153639532116,0.6447884425030959
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.5955070917552291,0.6365327645659234
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9230140976799454,0.9214414745865958
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.919111129593307,0.9199761829953017
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.920707336738678,0.9331474428726877
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9113959198242343,0.9119054316093296
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9200738883536753,0.9119326735959499
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9180881111734885,0.9209626701998463
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9137593787517895,0.9259507453330531
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9235911368629708,0.9174140404621474
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6001696107095061,0.6481396893260487
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6263901848728641,0.620014888769391
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.6579379418505309,0.6634754804559435
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6501001171485872,0.6161595473643914
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6455091332368259,0.6572945860398988
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.6212297803316708,0.6504600615831948
backdoor.npz,1,0.5969298397484729,0.5874214762900687
backdoor.npz,0,0.6416956721468903,0.5914888456442149
backdoor.npz,3,0.5564455047853849,0.6396093920968434
backdoor.npz,2,0.6673203714732892,0.6996636910945212
Tuesday-WorkingHours.npz,3,0.6164542987212906,0.6090324823874729
Tuesday-WorkingHours.npz,2,0.6218688594045614,0.6305226511723748
Tuesday-WorkingHours.npz,1,0.6302169132444534,0.6370732878968036
Tuesday-WorkingHours.npz,0,0.6359610870006859,0.6252811644843013
Tuesday-WorkingHours.npz,4,0.6319258993366793,0.6347953492667172
Tuesday-WorkingHours.npz,5,0.6441058009112164,0.6459252273339737
backdoor.npz,5,0.6380098685577362,0.6802525704418806
backdoor.npz,4,0.6077241997811604,0.673543915659035
campaign.npz,0,0.6985322590650747,0.7370477487328898
campaign.npz,1,0.7180330490040494,0.7470491067721995
Tuesday-WorkingHours.npz,7,0.6352533890550033,0.6300666717768444
Tuesday-WorkingHours.npz,6,0.669449617210844,0.6467330459139669
campaign.npz,3,0.7129220300275877,0.7431547211885738
campaign.npz,2,0.7023548596224899,0.7309437128971631
campaign.npz,4,0.702485819309892,0.7175364093700113
campaign.npz,5,0.710254744705121,0.7503492012629588
campaign.npz,6,0.7209174643501414,0.7207989381229409
campaign.npz,7,0.7167745274990281,0.7289424919001182
backdoor.npz,6,0.592345482624413,0.6565514319219564
backdoor.npz,7,0.6572018887611554,0.6486503898945968
backdoor.npz,8,0.5904809784992404,0.5731899864725736
backdoor.npz,9,0.6381223816581024,0.5977781709811307
campaign.npz,8,0.6979952173193118,0.7483220253808879
campaign.npz,9,0.7031402816277508,0.710994401434297
Tuesday-WorkingHours.npz,8,0.6088509764484236,0.6288573666018564
Tuesday-WorkingHours.npz,9,0.6240253486173585,0.6292059501265443
celeba.npz,0,0.7863876758039847,0.8086314274821677
celeba.npz,1,0.792286719802848,0.8170200237669198
celeba.npz,2,0.7884048383620661,0.8141500935185237
celeba.npz,3,0.7969599354053322,0.8103650031846805
celeba.npz,4,0.7899256572963927,0.810881250367806
celeba.npz,5,0.7969031723950593,0.8062693511423211
celeba.npz,6,0.793679628053156,0.8129775257988839
celeba.npz,7,0.7931845025840891,0.8003578701949555
celeba.npz,8,0.798674770181071,0.8108042956385073
celeba.npz,9,0.7956578235417409,0.8021150272401819
census.npz,0,0.6653838483620995,0.6887807272784736
census.npz,1,0.662598616378199,0.6980383154790536
cover.npz,0,0.8744224903070066,0.8869520046871312
cover.npz,1,0.873589934645451,0.8698848346402079
census.npz,2,0.6596975497663775,0.6940184335810106
census.npz,3,0.6715799502787958,0.6882405485220244
census.npz,7,0.6592715993576166,0.6797831776695682
census.npz,4,0.6646610670548919,0.7002103237724224
census.npz,5,0.6605085971556031,0.6853809713276272
census.npz,8,0.6751515928911938,0.6884990249594088
census.npz,6,0.6779351635333597,0.6960848906055035
census.npz,9,0.6449954213348889,0.676879835502078
cover.npz,2,0.8790272124508031,0.873500771811883
cover.npz,3,0.8820153656105292,0.8821343153504504
cover.npz,4,0.9090578520508789,0.8846545438510889
cover.npz,5,0.8757152672281592,0.8999755646112211
cover.npz,6,0.8816750089900085,0.9093189079881383
cover.npz,7,0.8728996882066082,0.9048297304118442
cover.npz,8,0.8345568646813021,0.8520351405518389
cover.npz,9,0.8994598249065225,0.8637967975463618
donors.npz,3,0.7290584491677563,0.7886070777063507
fraud.npz,0,0.9431534343920897,0.9503473224548118
fraud.npz,1,0.9422027004286011,0.9520837774545552
donors.npz,1,0.721274343377435,0.7780328488588898
donors.npz,0,0.7453464909547061,0.8133436356407071
donors.npz,2,0.7379402996246273,0.8303353557875299
donors.npz,5,0.7320092641679343,0.7476639544474177
donors.npz,4,0.7404455234637194,0.7997712685330179
donors.npz,7,0.7253642766833303,0.8140707161606574
donors.npz,8,0.7272340663589311,0.7996697644225521
donors.npz,6,0.7369175026618966,0.7576919106639233
donors.npz,9,0.7380315331529215,0.7699808478169291
fraud.npz,2,0.9459875747571291,0.948863242690426
fraud.npz,3,0.9435066653570005,0.9520747091604711
fraud.npz,4,0.9438058118292876,0.9521573818344449
fraud.npz,5,0.9404408313291581,0.9501182345414718
fraud.npz,6,0.9448748947155687,0.9509272965159878
fraud.npz,7,0.9441519547267294,0.9535900114510001
fraud.npz,8,0.9434052412952598,0.9526621573260735
fraud.npz,9,0.9410730526329938,0.9520999445393571
insects.npz,0,0.749407155128487,0.7619878184241821
insects.npz,1,0.748632694133728,0.7922549251445511
insects.npz,2,0.7419936322237848,0.7756507220165241
http.npz,0,0.9335409657628098,0.956039459155483
http.npz,1,0.952484720127,0.7639856214310761
