dataset,AUC_Original_mean,AUC_Original_std,AUC_Adaptive_mean,AUC_Adaptive_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5725121401278832,0.018851622964957543
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861471,0.9217007307013144,0.006566904918685045
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.6438414668305743,0.01506124204566471
Tuesday-WorkingHours.npz,0.6318112189950517,0.015880518556383158,0.6317493196960855,0.010198780380914022
backdoor.npz,0.6186276188035845,0.03329577817574836,0.6348149870496822,0.0421300390116146
campaign.npz,0.7083410252530447,0.008051627273743034,0.733513875706204,0.013201989244444818
celeba.npz,0.793206472342574,0.003808558866677442,0.8093571868334948,0.004936886644022534
census.npz,0.6641783406113025,0.00891197551561253,0.6895916248697169,0.007246130342049615
cover.npz,0.8782419509077268,0.01845534967612216,0.8827082611450165,0.017508496211370343
donors.npz,0.7333621749613257,0.007191580701609869,0.7899167380037975,0.025144087014065637
fraud.npz,0.9432602161463818,0.001583750944555575,0.95149240779686,0.0013304048954459612
http.npz,0.9431487036963441,0.011302018795552177,0.9384848483008265,0.0601826304133518
insects.npz,0.7539241299007153,0.005751766753272539,0.7906167250356343,0.015153770907869714
mammography.npz,0.8690286551313742,0.004430846764348652,0.8645446798921119,0.008830981066530493
mulcross.npz,0.979431623440376,0.0027259012962582247,0.9489085058750646,0.006518825548840636
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6168711233539986,0.009144018984824854
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.6537554856915995,0.014458559755851162
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9969581355226522,0.0010804989641127246
smtp.npz,0.8918200772309008,0.007096510242809495,0.8336810826342607,0.04937871450179402
