dataset,run,AUC_Original,AUC_Adaptive
Friday-WorkingHours-Morning.npz,9,0.5369190361831448,0.5981420740679368
Friday-WorkingHours-Morning.npz,1,0.5626172590907815,0.5764240831353142
Friday-WorkingHours-Morning.npz,6,0.5518154170357377,0.5869870884043049
Friday-WorkingHours-Morning.npz,2,0.5734660764786397,0.5586881374400796
Friday-WorkingHours-Morning.npz,0,0.49943956606619044,0.5622464307934436
Friday-WorkingHours-Morning.npz,7,0.49758958916430135,0.5881988009859046
Friday-WorkingHours-Morning.npz,8,0.5020190864858411,0.5993071274270027
Friday-WorkingHours-Morning.npz,4,0.5748026566564396,0.5292387750759456
Friday-WorkingHours-Morning.npz,5,0.5718296031504192,0.5966644548990827
Friday-WorkingHours-Morning.npz,3,0.5736356124751828,0.5669896507538832
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9260128339598028,0.9177921072552631
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.929971344895487,0.9272150911749826
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6102735972634927,0.6413072840827057
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.6016185921615617,0.6656255219619781
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6112153639532116,0.6700058896130399
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.5955070917552291,0.6531690831153845
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.919111129593307,0.9152616828655413
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9180881111734885,0.9106718894271828
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9113959198242343,0.9120039070591976
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9235911368629708,0.9104688259262083
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.920707336738678,0.9032421429490038
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9137593787517895,0.9089336004010636
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9230140976799454,0.9134478286115173
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9200738883536753,0.9202199650840517
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6001696107095061,0.6360260230127479
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6263901848728641,0.6337631095302199
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.6579379418505309,0.6469412932623634
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6501001171485872,0.6559723305466633
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.6212297803316708,0.5942419077415055
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6455091332368259,0.6369121119398499
backdoor.npz,0,0.6416956721468903,0.6416956721468903
backdoor.npz,1,0.5969298397484729,0.59776239513936
backdoor.npz,3,0.5564455047853849,0.5564455047853849
backdoor.npz,2,0.6673203714732892,0.6673192218728791
Tuesday-WorkingHours.npz,0,0.6359610870006859,0.6114671871040495
Tuesday-WorkingHours.npz,4,0.6319258993366793,0.6209628400617686
Tuesday-WorkingHours.npz,2,0.6218688594045614,0.6125906019300971
Tuesday-WorkingHours.npz,1,0.6302169132444534,0.6092143955872019
Tuesday-WorkingHours.npz,3,0.6164542987212906,0.6334331965405295
Tuesday-WorkingHours.npz,5,0.6441058009112164,0.6073375032522095
campaign.npz,0,0.6985322590650747,0.7581616717788228
Tuesday-WorkingHours.npz,6,0.669449617210844,0.6411806083779981
campaign.npz,1,0.7180330490040494,0.7607477017705577
Tuesday-WorkingHours.npz,7,0.6352533890550033,0.6329027822887002
campaign.npz,2,0.7023548596224899,0.7504208830946927
campaign.npz,3,0.7129220300275877,0.751174739383824
campaign.npz,5,0.710254744705121,0.7503499619536709
campaign.npz,4,0.702485819309892,0.74914869569258
backdoor.npz,4,0.6077241997811604,0.6077241997811604
backdoor.npz,5,0.6380098685577362,0.6380098685577362
backdoor.npz,6,0.592345482624413,0.592201039257238
backdoor.npz,7,0.6572018887611554,0.657193536844924
backdoor.npz,9,0.6381223816581024,0.6381194637968208
backdoor.npz,8,0.5904809784992404,0.5904809784992404
campaign.npz,6,0.7209174643501414,0.7373329812141238
campaign.npz,8,0.6979952173193118,0.7331124096841942
campaign.npz,7,0.7167745274990281,0.7432278241556688
campaign.npz,9,0.7031402816277508,0.7625900976231541
Tuesday-WorkingHours.npz,8,0.6088509764484236,0.6287950355597292
Tuesday-WorkingHours.npz,9,0.6240253486173585,0.6163147375374548
celeba.npz,1,0.792286719802848,0.8358310349667427
celeba.npz,0,0.7863876758039847,0.8280433081952548
celeba.npz,2,0.7884048383620661,0.8269048471412193
celeba.npz,3,0.7969599354053322,0.8333023640360475
celeba.npz,4,0.7899256572963927,0.8346833788991294
celeba.npz,5,0.7969031723950593,0.8325301716706204
celeba.npz,6,0.793679628053156,0.8310290003388224
celeba.npz,7,0.7931845025840891,0.8297107937313392
celeba.npz,9,0.7956578235417409,0.8202012525019864
celeba.npz,8,0.798674770181071,0.8275749665831409
census.npz,0,0.6653838483620995,0.68925365694746
census.npz,1,0.662598616378199,0.678588845149447
cover.npz,1,0.873589934645451,0.8123962467254143
cover.npz,0,0.8744224903070066,0.9059267805923167
census.npz,2,0.6596975497663775,0.6883412893916874
census.npz,3,0.6715799502787958,0.7017299022835071
census.npz,4,0.6646610670548919,0.6928295358421886
census.npz,5,0.6605085971556031,0.6971340723726267
census.npz,6,0.6779351635333597,0.686053032741724
census.npz,7,0.6592715993576166,0.6977626009544584
census.npz,8,0.6751515928911938,0.6850538324296568
census.npz,9,0.6449954213348889,0.6876953676103644
cover.npz,2,0.8790272124508031,0.8456191866390512
cover.npz,3,0.8820153656105292,0.8736816404360818
cover.npz,5,0.8757152672281592,0.866825870598794
cover.npz,4,0.9090578520508789,0.8204646125956477
cover.npz,6,0.8816750089900085,0.643363419762079
cover.npz,7,0.8728996882066082,0.8334652846212017
cover.npz,8,0.8345568646813021,0.923587285871049
cover.npz,9,0.8994598249065225,0.9365529424443738
fraud.npz,0,0.9431534343920897,0.9474361426958448
fraud.npz,1,0.9422027004286011,0.944336655538794
donors.npz,0,0.7453464909547061,0.9051050367123303
