dataset,AUC_Original_mean,AUC_Original_std,AUC_Adaptive_mean,AUC_Adaptive_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5762886622982898,0.021180289362356955
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861471,0.9139257040754012,0.006312511437416098
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.6433964554806458,0.020194359810671452
Tuesday-WorkingHours.npz,0.6318112189950515,0.015880518556383158,0.6214198888239738,0.01127664365685022
backdoor.npz,0.6186276188035845,0.03329577817574836,0.6186951880681635,0.033252594147294305
campaign.npz,0.7083410252530447,0.008051627273743034,0.749626696635129,0.009127725722036819
celeba.npz,0.793206472342574,0.003808558866677442,0.8299811118064303,0.004355297367239454
census.npz,0.6641783406113024,0.00891197551561253,0.6904442135723119,0.006585239892071552
cover.npz,0.8782419509077268,0.01845534967612216,0.8461883270286009,0.07874680487616953
donors.npz,0.7333621749613257,0.007191580701609869,0.9158510092464084,0.005247830863585304
fraud.npz,0.9432602161463818,0.001583750944555575,0.9468646257035702,0.0018785489315218007
http.npz,0.9431487036963441,0.011302018795552177,0.9554737005839498,0.014155020826744528
insects.npz,0.7539241299007153,0.005751766753272539,0.7900163352423982,0.004830604284850457
mammography.npz,0.8690286551313742,0.004430846764348652,0.8121885717505053,0.06573370931216074
mulcross.npz,0.979431623440376,0.0027259012962582247,0.9296843163322587,0.004578624623106595
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6093693461606522,0.013524707264823493
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.6596421328706166,0.013395873010953943
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9922283383910298,0.0019620611416699355
smtp.npz,0.8918200772309008,0.007096510242809495,0.9034095655586626,0.011225745632290196
