dataset,AUC_Original_mean,AUC_Original_std,AUC_Adaptive_mean,AUC_Adaptive_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5458699940325373,0.025992379694867812
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861471,0.9206560630843551,0.006796363300112448
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.6214838827414427,0.027018558773351027
Tuesday-WorkingHours.npz,0.6318112189950517,0.015880518556383158,0.6024992640994403,0.012393131155010374
backdoor.npz,0.6186276188035845,0.03329577817574836,0.6348149870496822,0.0421300390116146
campaign.npz,0.7083410252530447,0.008051627273743034,0.7371396811538345,0.014138110742571678
celeba.npz,0.793206472342574,0.003808558866677442,0.8215218410627184,0.007153053925587232
census.npz,0.6641783406113024,0.00891197551561253,0.6943147624988985,0.011743297073898061
cover.npz,0.8782419509077268,0.01845534967612216,0.8674444372587453,0.015453789897868511
donors.npz,0.7333621749613257,0.007191580701609869,0.7949447948616335,0.004577566625392294
fraud.npz,0.9432602161463818,0.001583750944555575,0.9497328281110397,0.001636872756137821
http.npz,0.9431487036963441,0.011302018795552177,0.9428746441520721,0.011774531892483509
insects.npz,0.7539241299007152,0.005751766753272539,0.8062159760110233,0.008763803024077655
mammography.npz,0.8690286551313742,0.004430846764348652,0.8794363692702063,0.007297130716246395
mulcross.npz,0.979431623440376,0.0027259012962582247,0.931685560329306,0.007316660907861346
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6168711233539986,0.009144018984824854
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.6546684710881252,0.015976127247828566
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9922965019853555,0.0014117655812097146
smtp.npz,0.8918200772309008,0.007096510242809495,0.884210100288039,0.04465542775275925
