dataset,AUC_Original_mean,AUC_Original_std,AUC_k2_mean,AUC_k2_std,AUC_k4_mean,AUC_k4_std,AUC_k5_mean,AUC_k5_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5552994451885247,0.03505726261751548,0.5512609870450152,0.031266715748493754,0.5376762879103594,0.025814674332437504
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861471,0.9211059264701239,0.00733896972352988,0.9256325098359938,0.0051448625836311625,0.9214765281888141,0.005288903453468954
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.6182001662750622,0.03103736629792663,0.6258055424547986,0.029613984797244263,0.6261177220840143,0.011130707555204912
Tuesday-WorkingHours.npz,0.6318112189950517,0.015880518556383158,0.5935353890016755,0.01158368657284036,0.5978819963944957,0.011378999201130911,0.6011986249832229,0.013901079979987189
backdoor.npz,0.6186276188035845,0.03329577817574836,0.6348149870496822,0.0421300390116146,0.6348149870496822,0.0421300390116146,0.6348149870496822,0.0421300390116146
campaign.npz,0.7083410252530447,0.008051627273743034,0.7367783911002254,0.012902615328511386,0.7339321199707141,0.008522307165498092,0.7364150975995667,0.010469826078761811
celeba.npz,0.793206472342574,0.003808558866677442,0.8271650590852107,0.007229504785423871,0.8198754926203122,0.007227170676866336,0.8209843170368103,0.007911121709611668
census.npz,0.6641783406113024,0.00891197551561253,0.6999959021867953,0.007657712118199924,0.6950433275372768,0.004964109363258785,0.6978895410365102,0.005009169727632402
cover.npz,0.8782419509077268,0.01845534967612216,0.8683960123056351,0.02358538872326152,0.8727433530144546,0.02096563812911473,0.8646486528257065,0.022024269513581562
donors.npz,0.7333621749613257,0.007191580701609869,0.8112981336483538,0.012441547879614665,0.7926846447783433,0.004281417688619264,0.7913079677744412,0.004271018682124475
fraud.npz,0.9432602161463818,0.001583750944555575,0.9496393635594551,0.0021550174842919537,0.9499618695569682,0.0018024646586781348,0.9491035646366699,0.0021377964774911455
http.npz,0.9431487036963441,0.011302018795552177,0.9181042725288577,0.07445079188426278,0.9212359868044503,0.06113838315266298,0.9050075668427029,0.07201514899474586
insects.npz,0.7539241299007153,0.005751766753272539,0.8118743693519465,0.009624327980043793,0.8058067005013732,0.008864730433055362,0.8048858529424953,0.012952125851378376
mammography.npz,0.8690286551313742,0.004430846764348652,0.8794164747639069,0.008226853776172053,0.8771600504228904,0.008846804216763015,0.8777978366044831,0.007449317515498925
mulcross.npz,0.979431623440376,0.0027259012962582247,0.929041813558521,0.004216373298276241,0.9315723049315257,0.00453457793404485,0.9345803508010523,0.004698826366560014
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6168711233539986,0.009144018984824854,0.6168711233539986,0.009144018984824854,0.6168711233539986,0.009144018984824854
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.6583599602378373,0.014543805082521507,0.6540630906267675,0.012060937231805758,0.6554818786318996,0.010902733754183437
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9928640253332961,0.0020699832299699676,0.9930679928502937,0.0021216309222937975,0.9924392739364946,0.00411523678406505
smtp.npz,0.8918200772309008,0.007096510242809495,0.8980744836672765,0.011750747772120368,0.8946336613193729,0.04197549105087544,0.8942548479560444,0.03382608796060813
