dataset,run,AUC_Original,AUC_k2,AUC_k4,AUC_k5
Friday-WorkingHours-Morning,8,0.502019086,0.553817,0.569323478,0.544769736
Friday-WorkingHours-Morning,1,0.562617259,0.583808504,0.561054657,0.508441716
Friday-WorkingHours-Morning,0,0.499439566,0.588695538,0.542153903,0.570787316
Friday-WorkingHours-Morning,2,0.573466076,0.568987344,0.565288711,0.604784127
Friday-WorkingHours-Morning,4,0.574802657,0.574060396,0.614401654,0.587320893
Friday-WorkingHours-Morning,5,0.571829603,0.573450175,0.597258645,0.547213454
Friday-WorkingHours-Morning,7,0.497589589,0.58337735,0.581477722,0.594006168
Friday-WorkingHours-Morning,9,0.536919036,0.583218996,0.541991689,0.578885818
Friday-WorkingHours-Morning,3,0.573635612,0.586158758,0.586045427,0.542822119
Friday-WorkingHours-Morning,6,0.551815417,0.605940095,0.56282382,0.586911756
Thursday-WorkingHours-Afternoon-Infilteration,1,0.926012834,0.926047681,0.940962331,0.927390239
Thursday-WorkingHours-Afternoon-Infilteration,0,0.929971345,0.937712882,0.925707637,0.927454205
Thursday-WorkingHours-Morning-WebAttacks,0,0.610273597,0.609406708,0.622380082,0.62572918
Thursday-WorkingHours-Morning-WebAttacks,1,0.601618592,0.673543575,0.685844763,0.688500732
Thursday-WorkingHours-Morning-WebAttacks,2,0.611215364,0.684797957,0.668897116,0.632182764
Thursday-WorkingHours-Morning-WebAttacks,3,0.595507092,0.654793382,0.634129136,0.620617894
Thursday-WorkingHours-Afternoon-Infilteration,2,0.923591137,0.902000467,0.925156059,0.92851154
Thursday-WorkingHours-Afternoon-Infilteration,6,0.918088111,0.92093591,0.918995471,0.929625526
Thursday-WorkingHours-Afternoon-Infilteration,4,0.91911113,0.925227148,0.930869994,0.928961322
Thursday-WorkingHours-Afternoon-Infilteration,7,0.923014098,0.918011872,0.925406002,0.926539962
Thursday-WorkingHours-Afternoon-Infilteration,9,0.913759379,0.925686508,0.91982101,0.927177645
Thursday-WorkingHours-Afternoon-Infilteration,3,0.920707337,0.928014109,0.936497437,0.92751278
Thursday-WorkingHours-Afternoon-Infilteration,8,0.920073888,0.924094344,0.928155325,0.93026191
Thursday-WorkingHours-Afternoon-Infilteration,5,0.91139592,0.92411658,0.922909654,0.927808399
Thursday-WorkingHours-Morning-WebAttacks,4,0.600169611,0.647464974,0.669144469,0.682172092
Thursday-WorkingHours-Morning-WebAttacks,5,0.626390185,0.632191451,0.618773157,0.6079315
Thursday-WorkingHours-Morning-WebAttacks,6,0.657937942,0.657195635,0.654807174,0.639773527
Thursday-WorkingHours-Morning-WebAttacks,7,0.650100117,0.628863161,0.590831716,0.668329397
Thursday-WorkingHours-Morning-WebAttacks,8,0.62122978,0.62162392,0.648459611,0.653451012
Thursday-WorkingHours-Morning-WebAttacks,9,0.645509133,0.713845576,0.626946641,0.650879209
backdoor,0,0.641695672,0.591488846,0.591488846,0.591488846
backdoor,1,0.59692984,0.587421476,0.587421476,0.587421476
backdoor,2,0.667320371,0.699663691,0.699663691,0.699663691
backdoor,3,0.556445505,0.639609392,0.639609392,0.639609392
Tuesday-WorkingHours,1,0.630216913,0.616957804,0.632128569,0.628242328
Tuesday-WorkingHours,0,0.635961087,0.645900947,0.646655353,0.624502202
Tuesday-WorkingHours,4,0.631925899,0.608869497,0.631477296,0.634837413
Tuesday-WorkingHours,5,0.644105801,0.63521148,0.646745279,0.666315891
Tuesday-WorkingHours,2,0.621868859,0.66190874,0.641309182,0.645306123
Tuesday-WorkingHours,3,0.616454299,0.624803448,0.613031921,0.640329933
backdoor,5,0.638009869,0.68025257,0.68025257,0.68025257
backdoor,4,0.6077242,0.673543916,0.673543916,0.673543916
campaign,0,0.698532259,0.736429463,0.744841223,0.743852743
campaign,1,0.718033049,0.744270604,0.752221332,0.714519755
Tuesday-WorkingHours,6,0.669449617,0.632494606,0.628958698,0.652274777
Tuesday-WorkingHours,7,0.635253389,0.627868892,0.622225181,0.643823624
campaign,2,0.70235486,0.731439893,0.767943146,0.710101197
campaign,3,0.71292203,0.725774248,0.727952656,0.709168478
campaign,4,0.702485819,0.723311449,0.732370981,0.749013269
campaign,5,0.710254745,0.736721551,0.729768626,0.736619442
