dataset,AUC_Original_mean,AUC_Original_std,AUC_k2_mean,AUC_k2_std,AUC_k4_mean,AUC_k4_std,AUC_k5_mean,AUC_k5_std
Friday-WorkingHours-Morning.npz,0.5444133902786679,0.03134944892189659,0.5801514157212785,0.013067066363025915,0.5721819707418978,0.021840709130748183,0.5665943101892846,0.028319066564476882
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9205725177833379,0.005217393193861471,0.9231847499551421,0.008574971513204951,0.9274480919828086,0.006628757283878947,0.9281243526418373,0.0011198894188438901
Thursday-WorkingHours-Morning-WebAttacks.npz,0.621995141328348,0.021216401873007044,0.6523726339132833,0.030138462337128785,0.6420213864357472,0.0272388708949362,0.6469567306543639,0.02533290058496266
Tuesday-WorkingHours.npz,0.6318112189950517,0.015880518556383158,0.630754037870867,0.01431179654918212,0.6358213476978076,0.012284197132070419,0.6412505064891716,0.011325100696830123
backdoor.npz,0.6186276188035845,0.03329577817574836,0.6348149870496822,0.0421300390116146,0.6348149870496822,0.0421300390116146,0.6348149870496822,0.0421300390116146
campaign.npz,0.7083410252530447,0.008051627273743034,0.729210550166904,0.008576264160965874,0.7335330368565854,0.016728132904499846,0.7342900688820182,0.016718178110246115
celeba.npz,0.793206472342574,0.003808558866677442,0.8388519740886304,0.006313931072272625,0.8474234562008052,0.0030899710597784833,0.8491685841628138,0.0031513159858616124
census.npz,0.6641783406113024,0.00891197551561253,0.6637945992277542,0.007718322014242607,0.6637945992277542,0.007718322014242607,0.6637945992277542,0.007718322014242607
cover.npz,0.8782419509077268,0.01845534967612216,0.8607294734211688,0.031221222825888104,0.8745111152518292,0.01663676403335833,0.8638267693600021,0.03216891370948992
donors.npz,0.7333621749613257,0.007191580701609868,0.8846080650733106,0.004434867017509862,0.8637932563053221,0.007000423093224641,0.8587198425670733,0.007797357633254571
fraud.npz,0.9432602161463818,0.001583750944555575,0.9497458239737243,0.0029881014531560938,0.9513312616731499,0.0013704357156578161,0.949382710820144,0.0032611584383992575
http.npz,0.9431487036963441,0.011302018795552177,0.9412897923681864,0.010675515023620363,0.946995794710675,0.016918376456587753,0.9523272933399933,0.021533099431472413
insects.npz,0.7539241299007153,0.005751766753272539,0.793333370254156,0.010888237680381678,0.7998741938011387,0.007670856881018399,0.7992999377324357,0.004070162161385714
mammography.npz,0.8690286551313742,0.004430846764348652,0.8724813202909878,0.008324655054745913,0.8732293713336009,0.01000425265621589,0.8711390221057893,0.010166377581639218
mulcross.npz,0.979431623440376,0.0027259012962582247,0.9885024959993736,0.0012735044514237306,0.9840527418070304,0.0015737913980868857,0.9821402802247288,0.0007307513087575372
nyc_taxi.npz,0.6093642929821457,0.013523123256184186,0.6168711233539986,0.009144018984824854,0.6168711233539986,0.009144018984824854,0.6168711233539986,0.009144018984824854
nyc_taxi_shingle.npz,0.660870540743954,0.006380956603657188,0.658079563413292,0.011417027011596682,0.6485365868613184,0.015138063655793963,0.6495802861526812,0.009631438207973202
shuttle.npz,0.9971461123437002,0.0006610132816746912,0.9957346674976776,0.0009217882598383176,0.9964031552507482,0.0016169928979435564,0.9971586088724941,0.0007227137459373685
smtp.npz,0.8918200772309008,0.007096510242809495,0.9029894035279525,0.010527683555560333,0.9054101227144349,0.010670132742878051,0.9055369194541976,0.013458037056890098
