dataset,run,AUC_Original,AUC_k2,AUC_k4,AUC_k5
Friday-WorkingHours-Morning.npz,8,0.5020190864858411,0.5538170004280968,0.5693234781572719,0.5447697358826239
Friday-WorkingHours-Morning.npz,1,0.5626172590907815,0.5838085040294322,0.5610546573722102,0.5084417156214776
Friday-WorkingHours-Morning.npz,0,0.49943956606619044,0.5886955380256428,0.5421539031352334,0.5707873162630517
Friday-WorkingHours-Morning.npz,2,0.5734660764786397,0.5689873439720683,0.5652887111057171,0.6047841267829609
Friday-WorkingHours-Morning.npz,4,0.5748026566564396,0.5740603960893559,0.614401654274238,0.5873208927894846
Friday-WorkingHours-Morning.npz,5,0.5718296031504192,0.5734501754589616,0.5972586453753865,0.5472134539806734
Friday-WorkingHours-Morning.npz,7,0.49758958916430135,0.5833773497842467,0.5814777220459361,0.5940061678684624
Friday-WorkingHours-Morning.npz,9,0.5369190361831448,0.5832189960207285,0.541991688790844,0.5788858181741953
Friday-WorkingHours-Morning.npz,3,0.5736356124751828,0.5861587584061996,0.586045426817508,0.5428221185683012
Friday-WorkingHours-Morning.npz,6,0.5518154170357377,0.6059400949980533,0.5628238203446327,0.5869117559616153
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9260128339598028,0.9260476805999321,0.9409623313595888,0.927390238859279
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.929971344895487,0.9377128821675303,0.9257076370743609,0.9274542045840466
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6102735972634927,0.6094067080821506,0.6223800822527528,0.6257291798606108
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.6016185921615617,0.6735435753905925,0.6858447634483316,0.6885007323695904
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6112153639532116,0.6847979565982922,0.6688971155460582,0.6321827641240798
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.5955070917552291,0.6547933824248973,0.6341291361344479,0.6206178936121073
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9235911368629708,0.9020004666754458,0.9251560590413748,0.9285115402060918
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9180881111734885,0.9209359095204102,0.9189954714769663,0.9296255256837065
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.919111129593307,0.9252271481124672,0.9308699935389324,0.9289613217696394
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9230140976799454,0.918011872115526,0.9254060018620813,0.9265399615878362
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9137593787517895,0.9256865076889785,0.9198210095591457,0.927177645476059
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.920707336738678,0.9280141092313178,0.9364974371355061,0.9275127796683524
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9200738883536753,0.9240943435239541,0.9281553247591345,0.9302619100425322
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9113959198242343,0.9241165799158597,0.9229096540209942,0.9278083985408306
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6001696107095061,0.647464973521561,0.6691444689294956,0.6821720916892252
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6263901848728641,0.632191450989659,0.6187731565653012,0.6079314996601076
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.6579379418505309,0.6571956348677748,0.6548071736763262,0.6397735272776308
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6501001171485872,0.6288631609477362,0.5908317156944086,0.6683293968331478
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.6212297803316708,0.6216239199239548,0.6484596114480943,0.6534510121330284
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6455091332368259,0.7138455763862137,0.626946640662255,0.6508792089841118
backdoor.npz,0,0.6416956721468903,0.5914888456442149,0.5914888456442149,0.5914888456442149
backdoor.npz,1,0.5969298397484729,0.5874214762900687,0.5874214762900687,0.5874214762900687
backdoor.npz,2,0.6673203714732892,0.6996636910945212,0.6996636910945212,0.6996636910945212
backdoor.npz,3,0.5564455047853849,0.6396093920968434,0.6396093920968434,0.6396093920968434
Tuesday-WorkingHours.npz,1,0.6302169132444534,0.6169578035729095,0.6321285693644625,0.6282423284488077
Tuesday-WorkingHours.npz,0,0.6359610870006859,0.6459009465174821,0.6466553533068033,0.6245022021092677
Tuesday-WorkingHours.npz,4,0.6319258993366793,0.6088694966466603,0.6314772955499988,0.6348374127121966
Tuesday-WorkingHours.npz,5,0.6441058009112164,0.6352114798483192,0.6467452792084286,0.6663158910663183
Tuesday-WorkingHours.npz,2,0.6218688594045614,0.66190874048819,0.6413091820551244,0.6453061225128218
Tuesday-WorkingHours.npz,3,0.6164542987212906,0.6248034481250325,0.6130319213630935,0.640329932658422
backdoor.npz,5,0.6380098685577362,0.6802525704418806,0.6802525704418806,0.6802525704418806
backdoor.npz,4,0.6077241997811604,0.673543915659035,0.673543915659035,0.673543915659035
campaign.npz,0,0.6985322590650747,0.7364294634500497,0.7448412226198519,0.7438527433691358
campaign.npz,1,0.7180330490040494,0.7442706043398761,0.7522213318668316,0.7145197547250097
Tuesday-WorkingHours.npz,6,0.669449617210844,0.6324946062132917,0.6289586975590333,0.6522747770693598
Tuesday-WorkingHours.npz,7,0.6352533890550033,0.6278688916508415,0.6222251808821669,0.643823624213911
campaign.npz,2,0.7023548596224899,0.7314398925786779,0.7679431459761938,0.7101011972210376
campaign.npz,3,0.7129220300275877,0.7257742475176717,0.7279526563791405,0.7091684783685508
campaign.npz,4,0.702485819309892,0.7233114494212618,0.7323709809584372,0.7490132691585558
campaign.npz,5,0.710254744705121,0.7367215509929314,0.7297686256005329,0.7366194415327222
campaign.npz,6,0.7209174643501414,0.7283989813348907,0.7049471844772863,0.7472576038407687
campaign.npz,7,0.7167745274990281,0.7320373119383861,0.7216554021541817,0.7595696129888706
backdoor.npz,6,0.592345482624413,0.6565514319219564,0.6565514319219564,0.6565514319219564
backdoor.npz,7,0.6572018887611554,0.6486503898945968,0.6486503898945968,0.6486503898945968
backdoor.npz,8,0.5904809784992404,0.5731899864725736,0.5731899864725736,0.5731899864725736
backdoor.npz,9,0.6381223816581024,0.5977781709811307,0.5977781709811307,0.5977781709811307
campaign.npz,8,0.6979952173193118,0.7126812596236219,0.731395510108577,0.7417918966036161
campaign.npz,9,0.7031402816277508,0.7210407404716707,0.7222343084248206,0.7310066910119144
Tuesday-WorkingHours.npz,8,0.6088509764484236,0.6204195866012517,0.6386369342872087,0.6394779954260971
Tuesday-WorkingHours.npz,9,0.6240253486173585,0.6331053790446913,0.6570450634017555,0.6373947786745138
celeba.npz,0,0.7863876758039847,0.8409456523073109,0.8475177434279821,0.8482644861323161
celeba.npz,1,0.792286719802848,0.8454082831658293,0.8514965930911748,0.8479051538186022
celeba.npz,2,0.7884048383620661,0.8409594484366136,0.8453373214910901,0.8537995617228231
celeba.npz,3,0.7969599354053322,0.8454843095657576,0.8429259803994313,0.8447817691089305
celeba.npz,4,0.7899256572963927,0.8380888524783403,0.8442233717748011,0.8500111783737314
celeba.npz,5,0.7969031723950593,0.8358362595955554,0.8524115283121514,0.8443691983273138
celeba.npz,6,0.793679628053156,0.8358915745896813,0.8471265564246964,0.853045179733916
celeba.npz,7,0.7931845025840891,0.8440239153236401,0.8497380768651476,0.8488157888535901
celeba.npz,8,0.798674770181071,0.8228015080652878,0.8442020152022951,0.8530422626032271
celeba.npz,9,0.7956578235417409,0.8390799373582883,0.8492553750192812,0.847651262953687
census.npz,0,0.6653838483620995,0.66970170852902,0.66970170852902,0.66970170852902
census.npz,1,0.662598616378199,0.6564315390675817,0.6564315390675817,0.6564315390675817
cover.npz,0,0.8744224903070066,0.8571334976914544,0.8799371194950313,0.8732925333112631
cover.npz,1,0.873589934645451,0.9050118621622647,0.8705581965637372,0.8165315677787613
census.npz,2,0.6596975497663775,0.666903062162677,0.666903062162677,0.666903062162677
census.npz,3,0.6715799502787958,0.6723990909414295,0.6723990909414295,0.6723990909414295
census.npz,4,0.6646610670548919,0.6744425886624903,0.6744425886624903,0.6744425886624903
census.npz,5,0.6605085971556031,0.668336067301268,0.668336067301268,0.668336067301268
census.npz,6,0.6779351635333597,0.6576411770545584,0.6576411770545584,0.6576411770545584
census.npz,7,0.6592715993576166,0.6652508622681118,0.6652508622681118,0.6652508622681118
census.npz,8,0.6751515928911938,0.6575223769714507,0.6575223769714507,0.6575223769714507
census.npz,9,0.6449954213348889,0.6493175193189553,0.6493175193189553,0.6493175193189553
cover.npz,2,0.8790272124508031,0.8193751720118028,0.8422768428639896,0.8904717142561978
cover.npz,3,0.8820153656105292,0.8668342524628265,0.8884909987036226,0.8461021852897022
cover.npz,4,0.9090578520508789,0.8490780579842192,0.8675072417448461,0.8375360140511652
