dataset,run,AUC_Original,AUC_TopN
Friday-WorkingHours-Morning.npz,1,0.5594696064431314,0.5485213905316206
Friday-WorkingHours-Morning.npz,5,0.5195951624333618,0.563953461281395
Friday-WorkingHours-Morning.npz,7,0.5093752309790915,0.5725095240799118
Friday-WorkingHours-Morning.npz,3,0.5544055466544581,0.580494706508715
Friday-WorkingHours-Morning.npz,4,0.5592692691989283,0.5757406446382334
Friday-WorkingHours-Morning.npz,9,0.5332860668203542,0.5805586589813111
Friday-WorkingHours-Morning.npz,8,0.5020949260501295,0.5163392117488037
Friday-WorkingHours-Morning.npz,0,0.5053809865751812,0.5342205829696645
Friday-WorkingHours-Morning.npz,6,0.5309184236878657,0.5400632129628609
Friday-WorkingHours-Morning.npz,2,0.556424809354966,0.5373124751090057
Thursday-WorkingHours-Afternoon-Infilteration.npz,0,0.9288822429992908,0.9243451045668736
Thursday-WorkingHours-Afternoon-Infilteration.npz,1,0.9262231651992574,0.9219422747116586
Thursday-WorkingHours-Morning-WebAttacks.npz,0,0.6227316657497046,0.6603857464709506
Thursday-WorkingHours-Morning-WebAttacks.npz,1,0.5543889904220284,0.6614771372607676
Thursday-WorkingHours-Morning-WebAttacks.npz,3,0.6164723481658632,0.6632880664450029
Thursday-WorkingHours-Morning-WebAttacks.npz,2,0.6173923922367732,0.6417281402187204
Thursday-WorkingHours-Afternoon-Infilteration.npz,2,0.9177588970595598,0.9119917781181582
Thursday-WorkingHours-Afternoon-Infilteration.npz,4,0.9217511476288498,0.9193917798123595
Thursday-WorkingHours-Afternoon-Infilteration.npz,5,0.9162322388022922,0.9167533982212427
Thursday-WorkingHours-Afternoon-Infilteration.npz,8,0.9273004750694429,0.9297540347018629
Thursday-WorkingHours-Afternoon-Infilteration.npz,6,0.9181962608977572,0.9172857720975829
Thursday-WorkingHours-Afternoon-Infilteration.npz,3,0.9262706702183288,0.9330100296716254
Thursday-WorkingHours-Afternoon-Infilteration.npz,9,0.9151582499516768,0.925955654666331
Thursday-WorkingHours-Afternoon-Infilteration.npz,7,0.9151851550232684,0.9252258004523517
Thursday-WorkingHours-Morning-WebAttacks.npz,5,0.6468647233834712,0.6536298415570266
Thursday-WorkingHours-Morning-WebAttacks.npz,4,0.6031520516767314,0.6868497274260683
Thursday-WorkingHours-Morning-WebAttacks.npz,7,0.6302350379445562,0.6703122782258218
Thursday-WorkingHours-Morning-WebAttacks.npz,6,0.566593664266637,0.6151915905249943
Thursday-WorkingHours-Morning-WebAttacks.npz,8,0.646315397096945,0.6892183506530614
Thursday-WorkingHours-Morning-WebAttacks.npz,9,0.6195396476727328,0.6076720214851687
backdoor.npz,0,0.6242064871627954,0.5784140569813987
backdoor.npz,1,0.6776646514032973,0.6360566466756234
backdoor.npz,2,0.6687651560270917,0.6845723324884464
backdoor.npz,3,0.6525959154558927,0.6252282834018938
Tuesday-WorkingHours.npz,1,0.6372143716450583,0.6477708879858165
Tuesday-WorkingHours.npz,0,0.6373780258655081,0.6373043802702023
Tuesday-WorkingHours.npz,3,0.640257043452175,0.6626815758860083
Tuesday-WorkingHours.npz,4,0.6457439162845084,0.6494461493138033
Tuesday-WorkingHours.npz,2,0.653677985335668,0.6277039217165913
Tuesday-WorkingHours.npz,5,0.6295597014873064,0.6432276722753285
backdoor.npz,4,0.6288884633674521,0.6391124046039419
backdoor.npz,5,0.6258619302206402,0.6727674690785191
campaign.npz,0,0.7040335300672143,0.733462333308488
campaign.npz,1,0.7094332783434538,0.7254652213385893
Tuesday-WorkingHours.npz,7,0.6418115213332017,0.6275922923086672
Tuesday-WorkingHours.npz,6,0.6482739486062852,0.646157413012845
campaign.npz,2,0.6975640059317364,0.7090048414130873
campaign.npz,3,0.7147659354679534,0.7384130175527318
campaign.npz,4,0.7048929395636537,0.735501765745944
campaign.npz,5,0.7091633953034837,0.7283340926481189
campaign.npz,6,0.7091600488540343,0.7307803029695479
backdoor.npz,6,0.6456360729834669,0.6747578936919717
backdoor.npz,7,0.6034665969519429,0.6637579952630923
campaign.npz,7,0.7030653447473895,0.7349843722284912
backdoor.npz,8,0.6409743556004931,0.6647773999639883
backdoor.npz,9,0.6764773127051621,0.6867467855048777
campaign.npz,8,0.7057629309165463,0.7270501764566578
campaign.npz,9,0.7050116014178802,0.740395805067875
Tuesday-WorkingHours.npz,8,0.6317303276392179,0.6395072347187366
Tuesday-WorkingHours.npz,9,0.6335143954036879,0.6635591467863831
celeba.npz,0,0.784639602728153,0.8473146119695831
celeba.npz,1,0.7876978050575926,0.8461371871773763
celeba.npz,5,0.7886716003582392,0.843224960754876
celeba.npz,2,0.7907482265211255,0.8437623263207348
celeba.npz,3,0.7908113690197149,0.8463366963745242
celeba.npz,4,0.7879618203758979,0.8460363385159889
celeba.npz,6,0.7843501682859046,0.8461905028209864
celeba.npz,7,0.7973582242393453,0.8434779888064888
celeba.npz,8,0.7845084312316989,0.846807051772898
celeba.npz,9,0.7903257533744851,0.8440618202555259
census.npz,0,0.6711979075809592,0.6673218549598627
census.npz,1,0.6523901690825845,0.6540426879309732
cover.npz,0,0.8726456109453508,0.8808624423330356
cover.npz,1,0.8824771031355809,0.9125480933863319
census.npz,2,0.660769332457539,0.6760094510946554
census.npz,3,0.6571476737608131,0.6735760318928008
census.npz,4,0.677453239462479,0.6532734254111345
census.npz,8,0.6722301951554452,0.6540114711288861
census.npz,7,0.6761384851349377,0.6739709659847352
census.npz,6,0.6706102643707692,0.6641223676686275
census.npz,5,0.6850894050378231,0.6606650632391443
census.npz,9,0.6632265099301627,0.6663478190972404
cover.npz,2,0.9039368171054408,0.8806275381199512
cover.npz,3,0.8952452712733626,0.8860884683814199
cover.npz,4,0.9035038757743142,0.873894793949721
cover.npz,5,0.8681216569213823,0.9003661841465819
cover.npz,7,0.8902491046430004,0.898148833525357
cover.npz,6,0.8796342043514668,0.8836233741196362
cover.npz,8,0.8477730173024765,0.8376705761853829
cover.npz,9,0.905546034771999,0.8709614743457001
fraud.npz,1,0.9456910054389749,0.9528086047351865
fraud.npz,0,0.9428154518869987,0.9516131626592454
donors.npz,0,0.7381102150592032,0.8784013532729338
donors.npz,2,0.7309268281114005,0.8837744338961878
donors.npz,3,0.7280133527279361,0.8844597648389383
donors.npz,1,0.7203470292981561,0.8917758242249555
donors.npz,5,0.7311055220415277,0.8752425392938445
donors.npz,4,0.7454344257851465,0.8861122321742271
donors.npz,6,0.7368978602094365,0.877361088528698
donors.npz,7,0.7409130841479494,0.8767399134065443
donors.npz,8,0.731588816203494,0.8900270187536191
donors.npz,9,0.7317645607465122,0.8871122552546389
fraud.npz,2,0.9464991809582552,0.9516525169824092
fraud.npz,3,0.9445220211922851,0.951813244184532
fraud.npz,4,0.9429755070988622,0.9555563085659171
fraud.npz,5,0.9400773560872094,0.9518877028499108
fraud.npz,6,0.944220540626172,0.9531010062839668
fraud.npz,7,0.9437844618408902,0.9544977165913966
fraud.npz,8,0.9431105485456487,0.9521830604409485
fraud.npz,9,0.9432970687355959,0.9539309071053534
insects.npz,0,0.747078499585196,0.7741182897010364
insects.npz,1,0.7493081270733094,0.778005371160847
http.npz,0,0.9448640853500738,0.9860636951043861
http.npz,1,0.932325761907679,0.9747258977505882
http.npz,2,0.9377994462896786,0.9806884473696701
http.npz,4,0.9729800820339851,0.9857305378074396
http.npz,3,0.9447935968664747,0.9765879282541523
http.npz,5,0.9568491102005487,0.9806752913862896
http.npz,6,0.9563379342782773,0.9731749246841555
http.npz,7,0.9314684971320912,0.9861583132921012
http.npz,9,0.9507496497036403,0.9872799114813784
http.npz,8,0.9426451310891651,0.9787820103215831
mammography.npz,0,0.872109662744104,0.8665543419319854
insects.npz,2,0.7551458989662538,0.8019190561855674
mammography.npz,1,0.8802787343572842,0.874054042634103
insects.npz,3,0.7539229255195398,0.7768588915270603
mammography.npz,2,0.882371706843006,0.8609134571370223
mammography.npz,3,0.8637180543524954,0.865672997697167
mammography.npz,4,0.866064901865506,0.8772058253931366
mammography.npz,5,0.8683427348079915,0.8618599426756525
mammography.npz,6,0.869614926865682,0.8675473066711739
mammography.npz,7,0.8650152465862436,0.8679835773491363
mammography.npz,8,0.8560380706906388,0.8815083204811301
mammography.npz,9,0.8723219881830154,0.8601120430425566
insects.npz,4,0.7524359121568992,0.7841390740997302
insects.npz,5,0.7465234160289096,0.7845547306229576
