dataset,AUC_Original_mean,AUC_Original_std,AUC_TopN_mean,AUC_TopN_std
Friday-WorkingHours-Morning.npz,0.5330220028197468,0.02204040953160218,0.5549713868811521,0.02150467021124784
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9212958502849723,0.005153754191767824,0.9225655627020046,0.006053272904711142
Thursday-WorkingHours-Morning-WebAttacks.npz,0.6123685918615444,0.028990339928262145,0.6549752900267583,0.02561655450319526
Tuesday-WorkingHours.npz,0.6399161237052617,0.007251898136879328,0.6444950674274382,0.011738964797343739
backdoor.npz,0.6444536941878234,0.023403307913017143,0.6526191267653754,0.03172866388090957
campaign.npz,0.7062853010613347,0.0044012720223492825,0.730339192872953,0.008474955661473762
celeba.npz,0.7887073001192156,0.0037521689754131935,0.8453349484768984,0.0014474635049855943
census.npz,0.6686253181973514,0.00956650104979483,0.6643341138408061,0.008221271625983058
cover.npz,0.8849132696224375,0.017646795384226532,0.8824791778493118,0.01924619774275762
donors.npz,0.7335101694330763,0.006725369029779004,0.8831006423644588,0.005549160686379554
fraud.npz,0.9436993142410893,0.0016641513767330285,0.9529044230398866,0.0012904245125564728
http.npz,0.9470813294851613,0.012011522142432516,0.9809866957451744,0.004891290515020752
insects.npz,0.7502023521458172,0.00457959105266149,0.7879329085084702,0.012869506575149871
mammography.npz,0.8695876027295967,0.007378881930507717,0.8683411855013062,0.006786446984397389
mulcross.npz,0.9783902654826304,0.001522294890402277,0.9739079708908982,0.000973880666195926
nyc_taxi.npz,0.6070014171782137,0.013002677460530559,0.6096480241881354,0.010736534123678034
nyc_taxi_shingle.npz,0.6552386726120859,0.006480244645737974,0.6482787804328466,0.01364610507299083
shuttle.npz,0.9969242594393093,0.0005301358180563244,0.9981243079534068,0.0004400084354740801
smtp.npz,0.8901722977945041,0.009038609597195102,0.9123763569721562,0.003981978461496434
