dataset,AUC_AIF,AUC_LassoFS,AP_AIF,AP_LassoFS,runtime_s,memory_MB,anomaly_ratio,last_selected_features,Prec@1%_AIF,Prec@1%_LassoFS,Prec@2%_AIF,Prec@2%_LassoFS,Prec@5%_AIF,Prec@5%_LassoFS,AUC_diff,AP_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.5645050548885551,0.010645370385398478,0.01117431525392358,267.4065508842468,59.62109375,0.010291415619290908,17,0.002617801047120419,0.009947643979057591,0.0075916230366492145,0.010732984293193717,0.00460684745052874,0.00460684745052874,-0.005388152189919726,-0.0005289448685251025
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9145430431089518,0.010371377864682113,0.006970029688586253,378.8307297229767,33.734375,0.00012473926029618645,4,0.007623007623007623,0.006237006237006237,0.004851004851004851,0.004158004158004158,0.002079002079002079,0.0019404019404019404,0.010245586028075904,0.0034013481760958603
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.7148170270638546,0.015146599370935602,0.02153462637321045,238.77835369110107,20.64453125,0.01279598041862813,12,0.04286553141514973,0.018790369935408103,0.025535661872615203,0.011740534194305841,0.010331063629960084,0.007396102371448697,-0.13410685439242276,-0.006388027002274848
Tuesday-WorkingHours.npz,0.6052959927879411,0.6759834740257411,0.03864480678744831,0.04901150225517304,625.1734104156494,31.9921875,0.031026509893274188,8,0.0,0.00022426553038797938,0.015025790535994617,0.03633101592285266,0.05732226956716752,0.06248037676609105,-0.0706874812378,-0.01036669546772473
backdoor.npz,0.5963380148386174,0.3760672470071146,0.027625146191070565,0.01885862393952294,155.27817726135254,38.9765625,0.02443118043827167,6,0.002098635886673662,0.007345225603357817,0.004197271773347324,0.026232948583420776,0.005245488879563575,0.026856903063365505,0.2202707678315028,0.008766522251547625
campaign.npz,0.7130010091830112,0.7001124023721285,0.2974125998622045,0.24911372247905395,56.838178396224976,-48.58203125,0.11265417111780131,8,0.6618004866180048,0.38929440389294406,0.5795868772782503,0.33171324422843257,0.4424477901894123,0.3389995143273434,0.012888606810882774,0.04829887738315053
celeba.npz,0.7872573682934594,0.8686885184725397,0.09646538483721136,0.12873335030885272,295.3508849143982,-66.890625,0.022443348683853327,13,0.16641975308641976,0.20790123456790124,0.14119970377684524,0.16835349296470006,0.12538256491262711,0.1435482278605983,-0.08143115017908031,-0.03226796547164136
census.npz,0.6640788103752422,0.4833191110176743,0.09166539355543213,0.05740084066421149,326.35156059265137,160.05078125,0.062041198189017155,2,0.08622994652406417,0.03977272727272727,0.08705096073517127,0.04110275689223058,0.09055065490510558,0.04109863672814756,0.18075969935756792,0.034264552891220636
cover.npz,0.8459589406083023,0.8813636361691385,0.04308704444722577,0.043875920825580034,390.30025339126587,-72.6484375,0.009603283365029646,4,0.07272727272727272,0.04195804195804196,0.06398601398601399,0.051923076923076926,0.049643406516571106,0.0509718920430709,-0.03540469556083614,-0.0007888763783542654
donors.npz,0.7285119295973419,0.7594365047923677,0.12071910411489759,0.14028041103851835,859.7041954994202,50.40234375,0.05927411411760527,5,0.22283222993702567,0.2189568868076861,0.18149523655740352,0.1999838527369611,0.1370212491119292,0.16049861138022348,-0.030924575195025783,-0.019561306923620764
fraud.npz,0.94359164352947,0.9460580336506986,0.12447827141080994,0.06659183920663247,396.15545129776,-44.1953125,0.001727485630620034,7,0.09445224719101124,0.07268258426966293,0.058462078651685394,0.048279494382022475,0.029073033707865167,0.026615168539325842,-0.0024663901212286232,0.05788643220417747
http.npz,0.917001984023586,0.9423425102674176,0.02316585031290262,0.05898544750702366,678.8639390468597,54.140625,0.003896048972859816,0,0.0014099400775467042,0.007225942897426859,0.0025552912150850295,0.05991717331923518,0.0020793684358920137,0.06724466060477902,-0.02534052624383154,-0.03581959719412105
insects.npz,0.7729105476895338,0.9159750314995183,0.1254318513211201,0.3236624485617838,292.8981120586395,-45.0,0.05505990193587246,8,0.034823529411764705,0.3284705882352941,0.05788235294117647,0.3503529411764706,0.1004235294117647,0.3796705882352941,-0.1430644838099845,-0.19823059724066366
mammography.npz,0.8680805850745428,0.8814857851111628,0.30771624259706637,0.22715877134541362,14.968971252441406,0.0,0.023249575248144506,4,0.5225225225225225,0.43243243243243246,0.37668161434977576,0.3452914798206278,0.2075134168157424,0.2003577817531306,-0.013405200036620046,0.08055747125165275
