dataset,AUC_AIF,AUC_LassoFS,AP_AIF,AP_LassoFS,runtime_s,memory_MB,anomaly_ratio,last_selected_features,Prec@1%_AIF,Prec@1%_LassoFS,Prec@2%_AIF,Prec@2%_LassoFS,Prec@5%_AIF,Prec@5%_LassoFS,AUC_diff,AP_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.5452395255298222,0.010645370385398478,0.010733464193189279,268.00947856903076,57.4609375,0.010291415619290908,13,0.002617801047120419,0.016753926701570682,0.0075916230366492145,0.011518324607329843,0.00460684745052874,0.00460684745052874,0.013877377168813099,-8.809380779080042e-05
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9128277605662329,0.010371377864682113,0.010991098542487985,376.593989610672,36.48828125,0.00012473926029618645,8,0.007623007623007623,0.008316008316008316,0.004851004851004851,0.0045045045045045045,0.002079002079002079,0.002079002079002079,0.011960868570794814,-0.0006197206778058711
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6924428415154605,0.015146599370935602,0.020558005464597063,239.2661008834839,22.234375,0.01279598041862813,10,0.04286553141514973,0.03229594832648268,0.025535661872615203,0.019078368065746993,0.010331063629960084,0.010448462080300541,-0.11173266884402866,-0.005411406093661461
Tuesday-WorkingHours.npz,0.6052959927879411,0.7007876184000853,0.03864480678744831,0.05477131315918664,626.4950108528137,31.1171875,0.031026509893274188,8,0.0,0.0006727965911639381,0.015025790535994617,0.047432159677057634,0.05732226956716752,0.06230096434178067,-0.0954916256121442,-0.016126506371738326
backdoor.npz,0.5963380148386174,0.41079954708513966,0.027625146191070565,0.01967322189781607,155.80783867835999,12.12109375,0.02443118043827167,7,0.002098635886673662,0.005246589716684155,0.004197271773347324,0.02465897166841553,0.005245488879563575,0.019932857742341586,0.1855384677534777,0.007951924293254496
campaign.npz,0.7130010091830112,0.6850061492114291,0.2974125998622045,0.2355429578231113,56.81334352493286,-26.08203125,0.11265417111780131,10,0.6618004866180048,0.34793187347931875,0.5795868772782503,0.2660996354799514,0.4424477901894123,0.3443419135502671,0.02799485997158213,0.061869642039093176
celeba.npz,0.7872573682934594,0.8762615807367765,0.09646538483721136,0.14461738558640025,303.51771116256714,-66.875,0.022443348683853327,15,0.16641975308641976,0.2276543209876543,0.14119970377684524,0.20957788200444336,0.12538256491262711,0.16418205153519597,-0.08900421244331713,-0.04815200074918889
census.npz,0.6640788103752422,0.5101418270987579,0.09166539355543213,0.06041401572049226,382.9254171848297,139.1484375,0.062041198189017155,4,0.08622994652406417,0.03442513368983957,0.08705096073517127,0.03876357560568087,0.09055065490510558,0.040229885057471264,0.1539369832764843,0.03125137783493987
cover.npz,0.8459589406083023,0.8620335645737951,0.04308704444722577,0.03819986609133794,424.5590486526489,-89.69140625,0.009603283365029646,1,0.07272727272727272,0.03076923076923077,0.06398601398601399,0.0472027972027972,0.049643406516571106,0.0467766745909663,-0.01607462396549275,0.004887178355887825
donors.npz,0.7285119295973419,0.7597875201978851,0.12071910411489759,0.13841363781889693,921.4878053665161,60.796875,0.05927411411760527,5,0.22283222993702567,0.21605037946068142,0.18149523655740352,0.19594703697723237,0.1370212491119292,0.158980817670994,-0.03127559060054319,-0.017694533703999343
fraud.npz,0.94359164352947,0.9204786600914565,0.12447827141080994,0.04860671021235998,399.87777638435364,-32.79296875,0.001727485630620034,6,0.09445224719101124,0.055126404494382025,0.058462078651685394,0.04073033707865169,0.029073033707865167,0.023665730337078653,0.02311298343801349,0.07587156119844995
http.npz,0.917001984023586,0.9214457004444095,0.02316585031290262,0.029539501456664723,709.6467158794403,50.3125,0.003896048972859816,0,0.0014099400775467042,0.007049700387733521,0.0025552912150850295,0.0037888800775398713,0.0020793684358920137,0.032670754916472824,-0.004443716420823529,-0.006373651143762104
insects.npz,0.7729105476895338,0.7798437870269304,0.1254318513211201,0.17630686110758065,319.27461981773376,-48.359375,0.05505990193587246,6,0.034823529411764705,0.17835294117647058,0.05788235294117647,0.2063529411764706,0.1004235294117647,0.23661176470588235,-0.006933239337396535,-0.050875009786460534
mammography.npz,0.8680805850745428,0.8702036634060804,0.30771624259706637,0.2682863442163302,16.567010641098022,0.05859375,0.023249575248144506,4,0.5225225225225225,0.4774774774774775,0.37668161434977576,0.39461883408071746,0.2075134168157424,0.24329159212880144,-0.0021230783315375756,0.039429898380736184
