dataset,AUC_AIF,AUC_LassoFS,AP_AIF,AP_LassoFS,runtime_s,memory_MB,anomaly_ratio,last_selected_features,Prec@1%_AIF,Prec@1%_LassoFS,Prec@2%_AIF,Prec@2%_LassoFS,Prec@5%_AIF,Prec@5%_LassoFS,AUC_diff,AP_diff
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.5339606165653807,0.010645370385398478,0.0105773425084343,284.87857961654663,62.4453125,0.010291415619290908,11,0.002617801047120419,0.005235602094240838,0.0075916230366492145,0.01099476439790576,0.00460684745052874,0.00460684745052874,0.0251562861332546,6.802787696417838e-05
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9142755325760255,0.010371377864682113,0.0230008177758284,420.5600371360779,26.86328125,0.00012473926029618645,10,0.007623007623007623,0.009702009702009701,0.004851004851004851,0.004851004851004851,0.002079002079002079,0.002079002079002079,0.0105130965610023,-0.012629439911146288
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.7169309355729682,0.015146599370935602,0.020983924378329754,255.70005559921265,33.8515625,0.01279598041862813,7,0.04286553141514973,0.008807985907222548,0.025535661872615203,0.004696213677722336,0.010331063629960084,0.008570086874853252,-0.13622076290153629,-0.005837325007394152
Tuesday-WorkingHours.npz,0.6052959927879411,0.706262470894558,0.03864480678744831,0.0559293478984966,637.3771195411682,25.96484375,0.031026509893274188,15,0.0,0.005606638259699484,0.015025790535994617,0.10293787844808253,0.05732226956716752,0.06239067055393586,-0.10096647810661685,-0.01728454111104829
backdoor.npz,0.5963380148386174,0.6791937330618614,0.027625146191070565,0.04982210606581603,154.14080810546875,11.84375,0.02443118043827167,20,0.002098635886673662,0.008394543546694649,0.004197271773347324,0.007869884575026232,0.005245488879563575,0.06189676877885019,-0.082855718223244,-0.022196959874745466
campaign.npz,0.7130010091830112,0.7635024871637865,0.2974125998622045,0.308891542818689,59.17553734779358,-48.26171875,0.11265417111780131,13,0.6618004866180048,0.5790754257907542,0.5795868772782503,0.49210206561360875,0.4424477901894123,0.38902379796017483,-0.05050147798077531,-0.01147894295648455
celeba.npz,0.7872573682934594,0.8640045432439385,0.09646538483721136,0.13871765773062522,292.7738718986511,-39.640625,0.022443348683853327,14,0.16641975308641976,0.2237037037037037,0.14119970377684524,0.20587509256973588,0.12538256491262711,0.16092407937604897,-0.07674717495047911,-0.042252272893413864
census.npz,0.6640788103752422,0.7165295492397455,0.09166539355543213,0.1042437262638431,486.1404194831848,184.6171875,0.062041198189017155,15,0.08622994652406417,0.0711898395721925,0.08705096073517127,0.06817042606516291,0.09055065490510558,0.051055867415129644,-0.052450738864503355,-0.012578332708410966
cover.npz,0.8459589406083023,0.8844299849373034,0.04308704444722577,0.04737360510717603,388.56995463371277,-120.91015625,0.009603283365029646,2,0.07272727272727272,0.0534965034965035,0.06398601398601399,0.06433566433566433,0.049643406516571106,0.05873304432946441,-0.03847104432900106,-0.004286560659950263
donors.npz,0.7285119295973419,0.7511805947135919,0.12071910411489759,0.14150213844869486,853.1738576889038,60.328125,0.05927411411760527,7,0.22283222993702567,0.21847246891651864,0.18149523655740352,0.18843855966413692,0.1370212491119292,0.17435251566233934,-0.022668665116249986,-0.020783034333797273
fraud.npz,0.94359164352947,0.922308317995513,0.12447827141080994,0.06037292918689504,394.3277130126953,-49.0,0.001727485630620034,5,0.09445224719101124,0.06320224719101124,0.058462078651685394,0.045470505617977525,0.029073033707865167,0.024367977528089887,0.021283325533956954,0.0641053422239149
http.npz,0.917001984023586,0.8466686598985609,0.02316585031290262,0.012850535990498511,690.5091419219971,54.4375,0.003896048972859816,0,0.0014099400775467042,0.007578427916813535,0.0025552912150850295,0.0042294475284166,0.0020793684358920137,0.004053006273348841,0.07033332412502513,0.010315314322404108
insects.npz,0.7729105476895338,0.8221003488607886,0.1254318513211201,0.18729799683843834,292.63513135910034,-54.93359375,0.05505990193587246,9,0.034823529411764705,0.1807058823529412,0.05788235294117647,0.20470588235294118,0.1004235294117647,0.2291764705882353,-0.04918980117125482,-0.06186614551731823
mammography.npz,0.8680805850745428,0.876002823963549,0.30771624259706637,0.36325213608131507,15.032261848449707,-0.0078125,0.023249575248144506,3,0.5225225225225225,0.6306306306306306,0.37668161434977576,0.4798206278026906,0.2075134168157424,0.24508050089445438,-0.007922238889006228,-0.0555358934842487
mulcross.npz,0.9763467879159038,0.9418815563391298,0.6569661210237204,0.44194803514882575,366.4070403575897,26.1484375,0.09999847412109375,4,0.33384204502098436,0.014498283098054178,0.5141167493323159,0.11407859595574209,0.6784924086366064,0.3404287785152972,0.03446523157677395,0.21501808587489468
nyc_taxi.npz,0.6192066738567994,0.6364565091041114,0.09240712606725056,0.0942416798980674,14.25066065788269,0.0,0.05193798449612403,1,0.14563106796116504,0.13592233009708737,0.16019417475728157,0.14563106796116504,0.07945736434108527,0.07945736434108527,-0.01724983524731205,-0.0018345538308168347
