dataset,AUC_AIF,AUC_LOGISTIC,AUC_ANOVA,AP_AIF,AP_LOGISTIC,AP_ANOVA,runtime_s,memory_MB,features_logistic,features_anova
Friday-WorkingHours-Morning.npz,0.5591169026986353,0.6213352736603823,0.683900693355482,0.010645370385398478,0.012303397322839058,0.015030451808340138,274.4358720779419,35.734375,63,2
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9247886291370278,0.9152559553100504,0.9112487360873346,0.010371377864682113,0.011141767089417526,0.005456293688310013,420.96820044517517,12.87890625,65,53
Thursday-WorkingHours-Morning-WebAttacks.npz,0.5807101726714319,0.6857303054711053,0.7278965419129128,0.015146599370935602,0.018998775164544703,0.021611354283280065,240.70375227928162,-2.4453125,65,53
Tuesday-WorkingHours.npz,0.6052959927879411,0.6044844478020026,0.6922381959431553,0.03864480678744831,0.040640275238512075,0.0502027932370054,634.4664044380188,35.97265625,53,11
backdoor.npz,0.5963380148386174,0.6554948244897206,0.7009719017345577,0.027625146191070565,0.03268381027474179,0.03739304733903085,153.3421983718872,17.69921875,41,137
campaign.npz,0.7130010091830112,0.7042678640842652,0.8207904761758746,0.2974125998622045,0.27338495578405403,0.39056992173662314,57.63654637336731,-55.23828125,48,9
celeba.npz,0.7872573682934594,0.6749139266555213,0.8492855279567478,0.09646538483721136,0.054613791311063774,0.11266238702564223,277.2184159755707,2.9609375,36,27
census.npz,0.6640788103752422,0.5678405523633604,0.8299816272084226,0.09166539355543213,0.06602628538443753,0.2625476363827403,482.85841178894043,57.78515625,135,22
cover.npz,0.8459589406083023,0.789768062617271,0.8971302230977607,0.04308704444722577,0.06069060942124362,0.06814706945763334,368.6166191101074,-129.609375,10,7
donors.npz,0.7285119295973419,0.7693039007762309,0.9497324963728818,0.12071910411489759,0.11953977048134767,0.382634949508639,714.6108770370483,48.390625,10,2
fraud.npz,0.94359164352947,0.9466484485818075,0.9447517918191334,0.12447827141080994,0.1100178180597783,0.3096710839667927,372.8596980571747,5.5234375,29,20
http.npz,0.917001984023586,0.9052232640028051,0.8174909570336393,0.02316585031290262,0.020328597804909858,0.010865651685527746,715.3706805706024,16.53515625,2,2
insects.npz,0.7729105476895338,0.7449992117398726,0.7983054345158633,0.1254318513211201,0.10559506924340448,0.14320946738029272,276.3769726753235,4.87109375,33,13
mammography.npz,0.8680805850745428,0.8658296889414713,0.8748522876921669,0.30771624259706637,0.21713252086583354,0.22219268030076555,14.322566509246826,0.61328125,6,4
mulcross.npz,0.9763467879159038,0.9653294832259269,0.9874344585379283,0.6569661210237204,0.5808280238417332,0.7841064260393014,348.713410615921,8.296875,4,2
nyc_taxi.npz,0.6192066738567994,0.6217693027605228,0.6364565091041114,0.09240712606725056,0.08648360328621782,0.0942416798980674,13.680800676345825,0.12109375,1,0
nyc_taxi_shingle.npz,0.6813452188068593,0.7010354602156109,0.6730879404456612,0.2153844129732366,0.2240069874413838,0.21924493803080916,13.468986988067627,-0.765625,48,17
shuttle.npz,0.996147481557389,0.9956105013227977,0.994580682634491,0.9482699278571912,0.9655547765810856,0.9711456804997842,64.2787024974823,0.8828125,9,3
smtp.npz,0.8950786325505119,0.9072736861285733,0.8024229267848257,0.002263510033788161,0.0019461191750963646,0.0022882935179609747,122.17472529411316,0.28125,3,2
