dataset,AUC_ScoreBased_mean,AUC_ScoreBased_std,AUC_Baseline_mean,AUC_Baseline_std,Time_mean_sec,Memory_delta_MB
Friday-WorkingHours-Morning.npz,0.6205626373166244,0.017899625577877058,0.6354373235879323,0.01272735760002909,1319.2791271686554,2.320703125
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9136604749385274,0.006109334413849475,0.920889910992825,0.004970618247640816,2106.316473698616,-3.947265625
Thursday-WorkingHours-Morning-WebAttacks.npz,0.6305966962963787,0.016797507047507963,0.6835222166109889,0.014363048555089365,1119.9825439453125,-3.489453125
Tuesday-WorkingHours.npz,0.5962745259277832,0.01705147833719089,0.6429818367558373,0.013606754313165782,3410.655898356438,-25.07421875
backdoor.npz,0.5796947307672775,0.03165750983635387,0.6343729862371132,0.029616531613267362,506.87985491752625,23.077734375
campaign.npz,0.6806428213912361,0.012093762186070887,0.7393697235190001,0.022581003369825683,209.64960412979127,-7.540625
celeba.npz,0.6503922523611779,0.004464359789878165,0.7120775398455289,0.005146043846285047,1524.205502963066,-2.592578125
census.npz,0.5554123292905226,0.008487674281372131,0.6458526145124344,0.005503151345483084,2332.2473517179487,-76.373046875
cover.npz,0.779234906123836,0.04980425672651603,0.7959474463524305,0.0454388939508297,2134.185949897766,-3.632421875
donors.npz,0.7866286181687363,0.0024696386276178164,0.8017957833948639,0.0026635278496358527,5071.156434679031,10.2421875
fraud.npz,0.9457850783562088,0.0011358319580006956,0.9467476214761795,0.0016309152373960474,2176.4056708574294,-5.51484375
http.npz,0.9383722598703134,0.00958250477383559,0.9325740773935403,0.018618620069678658,4238.827789711952,8.57421875
insects.npz,0.7871624498749988,0.0071192888855242465,0.7699957565837321,0.00751254594576769,1565.1314140081406,5.40078125
mammography.npz,0.8673301572546286,0.006823823800225926,0.8667941851703181,0.007254775791860186,50.65310065746307,-9.605078125
mulcross.npz,0.9550081347441288,0.004545738039843878,0.9692586833046081,0.002333254857640405,1803.2443322181703,14.0515625
nyc_taxi.npz,0.5992635421370254,0.013503035397841345,0.5992635421370254,0.013503035397841345,47.314203190803525,-3.869140625
nyc_taxi_shingle.npz,0.675180550722816,0.008207969474058184,0.6598435112105079,0.01765606694954734,45.04212112426758,-3.49375
shuttle.npz,0.9959058770023421,0.0008894486309903346,0.9955515047236453,0.0008146018793513517,248.44279687404634,-0.14140625
smtp.npz,0.8984372481410621,0.008897302989474479,0.9046300695919097,0.006953932179497547,475.895556306839,-2.082421875
