dataset,AUC_ScoreBased_mean,AUC_ScoreBased_std,AUC_Baseline_mean,AUC_Baseline_std,Time_mean_sec,Memory_delta_MB
Friday-WorkingHours-Morning.npz,0.6218390354776405,0.017407622179124848,0.608386789375279,0.02713439645380718,1523.8978758573533,12.164453125
Thursday-WorkingHours-Afternoon-Infilteration.npz,0.9153955680849443,0.005791386814019874,0.9086786616117859,0.012956610650689824,2194.982871413231,15.74921875
Thursday-WorkingHours-Morning-WebAttacks.npz,0.6255071130291856,0.027509748222829252,0.6435153088482094,0.024331332419060124,1318.1673085689545,9.75
Tuesday-WorkingHours.npz,0.5816731956154982,0.01661617757714164,0.5947320195534844,0.01611187667828653,3708.4965382099153,25.50390625
backdoor.npz,0.5629660974067047,0.05259043438569076,0.6071247071750763,0.03696286069950977,688.9822427988053,25.383984375
campaign.npz,0.6900479559473984,0.01074267756242894,0.6674680846020161,0.04209691403376483,387.999297952652,-1.1203125
celeba.npz,0.647081633111787,0.004244481572942979,0.7420891471052086,0.006659041336362727,1799.890599822998,4.8421875
census.npz,0.5540886041780588,0.008595473673048065,0.6533072662870952,0.017758601184708435,2632.135484480858,48.757421875
cover.npz,0.7771446844666816,0.051776953466494094,0.8940579434187222,0.01623224354787216,2437.5510193824766,15.3421875
donors.npz,0.7884562181126886,0.0025311119719659144,0.7008595762642504,0.007110238356741481,5354.381945586205,49.318359375
fraud.npz,0.9464134610944092,0.0017619512771734006,0.9452107368601954,0.0019401825871137245,2483.6817303180696,16.009375
http.npz,0.9422312377552812,0.011868141485570017,0.9455513966310107,0.010747029260130297,4477.059254860878,35.17734375
insects.npz,0.7856644865789184,0.005902396798841795,0.8074251326208717,0.008355797502871446,1685.9015996217727,14.36484375
mammography.npz,0.866485749899647,0.007268409685720639,0.8662907133148824,0.00949949951107059,49.305716729164125,-10.833203125
mulcross.npz,0.9607670554858568,0.003098187580686253,0.9730558612981361,0.005660034877954567,1931.776758313179,21.862890625
nyc_taxi.npz,0.5992635421370254,0.013503035397841345,0.6045712006199583,0.011696646668015686,47.27020652294159,-4.13828125
nyc_taxi_shingle.npz,0.6683148714167684,0.006804776159004941,0.6317680941599899,0.008716564110923917,45.26760342121124,-0.553125
shuttle.npz,0.9953578603853389,0.0007594619117812343,0.9398283257101863,0.08138471312527516,341.54907348155973,1.1796875
smtp.npz,0.9041420677136991,0.004412051630832589,0.89008246956668,0.008171387620293766,520.3460832118988,1.038671875
