dataset,method,auc,pr,runtime,seed,shuffled
backdoor,RRCF,0.732118831,0.158244015,10136.96186,9,FALSE
backdoor,RRCF,0.725185806,0.120749102,10005.59899,8,FALSE
backdoor,RRCF,0.764193038,0.130988463,9687.201796,5,FALSE
backdoor,RRCF,0.752875065,0.154542702,9807.948047,0,FALSE
backdoor,RRCF,0.707633765,0.109782317,9756.12235,2,FALSE
backdoor,RRCF,0.711190811,0.113078326,10137.17881,3,FALSE
backdoor,RRCF,0.72989965,0.116427252,9816.335736,7,FALSE
backdoor,RRCF,0.742188468,0.122550917,9914.352668,1,FALSE
backdoor,RRCF,0.747927741,0.131576536,9899.580332,6,FALSE
backdoor,RRCF,0.744183994,0.113557399,9820.40212,4,FALSE
campaign,RRCF,0.617296618,0.23881425,3237.306038,7,FALSE
campaign,RRCF,0.619201175,0.17427326,3220.013873,8,FALSE
campaign,RRCF,0.61983695,0.180417025,3209.463758,0,FALSE
campaign,RRCF,0.566184229,0.151818436,2968.182997,3,FALSE
campaign,RRCF,0.582900469,0.169292243,3050.306723,4,FALSE
campaign,RRCF,0.573029737,0.158319226,3174.624211,5,FALSE
campaign,RRCF,0.648224666,0.197483197,3252.546954,9,FALSE
campaign,RRCF,0.616358097,0.201248407,3231.192894,2,FALSE
campaign,RRCF,0.578213193,0.162569199,3258.839444,1,FALSE
campaign,RRCF,0.595691424,0.153451232,3158.632283,6,FALSE
celeba,RRCF,0.697829999,0.047151649,14835.45676,4,FALSE
celeba,RRCF,0.559776513,0.025493129,14136.76131,5,FALSE
celeba,RRCF,0.69599375,0.048456095,14442.25632,3,FALSE
celeba,RRCF,0.53373857,0.028063816,14083.594,9,FALSE
celeba,RRCF,0.593295001,0.030351265,14760.34772,1,FALSE
celeba,RRCF,0.564412873,0.024223575,13878.73558,0,FALSE
celeba,RRCF,0.587789031,0.039227736,14165.48943,6,FALSE
celeba,RRCF,0.623840665,0.039448066,14275.53467,7,FALSE
celeba,RRCF,0.676920489,0.064929729,14469.90975,8,FALSE
celeba,RRCF,0.630415603,0.039233033,13882.64835,2,FALSE
census,RRCF,0.561656906,0.071898476,61306.66422,5,FALSE
census,RRCF,0.528380833,0.07115533,54298.8311,9,FALSE
census,RRCF,0.569229996,0.080572507,58678.8743,1,FALSE
census,RRCF,0.537865642,0.073390321,58098.66591,4,FALSE
census,RRCF,0.569345767,0.077587171,61820.74522,6,FALSE
census,RRCF,0.529908896,0.071430246,59412.23153,7,FALSE
census,RRCF,0.530172985,0.070631657,59633.35061,2,FALSE
census,RRCF,0.557456391,0.075104645,56162.47102,3,FALSE
census,RRCF,0.551964418,0.070635464,58811.95618,8,FALSE
census,RRCF,0.532671234,0.069502165,58462.37448,0,FALSE
cover,RRCF,0.571228678,0.014927783,16129.50602,4,FALSE
cover,RRCF,0.571246193,0.01183822,16257.40159,9,FALSE
cover,RRCF,0.615602496,0.015862298,16077.21791,3,FALSE
cover,RRCF,0.575481248,0.013723582,16082.91235,6,FALSE
cover,RRCF,0.58429993,0.013042998,16011.40358,7,FALSE
cover,RRCF,0.537348844,0.011119297,16073.06116,0,FALSE
cover,RRCF,0.543821402,0.011939734,16161.12242,2,FALSE
cover,RRCF,0.609658091,0.014853647,16124.21905,8,FALSE
cover,RRCF,0.57326435,0.014537787,15962.14212,1,FALSE
cover,RRCF,0.545058523,0.011615421,16077.70512,5,FALSE
donors,RRCF,0.568020316,0.068793266,21886.62469,3,FALSE
donors,RRCF,0.611073027,0.080755009,21852.47527,1,FALSE
donors,RRCF,0.505035693,0.056169161,21464.47015,2,FALSE
donors,RRCF,0.686444939,0.084663456,22283.35833,4,FALSE
donors,RRCF,0.65185941,0.080027257,22216.85615,6,FALSE
donors,RRCF,0.590587965,0.065495772,21737.00989,0,FALSE
donors,RRCF,0.638561501,0.082923953,21792.14132,9,FALSE
donors,RRCF,0.540568596,0.059652611,21079.86521,5,FALSE
donors,RRCF,0.732729962,0.09649789,21715.53414,7,FALSE
donors,RRCF,0.534850734,0.061266285,21671.64722,8,FALSE
fraud,RRCF,0.864467142,0.03338701,21799.45018,9,FALSE
fraud,RRCF,0.873776463,0.018115571,22317.96546,6,FALSE
fraud,RRCF,0.853051722,0.023646531,22462.61054,3,FALSE
fraud,RRCF,0.800166718,0.01823554,22150.28507,4,FALSE
fraud,RRCF,0.837631447,0.025638118,23268.63233,5,FALSE
fraud,RRCF,0.876100298,0.032268845,21497.50468,7,FALSE
fraud,RRCF,0.866142225,0.025835106,21992.97126,1,FALSE
fraud,RRCF,0.878638034,0.031011552,22735.7155,0,FALSE
fraud,RRCF,0.88306937,0.032517407,21805.20229,2,FALSE
fraud,RRCF,0.873256964,0.027406789,21606.77345,8,FALSE
http,RRCF,0.246631208,0.00338003,29482.00179,6,FALSE
http,RRCF,0.253966668,0.003313479,29883.2215,1,FALSE
http,RRCF,0.225798232,0.002980441,29735.54505,7,FALSE
http,RRCF,0.24414978,0.003236371,29928.19011,0,FALSE
http,RRCF,0.227219115,0.002929141,29917.09855,9,FALSE
http,RRCF,0.230584268,0.003114388,29851.73412,3,FALSE
http,RRCF,0.237974149,0.003102567,29957.9784,2,FALSE
http,RRCF,0.243966811,0.003302276,29920.27821,4,FALSE
http,RRCF,0.246485332,0.003247389,29540.83354,8,FALSE
http,RRCF,0.251323861,0.003350843,29889.56957,5,FALSE
mammography,RRCF,0.779013761,0.11598741,524.0020549,0,FALSE
mammography,RRCF,0.693491503,0.059536512,498.6271434,1,FALSE
mammography,RRCF,0.727095085,0.065745397,500.3878877,9,FALSE
mammography,RRCF,0.727504771,0.064324861,482.8275254,6,FALSE
mammography,RRCF,0.761380538,0.079864537,503.3874137,7,FALSE
mammography,RRCF,0.748513194,0.087403251,506.1156981,4,FALSE
mammography,RRCF,0.72453063,0.051853419,503.9261472,3,FALSE
mammography,RRCF,0.728249847,0.060301015,501.4427733,5,FALSE
mammography,RRCF,0.747745759,0.071663612,511.0629375,8,FALSE
mammography,RRCF,0.803112346,0.107239438,499.8764846,2,FALSE
mulcross,RRCF,0.832738628,0.228594453,14963.5652,8,FALSE
mulcross,RRCF,0.924214309,0.388184945,14912.30685,7,FALSE
mulcross,RRCF,0.805558412,0.226597396,14934.05808,0,FALSE
mulcross,RRCF,0.725309255,0.153564873,14535.3134,1,FALSE
mulcross,RRCF,0.754337334,0.218707271,14363.16991,5,FALSE
mulcross,RRCF,0.722225092,0.1899374,14785.84939,6,FALSE
mulcross,RRCF,0.563189885,0.101241707,14603.24624,9,FALSE
mulcross,RRCF,0.612736215,0.119099221,14127.86109,3,FALSE
mulcross,RRCF,0.757195515,0.170027227,15381.42504,2,FALSE
mulcross,RRCF,0.55575162,0.105018194,14137.73366,4,FALSE
nyc taxi,RRCF,0.480594364,0.054099514,463.2166076,9,FALSE
nyc taxi,RRCF,0.496660993,0.05264816,454.1818612,1,FALSE
nyc taxi,RRCF,0.469829569,0.050537311,471.0640728,6,FALSE
nyc taxi,RRCF,0.544911125,0.056443866,474.4869688,7,FALSE
nyc taxi,RRCF,0.509934454,0.053554386,455.1735039,2,FALSE
nyc taxi,RRCF,0.459927436,0.054168826,452.9378393,5,FALSE
nyc taxi,RRCF,0.486889481,0.04957542,473.4854236,0,FALSE
nyc taxi,RRCF,0.511668933,0.051953793,473.3957415,3,FALSE
nyc taxi,RRCF,0.475594387,0.05798585,459.2452469,8,FALSE
nyc taxi,RRCF,0.454369131,0.050488271,462.6624272,4,FALSE
nyc taxi shingle,RRCF,0.53850762,0.061135304,673.3054736,8,FALSE
nyc taxi shingle,RRCF,0.579571748,0.064233428,714.7538846,5,FALSE
nyc taxi shingle,RRCF,0.605699103,0.080207134,682.5120583,0,FALSE
nyc taxi shingle,RRCF,0.574061627,0.090672475,693.0519841,7,FALSE
nyc taxi shingle,RRCF,0.536202786,0.065634807,685.5473835,4,FALSE
nyc taxi shingle,RRCF,0.504475351,0.060263763,688.5466409,6,FALSE
nyc taxi shingle,RRCF,0.509225561,0.052491797,672.8991714,3,FALSE
nyc taxi shingle,RRCF,0.593524336,0.098745326,673.5592334,9,FALSE
nyc taxi shingle,RRCF,0.569455217,0.066308447,691.2426095,2,FALSE
nyc taxi shingle,RRCF,0.537145681,0.067364307,671.3852417,1,FALSE
shuttle,RRCF,0.724288278,0.192683916,3924.473136,1,FALSE
shuttle,RRCF,0.701401483,0.204186976,3848.149192,8,FALSE
shuttle,RRCF,0.860014982,0.341709513,3832.054475,5,FALSE
shuttle,RRCF,0.79007651,0.257488491,3830.014351,0,FALSE
shuttle,RRCF,0.656312091,0.105652769,3801.415276,6,FALSE
shuttle,RRCF,0.877500869,0.395129251,3919.842894,9,FALSE
shuttle,RRCF,0.787213967,0.279972743,3629.762305,2,FALSE
shuttle,RRCF,0.866581589,0.345615164,3796.925539,4,FALSE
shuttle,RRCF,0.878871161,0.25655016,3668.752772,3,FALSE
shuttle,RRCF,0.612365106,0.09419156,3801.149817,7,FALSE
smtp,RRCF,0.721327678,0.001619684,6190.227727,5,FALSE
smtp,RRCF,0.839089734,0.010293923,6037.844806,9,FALSE
smtp,RRCF,0.84731076,0.014003487,5943.61645,4,FALSE
smtp,RRCF,0.80525934,0.016634473,6108.303585,7,FALSE
smtp,RRCF,0.78384441,0.007702363,6112.992884,2,FALSE
smtp,RRCF,0.778361506,0.006836079,6139.142668,1,FALSE
smtp,RRCF,0.866162774,0.010226055,6025.384693,3,FALSE
smtp,RRCF,0.820857775,0.009959946,6102.529049,6,FALSE
smtp,RRCF,0.7961982,0.013715968,5962.530724,8,FALSE
smtp,RRCF,0.779584446,0.006310838,6155.104292,0,FALSE
insects,RRCF,0.576200322,0.074340129,7984.586541,8,FALSE
insects,RRCF,0.613100843,0.081752558,7446.339822,4,FALSE
insects,RRCF,0.583292707,0.070051448,7731.40044,7,FALSE
insects,RRCF,0.592364703,0.073428435,6953.479294,2,FALSE
insects,RRCF,0.597450665,0.070811734,7569.145844,9,FALSE
insects,RRCF,0.591451735,0.082217634,7859.568091,0,FALSE
insects,RRCF,0.628856378,0.081248258,7642.520031,5,FALSE
insects,RRCF,0.653119817,0.0972045,8171.60807,1,FALSE
insects,RRCF,0.593441432,0.073807253,7594.565124,3,FALSE
insects,RRCF,0.607153228,0.080272383,6949.747949,6,FALSE
Tuesday-WorkingHours,RRCF,0.478647991,0.029359209,22892.6932,3,FALSE
Tuesday-WorkingHours,RRCF,0.497489842,0.030885289,22646.45418,1,FALSE
Tuesday-WorkingHours,RRCF,0.460661817,0.029487554,23871.26942,0,FALSE
Tuesday-WorkingHours,RRCF,0.417525159,0.026238088,22994.5456,2,FALSE
Tuesday-WorkingHours,RRCF,0.461801533,0.028085936,24398.97154,7,FALSE
Tuesday-WorkingHours,RRCF,0.45943736,0.028658018,23211.59665,8,FALSE
Tuesday-WorkingHours,RRCF,0.453526365,0.028231269,22765.69151,5,FALSE
Tuesday-WorkingHours,RRCF,0.404999796,0.02574207,23990.97461,9,FALSE
Tuesday-WorkingHours,RRCF,0.437593336,0.027909207,23086.83356,6,FALSE
Tuesday-WorkingHours,RRCF,0.454141957,0.027939313,24067.22871,4,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.533499528,0.012546538,16261.18483,9,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.676626042,0.018830336,15441.32539,7,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.563578036,0.013578628,15048.6367,5,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.495642274,0.01141281,15001.11092,1,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.626193372,0.015815209,15710.7421,8,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.665109694,0.017874023,16215.57765,6,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.589545552,0.015055277,15937.31082,2,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.608798442,0.015356207,16455.31826,0,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.666059028,0.018091344,15801.68625,4,FALSE
Thursday-WorkingHours-Morning-WebAttacks,RRCF,0.633886039,0.016159496,15541.5559,3,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.840210154,0.000887106,27955.12805,9,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.801972031,0.000859815,27896.30079,2,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.869641366,0.000677513,27950.12699,0,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.8623589,0.001590644,28423.79305,5,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.841463959,0.001118817,26932.34301,1,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.841316198,0.001798853,26857.65188,3,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.835149739,0.000773229,27395.00236,4,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.849755005,0.001538941,27504.16722,6,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.807921758,0.000689736,27841.27721,8,FALSE
Thursday-WorkingHours-Afternoon-Infilteration,RRCF,0.876158843,0.000929099,27441.29459,7,FALSE
Friday-WorkingHours-Morning,RRCF,0.644838657,0.015790964,11436.47795,9,FALSE
Friday-WorkingHours-Morning,RRCF,0.567186544,0.012309879,10294.98378,8,FALSE
Friday-WorkingHours-Morning,RRCF,0.564764824,0.013198679,9633.893994,5,FALSE
Friday-WorkingHours-Morning,RRCF,0.608153057,0.014370518,12024.61636,2,FALSE
Friday-WorkingHours-Morning,RRCF,0.553033456,0.011715886,9895.028246,4,FALSE
Friday-WorkingHours-Morning,RRCF,0.629359074,0.01547844,9661.349966,3,FALSE
Friday-WorkingHours-Morning,RRCF,0.53014776,0.011451269,10040.25928,1,FALSE
Friday-WorkingHours-Morning,RRCF,0.59247919,0.013232019,10548.99308,6,FALSE
Friday-WorkingHours-Morning,RRCF,0.581781402,0.012492561,12417.82306,7,FALSE
Friday-WorkingHours-Morning,RRCF,0.615594953,0.013844598,11462.51536,0,FALSE
backdoor,HST,0.546397956,0.031101123,116.1553531,9,FALSE
backdoor,HST,0.67515509,0.048565477,116.7387774,3,FALSE
backdoor,HST,0.522488061,0.029403691,112.5748663,5,FALSE
backdoor,HST,0.665100334,0.043743902,112.0618386,2,FALSE
backdoor,HST,0.563987255,0.032024545,113.0481715,8,FALSE
backdoor,HST,0.507813663,0.026994794,114.9283278,0,FALSE
backdoor,HST,0.470172851,0.027701115,115.6101129,7,FALSE
backdoor,HST,0.558859539,0.036923784,115.7633584,1,FALSE
backdoor,HST,0.639376593,0.037436955,111.8985467,4,FALSE
backdoor,HST,0.522496307,0.026834996,113.4968231,6,FALSE
campaign,HST,0.687166906,0.239346837,51.06672096,5,FALSE
campaign,HST,0.681214118,0.253760014,48.57686305,7,FALSE
campaign,HST,0.700025828,0.25358226,49.63620663,2,FALSE
campaign,HST,0.702707667,0.2746085,51.85543799,4,FALSE
campaign,HST,0.663853463,0.239276378,49.74125195,1,FALSE
campaign,HST,0.702015934,0.28034179,51.52806163,3,FALSE
campaign,HST,0.683005191,0.264684703,50.43445563,0,FALSE
campaign,HST,0.693512877,0.285258973,50.52078342,9,FALSE
campaign,HST,0.712990513,0.275717813,51.35115075,8,FALSE
campaign,HST,0.706423951,0.286135698,50.27117825,6,FALSE
celeba,HST,0.691125777,0.062157085,325.0056853,6,FALSE
celeba,HST,0.757360633,0.080814293,325.616787,5,FALSE
celeba,HST,0.745674124,0.075142933,326.4837768,7,FALSE
celeba,HST,0.717923176,0.062814951,315.5010529,9,FALSE
celeba,HST,0.737890497,0.072028494,326.3593302,0,FALSE
celeba,HST,0.769121348,0.079834592,328.1373637,2,FALSE
celeba,HST,0.758272708,0.074761914,332.8952267,4,FALSE
celeba,HST,0.724168496,0.06755852,328.8561847,8,FALSE
celeba,HST,0.741833422,0.079850584,324.9504049,3,FALSE
celeba,HST,0.768390808,0.082305887,327.960007,1,FALSE
