dataset,total_features,windows,mean_logistic,mean_anova
Friday-WorkingHours-Morning.npz,78,191033,372.6153491805081,372.6153491805081
Thursday-WorkingHours-Afternoon-Infilteration.npz,78,288602,563.1797873888607,563.1797873888607
Thursday-WorkingHours-Morning-WebAttacks.npz,78,170366,332.25018489604736,332.25018489604736
Tuesday-WorkingHours.npz,78,445909,870.4199601263934,870.4199601263934
backdoor.npz,196,95329,185.6936713906576,185.6936713906576
campaign.npz,62,41188,79.9494998543265,79.9494998543265
celeba.npz,39,202599,395.20522806134284,395.20522806134284
census.npz,500,299285,584.0449538065724,584.0449538065724
cover.npz,10,286048,558.1915098165343,558.1915098165343
donors.npz,10,619326,1209.1250375408106,1209.1250375408106
fraud.npz,29,284807,555.7676882941781,555.7676882941781
http.npz,3,567498,1107.8984736510085,1107.8984736510085
insects.npz,33,212514,414.5703812454709,414.5703812454709
mammography.npz,6,11183,21.34811767861933,21.34811767861933
mulcross.npz,4,262144,511.50390625,511.50390625
nyc_taxi.npz,1,10320,19.662790697674417,19.662790697674417
nyc_taxi_shingle.npz,48,10273,19.569745935948603,19.569745935948603
shuttle.npz,9,49097,95.39690816139479,95.39690816139479
smtp.npz,3,95156,185.35574214973306,185.35574214973306
