dataset,total_features,windows,mean_logistic,mean_anova
Friday-WorkingHours-Morning.npz,78,746,75.6970509383378,46.312332439678286
Thursday-WorkingHours-Afternoon-Infilteration.npz,78,1127,77.91570541259982,52.22981366459627
Thursday-WorkingHours-Morning-WebAttacks.npz,78,665,75.39548872180451,45.4812030075188
Tuesday-WorkingHours.npz,78,1741,72.6318207926479,41.60654796094199
backdoor.npz,196,372,181.4516129032258,44.873655913978496
campaign.npz,62,160,50.13125,13.98125
celeba.npz,39,791,37.64222503160556,18.70164348925411
census.npz,500,1169,211.89820359281438,88.30538922155688
cover.npz,10,1117,10.0,6.7985675917636526
donors.npz,10,2419,9.988011575031004,3.6973956180239766
fraud.npz,29,1112,29.0,19.488309352517987
http.npz,3,2216,2.9981949458483754,1.9977436823104693
insects.npz,33,830,33.0,15.495180722891567
mammography.npz,6,43,6.0,3.5813953488372094
mulcross.npz,4,1024,4.0,1.5419921875
nyc_taxi.npz,1,40,1.0,1.0
nyc_taxi_shingle.npz,48,40,48.0,31.0
shuttle.npz,9,191,9.0,3.094240837696335
smtp.npz,3,371,3.0,2.0
