window,original_run_0,random_run_0,tournament_run_0,original_run_1,random_run_1,tournament_run_1,original_run_2,random_run_2,tournament_run_2,original_run_3,random_run_3,tournament_run_3,original_run_4,random_run_4,tournament_run_4,original_run_5,random_run_5,tournament_run_5,original_run_6,random_run_6,tournament_run_6,original_run_7,random_run_7,tournament_run_7,original_run_8,random_run_8,tournament_run_8,original_run_9,random_run_9,tournament_run_9,original_mean,original_std,random_mean,random_std,tournament_mean,tournament_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
150,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
200,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709675,0.0,0.6419354838709675,0.0,0.6419354838709675,0.0
250,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7146341463414634,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7146341463414634,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.7292682926829268,0.724390243902439,0.7292682926829268,0.7292682926829269,0.0,0.7258536585365855,0.00610568564407109,0.7292682926829269,0.0
300,0.7784313725490196,0.7745098039215687,0.7784313725490196,0.7823529411764706,0.7823529411764706,0.7823529411764706,0.7823529411764706,0.7784313725490196,0.7823529411764706,0.7823529411764706,0.7588235294117648,0.7784313725490196,0.7823529411764706,0.7549019607843137,0.7823529411764706,0.7823529411764706,0.7705882352941177,0.7823529411764706,0.7823529411764706,0.7627450980392158,0.7823529411764706,0.7823529411764706,0.7549019607843137,0.7823529411764706,0.7823529411764706,0.7823529411764706,0.7745098039215687,0.7823529411764706,0.7666666666666667,0.7823529411764706,0.7819607843137255,0.0012401088863405365,0.7686274509803922,0.010659808124379137,0.7807843137254902,0.0027419839167847
350,0.8081967213114754,0.7721311475409836,0.8016393442622951,0.8180327868852459,0.8114754098360655,0.8147540983606557,0.8114754098360655,0.8049180327868852,0.8081967213114754,0.8114754098360655,0.7819672131147541,0.8049180327868852,0.8147540983606557,0.7754098360655737,0.8081967213114754,0.8114754098360655,0.7786885245901639,0.8114754098360655,0.8147540983606557,0.7688524590163934,0.8016393442622951,0.8081967213114754,0.7524590163934426,0.8049180327868852,0.8114754098360655,0.8147540983606557,0.798360655737705,0.8180327868852459,0.7819672131147541,0.8147540983606557,0.8127868852459015,0.003524484261551322,0.7842622950819672,0.02003609868909931,0.8068852459016392,0.005615402220181442
400,0.8352112676056338,0.7704225352112677,0.823943661971831,0.8436619718309859,0.8267605633802817,0.8408450704225352,0.8323943661971831,0.8126760563380282,0.8183098591549296,0.823943661971831,0.795774647887324,0.8154929577464789,0.8352112676056338,0.7901408450704226,0.8267605633802817,0.8380281690140845,0.767605633802817,0.8352112676056338,0.8323943661971831,0.7816901408450705,0.8154929577464789,0.8154929577464789,0.7591549295774648,0.8098591549295775,0.8211267605633803,0.8295774647887324,0.8070422535211268,0.8436619718309859,0.8042253521126761,0.8408450704225352,0.8321126760563381,0.009337885363719664,0.7938028169014084,0.024558972196390368,0.823380281690141,0.012300111093943881
450,0.845679012345679,0.7814814814814814,0.825925925925926,0.8530864197530865,0.8234567901234568,0.8506172839506173,0.8333333333333334,0.8209876543209877,0.8135802469135802,0.8432098765432099,0.8061728395061729,0.8358024691358025,0.845679012345679,0.7987654320987654,0.8382716049382717,0.8555555555555556,0.737037037037037,0.8530864197530865,0.8530864197530865,0.7691358024691358,0.8382716049382717,0.8209876543209877,0.7641975308641975,0.8135802469135802,0.8308641975308642,0.845679012345679,0.8185185185185185,0.8580246913580247,0.8209876543209877,0.8506172839506173,0.8439506172839508,0.012099045376229963,0.79679012345679,0.03332672799463057,0.8338271604938272,0.015256337923599712
500,0.8582417582417583,0.7901098901098902,0.8384615384615385,0.8648351648351649,0.8362637362637363,0.8560439560439561,0.8428571428571429,0.8252747252747252,0.8252747252747252,0.8538461538461539,0.8186813186813187,0.8472527472527472,0.8538461538461539,0.8098901098901099,0.845054945054945,0.8670329670329671,0.7461538461538462,0.8604395604395605,0.8648351648351649,0.7747252747252747,0.8494505494505495,0.8296703296703296,0.7703296703296703,0.8208791208791208,0.8428571428571429,0.8582417582417583,0.8296703296703296,0.8736263736263736,0.8384615384615385,0.8670329670329671,0.8551648351648353,0.013476667882862343,0.8068131868131868,0.03547179819292612,0.843956043956044,0.01530592118371885
550,0.8722772277227723,0.8089108910891089,0.8544554455445544,0.8782178217821782,0.8524752475247525,0.8702970297029703,0.8584158415841584,0.8425742574257425,0.8425742574257425,0.8683168316831683,0.8366336633663366,0.8623762376237624,0.8683168316831683,0.8287128712871287,0.8603960396039604,0.8801980198019802,0.7712871287128712,0.8742574257425743,0.8782178217821782,0.797029702970297,0.8643564356435643,0.8465346534653465,0.793069306930693,0.8386138613861386,0.8584158415841584,0.8722772277227723,0.8465346534653465,0.8861386138613861,0.8544554455445544,0.8801980198019802,0.8695049504950496,0.012142344330103687,0.8257425742574258,0.032069291816489015,0.8594059405940595,0.013790483442756565
600,0.8783783783783784,0.8207207207207207,0.8621621621621621,0.8891891891891891,0.8567567567567568,0.8801801801801802,0.8693693693693694,0.8423423423423423,0.8531531531531531,0.8765765765765766,0.8405405405405405,0.8693693693693694,0.8729729729729729,0.8315315315315316,0.8657657657657657,0.890990990990991,0.7792792792792792,0.8855855855855855,0.8891891891891891,0.799099099099099,0.8747747747747747,0.8585585585585586,0.8027027027027026,0.8513513513513513,0.8711711711711712,0.881981981981982,0.8567567567567568,0.8963963963963963,0.8513513513513513,0.8891891891891891,0.8792792792792792,0.011868512219441121,0.8306306306306306,0.030721762800862792,0.8688288288288287,0.013377358801470406
650,0.8884297520661157,0.8190082644628099,0.8702479338842976,0.8983471074380166,0.8636363636363636,0.8884297520661157,0.8768595041322315,0.8487603305785124,0.8619834710743802,0.8834710743801653,0.8421487603305785,0.8768595041322315,0.8834710743801653,0.8322314049586778,0.8768595041322315,0.9,0.7909090909090909,0.8950413223140495,0.8966942148760331,0.8074380165289256,0.8818181818181818,0.8702479338842976,0.8008264462809918,0.8603305785123967,0.8801652892561983,0.8900826446280992,0.8636363636363636,0.9049586776859504,0.8586776859504132,0.8966942148760331,0.8882644628099176,0.011330320977583184,0.8353719008264463,0.03124943366287812,0.877190082644628,0.013310090617456858
700,0.8938931297709924,0.8175572519083969,0.8755725190839694,0.9061068702290076,0.8694656488549619,0.8954198473282442,0.884732824427481,0.8511450381679388,0.8694656488549619,0.8923664122137404,0.8480916030534351,0.8816793893129771,0.8923664122137404,0.83587786259542,0.8862595419847328,0.9076335877862595,0.783969465648855,0.9015267175572519,0.9015267175572519,0.8083969465648855,0.8862595419847328,0.8801526717557252,0.8022900763358778,0.8648854961832061,0.884732824427481,0.8954198473282442,0.866412213740458,0.9122137404580152,0.8648854961832061,0.9045801526717557,0.8955725190839694,0.010877974197007926,0.8377099236641221,0.03460410115008647,0.8832061068702289,0.014249363867684472
