window,original_run_0,random_run_0,tournament_run_0,original_run_1,random_run_1,tournament_run_1,original_run_2,random_run_2,tournament_run_2,original_run_3,random_run_3,tournament_run_3,original_run_4,random_run_4,tournament_run_4,original_run_5,random_run_5,tournament_run_5,original_run_6,random_run_6,tournament_run_6,original_run_7,random_run_7,tournament_run_7,original_run_8,random_run_8,tournament_run_8,original_run_9,random_run_9,tournament_run_9,original_mean,original_std,random_mean,random_std,tournament_mean,tournament_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
150,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
200,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
250,0.5368357487922706,0.643719806763285,0.6080917874396136,0.643719806763285,0.643719806763285,0.643719806763285,0.6080917874396136,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.572463768115942,0.6407004830917875,0.6080917874396136,0.6080917874396136,0.643719806763285,0.643719806763285,0.6080917874396136,0.6080917874396136,0.6080917874396136,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.643719806763285,0.6152173913043478,0.036796460133049505,0.6398550724637679,0.0112007458298422,0.6330314009661835,0.01720996835799467
300,0.6480908152734778,0.7248022015823874,0.7022130489622749,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.6999197339754615,0.7270955165692008,0.7270955165692008,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.6752665978672171,0.7225088865955739,0.7023277147116156,0.7023277147116156,0.7293888315560142,0.7293888315560142,0.7023277147116156,0.7023277147116156,0.7023277147116156,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.7293888315560142,0.707487673431946,0.028037697165563043,0.7253067308794864,0.008428118917155966,0.7210296984290794,0.012951359759607806
350,0.6903575487367777,0.7884430457207798,0.7316198968441296,0.7936882594632398,0.7936882594632398,0.7936882594632398,0.7297840720342686,0.7917650144243378,0.7917650144243378,0.7730570854095637,0.7730570854095637,0.7730570854095637,0.7936882594632398,0.7936882594632398,0.7936882594632398,0.7111635632485357,0.7797010228166799,0.7524259113558878,0.7317073170731707,0.7730570854095637,0.7730570854095637,0.7524259113558878,0.7524259113558878,0.7524259113558878,0.7936882594632398,0.7936882594632398,0.7936882594632398,0.7936882594632398,0.7936882594632398,0.7936882594632398,0.7563248535711165,0.03884574818811915,0.7833202202989771,0.013766963772307492,0.7749103942652329,0.022574695086122434
400,0.7073321858864028,0.8333907056798624,0.7398278829604131,0.8375215146299484,0.8375215146299484,0.8375215146299484,0.7708777969018934,0.8360068846815836,0.8360068846815836,0.805025817555938,0.805025817555938,0.805025817555938,0.8375215146299484,0.8375215146299484,0.8375215146299484,0.7400344234079175,0.8251290877796902,0.805025817555938,0.7887091222030982,0.8212736660929432,0.8212736660929432,0.7887779690189329,0.7887779690189329,0.7887779690189329,0.8375215146299484,0.8375215146299484,0.8375215146299484,0.8375215146299484,0.8375215146299484,0.8375215146299484,0.7950843373493977,0.04558239481340615,0.8259690189328743,0.01678036057927015,0.8146024096385542,0.031702352723880715
450,0.751853365244294,0.8587356254742864,0.7794057556476562,0.8622380479831884,0.8622380479831884,0.8622380479831884,0.8057322981729029,0.860953826396591,0.860953826396591,0.834685657579826,0.834685657579826,0.834685657579826,0.8622380479831884,0.8622380479831884,0.8622380479831884,0.7795808767731014,0.8505633062868484,0.834685657579826,0.8208510886696632,0.8484618527815072,0.8484618527815072,0.8209094623781449,0.8209094623781449,0.8209094623781449,0.8622380479831884,0.8622380479831884,0.8622380479831884,0.8622380479831884,0.8622380479831884,0.8622380479831884,0.8262564940750685,0.03864831502333339,0.8523261922829958,0.014238979002347812,0.8428054404296305,0.026879731090675835
500,0.7748507200561995,0.876310903708164,0.7985347985347986,0.8815796076070048,0.8815796076070049,0.8815796076070049,0.8330071754729289,0.8804756886948668,0.8804756886948668,0.8578955291284058,0.8578955291284058,0.8578955291284058,0.8815796076070048,0.8815796076070048,0.8815796076070048,0.8105273721712077,0.8640674394099053,0.8578955291284058,0.8460033117567365,0.8697375683677053,0.8697375683677053,0.8460534898891064,0.8460534898891064,0.8460534898891064,0.8815796076070049,0.8815796076070048,0.8815796076070048,0.8815796076070049,0.8815796076070049,0.8815796076070049,0.8494656028902605,0.035861426525690104,0.8720859049626174,0.012461605570412206,0.8636911034171308,0.02629297162002788
550,0.7995089285714285,0.8881249999999999,0.8206249999999999,0.8946428571428571,0.8946428571428572,0.8946428571428572,0.8514285714285714,0.8936607142857143,0.8936607142857143,0.8735714285714284,0.8735714285714284,0.8735714285714284,0.8946428571428571,0.8946428571428571,0.8946428571428571,0.8313392857142857,0.8736607142857143,0.8735714285714286,0.861875,0.8831696428571428,0.8840625,0.8630357142857144,0.8630357142857144,0.8630357142857144,0.8946428571428572,0.8946428571428572,0.8946428571428572,0.8946428571428572,0.89375,0.8946428571428572,0.8659330357142856,0.03197132671908202,0.8852901785714286,0.011471800411616164,0.8787098214285713,0.023428276246234992
600,0.8201369698426049,0.8995954984180383,0.8390804597701149,0.9054827986703512,0.9054827986703512,0.9054827986703512,0.866714726260563,0.9046017061155833,0.9046017061155833,0.8865793584044215,0.8865793584044215,0.8865793584044215,0.9054827986703513,0.9054827986703513,0.9054827986703513,0.8486923785494013,0.8858184148343947,0.8865793584044214,0.8760863470703674,0.8951900356441987,0.895991028875806,0.8771276382714566,0.8771276382714567,0.8771276382714567,0.9054827986703512,0.9054827986703512,0.9054827986703512,0.9054827986703513,0.904681805438744,0.9054827986703512,0.879726861308022,0.02868187426438533,0.8970042853137891,0.01038808328288278,0.8911890744523208,0.02101779758563272
650,0.8280557095343681,0.9124514966740576,0.8444429046563192,0.9182372505543237,0.9182372505543237,0.9182372505543237,0.88470066518847,0.9174750554323724,0.9174750554323724,0.9018847006651884,0.9018847006651884,0.9018847006651884,0.9182372505543237,0.9182372505543237,0.9182372505543237,0.8609340354767185,0.8990784368070953,0.8937084257206208,0.8845967294900221,0.9092987804878048,0.91002633037694,0.8937084257206208,0.8937084257206209,0.8937084257206209,0.9182372505543237,0.9182372505543237,0.9182372505543237,0.9182372505543237,0.9175443458980045,0.9182372505543237,0.8926829268292684,0.02983582957823427,0.9106152993348117,0.00924734273684205,0.9034194844789356,0.02306675362881013
700,0.8425895100027239,0.9229139553887595,0.8569050573529857,0.9285735903877002,0.9285735903877003,0.9285735903877003,0.8921037498865046,0.92790775097606,0.92790775097606,0.9142883084652401,0.9142883084652401,0.9142883084652401,0.9285735903877002,0.9285735903877002,0.9285735903877002,0.8713719318422566,0.9099906177173814,0.9000030265427802,0.8991555945643293,0.92076511001483,0.9214006839986684,0.9071456675040103,0.9071456675040102,0.9071456675040102,0.9285735903877002,0.9285735903877002,0.9285735903877002,0.9285735903877003,0.9279682818316637,0.9285735903877002,0.9040949123815866,0.02892889358004422,0.9216700463061047,0.008338507711807388,0.9141944856390545,0.02260822932508526
