window,original_run_0,globalLS_run_0,original_run_1,globalLS_run_1,original_run_2,globalLS_run_2,original_run_3,globalLS_run_3,original_run_4,globalLS_run_4,original_run_5,globalLS_run_5,original_run_6,globalLS_run_6,original_run_7,globalLS_run_7,original_run_8,globalLS_run_8,original_run_9,globalLS_run_9,original_mean,original_std,globalLS_mean,globalLS_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0
50,0.34600374014147495,0.4662574193023823,0.36551752174973573,0.5083746646068786,0.3461663549882104,0.48406374501992033,0.3458411252947394,0.4145458980404911,0.20769981299292628,0.4445483372631921,0.207455890722823,0.49016180177250185,0.3062444101146435,0.46755833807626634,0.36568013659647125,0.32892918123424675,0.28648670623627936,0.5097568908041304,0.3062444101146435,0.49048703146597283,0.30833401089519474,0.05925958425894495,0.4604683307585983,0.05458183742325291
100,0.2987660180351211,0.3990440029832531,0.31266526544172485,0.45213234795579366,0.2967319818292766,0.41890975659366736,0.29768119872533727,0.40107803918909757,0.1811309241304495,0.38066987592379137,0.18119872533731096,0.4411485524442335,0.26269577598481253,0.41206183470065766,0.3135466811309241,0.30073225303410406,0.24676249237236422,0.45952267950369513,0.26262797477795113,0.4548443962302529,0.26538070377652717,0.049713233179493097,0.41201437385585465,0.04743565535118973
150,0.26126518983661845,0.34510727367870225,0.27033548462119883,0.40272690272690276,0.25911390197104484,0.3651084365370079,0.26033490319204605,0.3873771730914588,0.1581778010349439,0.32795511366939933,0.15724751439037152,0.40830862259433687,0.22707715564858424,0.3667364381650095,0.2715564858422001,0.27661491947206235,0.21480900052328625,0.42522821094249663,0.22701901273329847,0.4311587883016454,0.23069364497935924,0.04319718011966871,0.3736321879179022,0.04789103770943612
200,0.23713674996183012,0.3061478955672044,0.243651076390656,0.36645630820906916,0.23484655707669605,0.3317471627054812,0.2334724413456156,0.3665580945595196,0.14166115323935058,0.29057458394829244,0.14481653010331313,0.38131711537482826,0.2055829813222047,0.33485164639421855,0.2452796579978625,0.2568833019492086,0.1948954145249122,0.3976538246221182,0.20517583592040306,0.41159855463382355,0.2086518397882844,0.03866321506246826,0.3443788487963764,0.04939948615850338
250,0.21247567763247205,0.27220688718946556,0.21709127109823972,0.33496990814063987,0.20917236074030499,0.2966423820082357,0.2093533644056292,0.35076247794017823,0.12735870401375626,0.2584053577084936,0.12885198425268113,0.35895289379609935,0.18288157835196167,0.3039730304538667,0.21885605683515094,0.2374541834472148,0.17328838408977787,0.3762839947508937,0.18242906918865112,0.39307208470971533,0.18617584506086252,0.03450915564524481,0.31827232001448025,0.052556488630018286
300,0.19265550531589884,0.31575624261680724,0.19591429386125708,0.3672043667766507,0.18919304248645566,0.33816041386614526,0.19000773962279524,0.385616522057925,0.11570736078862683,0.2948592610696973,0.11615544421361358,0.39429304655994135,0.16462992382581776,0.3401564218501772,0.1977473624180211,0.28601979714041303,0.15603486903743533,0.41009817100492896,0.16422257525764797,0.4195079229296509,0.16822681168275694,0.03126259270395596,0.35516721658723366,0.04742973198656064
350,0.1778769584058669,0.37106929886292084,0.17961776362087484,0.4053668654394607,0.17517315456128008,0.3858846623949035,0.17483980888181042,0.4271454498314752,0.10720767435830955,0.3429201081521538,0.10683729027000997,0.4314048668469203,0.1509500351864884,0.38332901218563653,0.18165487610652245,0.3395866513574577,0.14294973887921775,0.4494796103559391,0.15054261268935884,0.44647949924071256,0.1547649912959739,0.02872305719345216,0.39826660246675794,0.04021126179966994
400,0.1713300960983395,0.4149716458962953,0.16980203062922336,0.4360249923596727,0.16807022309755845,0.42706034160752493,0.16593093144079596,0.45164521715508166,0.1021257088525926,0.3752419436992767,0.10300859112363744,0.45083024890488643,0.14477571394614416,0.4100139223742742,0.17275629053618113,0.3753438147305511,0.1379163978403341,0.473377703826955,0.14419844476892255,0.46081360996977827,0.14799144283337295,0.027104799915431185,0.4275323440524296,0.03387658213346886
450,0.1595818050722593,0.4539797485814602,0.15707388946361953,0.46702090974638705,0.15632151478102763,0.46498322831436717,0.15425248440389985,0.47965453462490987,0.09525376971064922,0.4094955954732123,0.09515972287532527,0.4790902536129659,0.13371892535816168,0.4448885545001411,0.16033417975485129,0.4164550612871877,0.12732374055613027,0.5048277375466317,0.13337408696197375,0.48078309664879776,0.13723941189378977,0.025251354420380543,0.4601178720336061,0.029772553076943372
500,0.14974235057789165,0.48442458295729135,0.1463652508078838,0.4890244257474744,0.14651081545314276,0.48823837666307607,0.14514250778770854,0.5022999213950915,0.0894494745116306,0.43563131386648807,0.08854697371102506,0.49831145011499606,0.12426853765757373,0.46986811843139537,0.14962589886168448,0.4456461614603045,0.11832950013100817,0.5253573612041107,0.12418119887041837,0.4917319281492911,0.1282162508369967,0.023754414525387683,0.48305336399895193,0.026571921973196376
550,0.14232723715318352,0.5117666240930461,0.13778907035517265,0.5098100491861192,0.13950107339873366,0.5116307508356206,0.13811516617299383,0.5248104568058914,0.08485284926220822,0.4588575776515666,0.08357564064240876,0.5198103209326341,0.11694611266610505,0.49494551482377236,0.14124025109377966,0.47336884154460723,0.11132095980869042,0.5475012907959456,0.11691893801461996,0.5099459224435448,0.12125872985678958,0.022644383603939014,0.5062447349112748,0.025321849704543153
600,0.13912456368315118,0.5359754388646845,0.13379958725063057,0.5250707024382786,0.1365512497133685,0.5340900405105862,0.13497159163290784,0.5430584218706209,0.08429514127748479,0.47808861372264255,0.08291931004611582,0.535567785166501,0.11410481795714542,0.5145736197100563,0.13734107875359883,0.49332467069224695,0.10913653851053529,0.5701164360875437,0.11400290453259954,0.5287905424342021,0.11862467833575381,0.021537088185886906,0.5258656271497363,0.025811196420902745
650,0.1336123168421305,0.5570517278591812,0.12773687618408117,0.5375068946497518,0.1323652845391976,0.555564881651838,0.130182978009065,0.5631190196407587,0.0815487181946809,0.49628288448164226,0.08015779754910189,0.5534785006834697,0.10900741024964626,0.5357082903666754,0.1313101033597928,0.5183217822969376,0.10447492745629393,0.5895944746876424,0.10910333581141032,0.5472913019496871,0.11394997481954003,0.020575450536150543,0.5453919758267584,0.02555384868172314
700,0.12844005526739,0.5749733855806474,0.12123717411492897,0.5504881197762124,0.12730752678429863,0.5733651951346577,0.1256993363383089,0.5816553036308862,0.07881265713832704,0.5134317878094634,0.07609458877890779,0.5707830301932093,0.10338852522140934,0.5549276314299305,0.1252010238057487,0.5407936759609504,0.09903961584633854,0.6067747853858525,0.10345647693039481,0.562062560873406,0.10886769802260528,0.01988708679525526,0.5629255475775216,0.02527249077381158
750,0.12413356509796347,0.5916543273460804,0.11634369836262581,0.5626622888903194,0.12342539539475095,0.5910749157707247,0.12127942659713725,0.5973196849717806,0.07617116247129765,0.5278761346810017,0.07344578209832829,0.5854095581450246,0.09915448829374024,0.5726839631751754,0.12050687782999636,0.5593574969419944,0.09516298633017875,0.6225777377196936,0.09930470610957319,0.5769973604583789,0.10489280885855919,0.01923474821630037,0.5787613468100175,0.02558510803398363
800,0.12103202919529447,0.6075659034842709,0.11265265346897999,0.5744561560888092,0.12135823360313155,0.6067096169136985,0.11868743501396564,0.611215315296948,0.07424208444616608,0.5417541642031438,0.07181593916287791,0.5986564455952211,0.09595506534282049,0.5867295969336785,0.11689331077086179,0.5749454627005648,0.09234642908112296,0.6374339945768518,0.09619971864869825,0.5902770698689066,0.10211828987339193,0.018843021025591433,0.5929743725662093,0.025993576104929923
850,0.11754597176644205,0.6240606613720655,0.10814773102390336,0.5875745160100196,0.11770131458863277,0.623516961494398,0.1151575758752597,0.6256917610050681,0.07210819627565582,0.5562341016330413,0.0691566826540321,0.6142158100157284,0.09214742033825898,0.6033612303151518,0.11251674789801742,0.5927396648478611,0.08863278898619388,0.6517505194275618,0.09239985242431892,0.6052447620342143,0.0985514281830715,0.01835127104938246,0.608438998815511,0.026079861045293043
900,0.1136536358412575,0.6386680012604498,0.10405197501343862,0.5985004355965818,0.11415410850988898,0.6386680012604496,0.11172588926578808,0.6392426180281376,0.06998276149696936,0.5694730208159559,0.06699846150994457,0.6294926690022058,0.08857439433539084,0.6180744777475022,0.10848208493206547,0.6086767131920888,0.08525644590261172,0.6649891564255129,0.08883389868208867,0.6185193423418414,0.09517136554894438,0.017770759438158385,0.6224304435670726,0.02639792709499886
950,0.11111012606606498,0.6524495115161617,0.10125179524459653,0.6081402152520435,0.11183708931009417,0.6532296671926807,0.10900015957729747,0.6500735828649444,0.06908810439901418,0.5818986152236741,0.06531144169222858,0.6426798347488432,0.08634018333658397,0.6320590790616855,0.10548945903296156,0.6239206368907251,0.08302452171137788,0.676120143974184,0.08614514441745422,0.6309597687902267,0.09285980247876736,0.017294788062301485,0.6351531055515168,0.026462889488224787
1000,0.10828561232986117,0.6616000271882274,0.0980560417339292,0.6161786946252272,0.10937314142976093,0.6619228873897602,0.10599160563476015,0.6594929395571717,0.0677241754320379,0.5900100256588896,0.06356097809648424,0.6529337796734014,0.08374823701337322,0.6412428418494791,0.10238916549134225,0.6330014103893014,0.08053662764023176,0.6843191897908206,0.08345936209621235,0.6387959013747048,0.09031249468979932,0.016830800202269992,0.6439497697496983,0.026710468564671328
1050,0.10529535555229286,0.6710631494804157,0.09474053410332957,0.6253527790012887,0.10676356873684727,0.6716341212744091,0.10301146837631936,0.669154472340495,0.06607775004486208,0.5992185843162205,0.06159154309205698,0.6636078891988451,0.08092301668868988,0.6513727793275583,0.0992267410561347,0.6438196381670175,0.07779082856164048,0.6934126168452993,0.08043361229383841,0.6485016068777631,0.08758544185060115,0.016451456149342777,0.6537137636829312,0.026747915977172305
1100,0.10331926775321966,0.6821989364539052,0.09219752466705357,0.6346060330358123,0.10517027718081852,0.6830616950854131,0.10134276616103782,0.6796890931622457,0.06509121711713124,0.6105585969976,0.06027545530125962,0.6744968548526251,0.0787071169743839,0.6628260835464086,0.09696622692120659,0.6554691053977316,0.07567961850381966,0.7030933818569703,0.07803259658975042,0.659343675979231,0.0856782067169681,0.016270608496575852,0.6645343456367943,0.026650292495269245
1150,0.10167072010151214,0.6919666460218432,0.08919319022945964,0.6443073158204806,0.10313599903321802,0.693416818985181,0.09867973836462786,0.6902294596595114,0.06358857384552638,0.6207571111346093,0.058301484916690585,0.685712775117449,0.0759603619390021,0.6729633378147706,0.09425368963277389,0.6668303146573211,0.07295427423374976,0.7122992794453088,0.0752805933624375,0.6692925875013217,0.0833018625658998,0.016196298714856474,0.6747775646157796,0.02656707638042687
1200,0.09976110358490295,0.7003670847353931,0.0867237687366167,0.6537822837914609,0.10121778904281199,0.7024064443764658,0.09664379670497748,0.700032047080074,0.06255735698990515,0.6302422467916502,0.05677431572200614,0.6962009643257732,0.07373013445206779,0.6832801643141196,0.09195326953051025,0.6771183848271642,0.0708167635362496,0.7208480822735945,0.0730600591414296,0.6783857011755451,0.08132383574414777,0.015999166970155635,0.6842663403691239,0.026356618527119537
1250,0.09803935357740615,0.7095950716606423,0.08434014543101868,0.6627027103053489,0.09916454521160635,0.7120001687787451,0.09480442762908058,0.7097216557194898,0.06145656057047217,0.6392424647322748,0.05533833105950857,0.7064164052940267,0.07166767465083897,0.6940533622132521,0.08982545464774468,0.6875553805257458,0.06879843598362846,0.7288780432917481,0.07095036498403633,0.6879632624931433,0.07943852937453409,0.01582174563242346,0.6938128525014415,0.026332412969988114
1300,0.09568450964663014,0.7170253844375858,0.08178901140736107,0.6702130552420835,0.09756080980026921,0.7201797441161675,0.0926525173693728,0.7175556431766578,0.06006199948333764,0.6464737793851718,0.05360371996900025,0.715121891528097,0.06930753647228378,0.7024500673020708,0.08747229737997797,0.6961549443228324,0.06653387537559993,0.7366857469170214,0.06865491033188759,0.6954615290486614,0.07733211872357204,0.015709147288281863,0.7017321785476349,0.02654869943051383
1350,0.09358675772049634,0.7256871800944749,0.07938920248950644,0.6794628876695745,0.09548151949367754,0.7292003842155819,0.09087619573941762,0.7263056092843326,0.05874419400255266,0.6542388715640995,0.051941472914117284,0.724266108764589,0.06720483164252163,0.7115159409992238,0.0853103330306978,0.7055553362544243,0.06441532125422704,0.7446347978262872,0.06666535085987975,0.7037132067527204,0.07536151791470941,0.015561663215580794,0.7104580323425308,0.026635406609213076
1400,0.09172201047814502,0.733718721717294,0.07715203508011574,0.6882751851521371,0.09385078203673725,0.7376575864574436,0.0890706063812158,0.7344070670116891,0.05755968846001862,0.6614424658058102,0.050408545679358555,0.7328391693966781,0.06513148669836455,0.7200537929100435,0.08323241851393898,0.7142410993129293,0.06244184119619116,0.7519471248836823,0.06474907264592283,0.7115259595405933,0.07353184871700084,0.015466413002950258,0.7186108172188301,0.026696125221579776
1450,0.08992076539883065,0.7414244922681368,0.07512453800417807,0.6959603950605076,0.09218284527620858,0.7456025414405616,0.0872754916624433,0.7422403243550599,0.0564345665583011,0.669050297284268,0.04896846685373119,0.7409300485790924,0.06327025055933944,0.7284947897996268,0.08125563974832815,0.7228086873756165,0.06060025463849986,0.7588412712147244,0.06298594543813892,0.7189149433243922,0.07180187641379993,0.015337060899564587,0.7264267790701986,0.026662103264705393
1500,0.0879974564781821,0.7487012441660968,0.07304826692581795,0.7027618807664159,0.09031302115202343,0.7530204321587541,0.08532195947161934,0.7493371246205713,0.0552436142005303,0.6754910076905541,0.0475890532579875,0.7484732870220399,0.06148244130103541,0.7360436237987258,0.07927509628189901,0.73063264106348,0.05884293752774479,0.7652941247045555,0.0613264706235228,0.7257375613384683,0.07004403172203627,0.015124851078060135,0.7335492927329661,0.026838619335239476
1550,0.08628888448583318,0.7555041434049348,0.07117215818366182,0.7094080350586838,0.08878308604995397,0.7600729612233242,0.08368978659424935,0.7559470390097787,0.054213918577139614,0.681633818575974,0.046335038869916904,0.7555391088474225,0.059808389375167546,0.7429981701418431,0.07751255842142682,0.7373337684588399,0.05724425692607141,0.771168661639413,0.05976176878518399,0.7319724006107298,0.06848098462686046,0.014984847113131188,0.7401578106970943,0.02694300617961822
1600,0.08551371686931296,0.7598896304773992,0.07018209838071816,0.7136568119752066,0.08813131026980475,0.765623406497524,0.08310009178574261,0.7601842513796191,0.05395528561230154,0.6865516889709797,0.04594386338655394,0.7600709356479961,0.058941177803714474,0.7473455789867307,0.07655044249793197,0.7415551451007943,0.0564142369885211,0.7754252172829154,0.059054493535337496,0.7364559371777584,0.06777867171299391,0.0148975608608969,0.7446758603496925,0.026912066763684985
1650,0.08437248481240146,0.7661220079603964,0.06870527789722049,0.7202339606831387,0.08722808410236056,0.7719544868190388,0.08205713403675893,0.7665630271557569,0.053214478660183674,0.6935964012833659,0.04489024134775468,0.7665520016758729,0.057382110056340196,0.7541703877661274,0.07511108170983141,0.7484371382264413,0.05495650448185758,0.7812930682807969,0.057591594174136444,0.7434646467987519,0.06655089912788455,0.014941836572398018,0.7512387126649687,0.026633441487628032
1700,0.08300142781994439,0.7712750539458288,0.06723099550183038,0.726518803207764,0.0859751580800653,0.7779525276707211,0.08094021406563677,0.7723915447294121,0.05241602164274441,0.6998947922146238,0.043838366488099724,0.7726169899837894,0.05594799729465695,0.7605395656421432,0.07360787555421959,0.7545062212154721,0.05356471889123876,0.7866804796616174,0.05628079743207121,0.749589367572384,0.06528035727705075,0.0148746095731367,0.7571965345843756,0.02639000918995145
