window,original_run_0,globalLS_run_0,original_run_1,globalLS_run_1,original_run_2,globalLS_run_2,original_run_3,globalLS_run_3,original_run_4,globalLS_run_4,original_run_5,globalLS_run_5,original_run_6,globalLS_run_6,original_run_7,globalLS_run_7,original_run_8,globalLS_run_8,original_run_9,globalLS_run_9,original_mean,original_std,globalLS_mean,globalLS_std
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0
50,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0
100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0
150,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0
200,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.635483870967742,0.6419354838709677,0.6161290322580646,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.603225806451613,0.6419354838709677,0.6419354838709677,0.6419354838709677,0.5838709677419355,0.6419354838709677,0.6419354838709677,0.6419354838709675,0.0,0.6290322580645161,0.020850235945876643
250,0.7292682926829268,0.6804878048780487,0.7292682926829268,0.7,0.7292682926829268,0.6560975609756098,0.7292682926829268,0.6756097560975609,0.7292682926829268,0.6560975609756098,0.7292682926829268,0.6951219512195121,0.7292682926829268,0.651219512195122,0.7292682926829268,0.6804878048780487,0.7292682926829268,0.6268292682926829,0.7292682926829268,0.7,0.7292682926829269,0.0,0.6721951219512196,0.02412319933418302
300,0.7784313725490196,0.6686274509803921,0.7823529411764706,0.6686274509803921,0.7823529411764706,0.6215686274509804,0.7823529411764706,0.6411764705882353,0.7823529411764706,0.6333333333333333,0.7823529411764706,0.6725490196078432,0.7823529411764706,0.6254901960784314,0.7823529411764706,0.696078431372549,0.7823529411764706,0.6019607843137255,0.7823529411764706,0.6803921568627451,0.7819607843137255,0.0012401088863405365,0.6509803921568628,0.030390399836765152
350,0.8081967213114754,0.6409836065573771,0.8180327868852459,0.6344262295081967,0.8114754098360655,0.5655737704918032,0.8114754098360655,0.5983606557377049,0.8147540983606557,0.5950819672131147,0.8114754098360655,0.6311475409836065,0.8147540983606557,0.5885245901639344,0.8081967213114754,0.660655737704918,0.8114754098360655,0.5721311475409836,0.8180327868852459,0.6049180327868853,0.8127868852459015,0.003524484261551322,0.6091803278688526,0.031297691966187285
400,0.8352112676056338,0.6098591549295774,0.8436619718309859,0.5929577464788732,0.8323943661971831,0.5112676056338028,0.823943661971831,0.5422535211267606,0.8352112676056338,0.5732394366197183,0.8380281690140845,0.5845070422535211,0.8323943661971831,0.5619718309859155,0.8154929577464789,0.6183098591549296,0.8211267605633803,0.5591549295774648,0.8436619718309859,0.5338028169014085,0.8321126760563381,0.009337885363719664,0.5687323943661972,0.03393817447964687
450,0.845679012345679,0.6160493827160494,0.8530864197530865,0.6037037037037037,0.8333333333333334,0.5246913580246914,0.8432098765432099,0.5567901234567901,0.845679012345679,0.591358024691358,0.8555555555555556,0.6061728395061728,0.8530864197530865,0.5864197530864198,0.8209876543209877,0.6530864197530865,0.8308641975308642,0.5814814814814815,0.8580246913580247,0.5617283950617284,0.8439506172839508,0.012099045376229963,0.5881481481481482,0.03547792928390513
500,0.8582417582417583,0.6538461538461539,0.8648351648351649,0.6318681318681318,0.8428571428571429,0.5527472527472528,0.8538461538461539,0.5923076923076923,0.8538461538461539,0.6274725274725275,0.8670329670329671,0.6494505494505495,0.8648351648351649,0.6318681318681318,0.8296703296703296,0.689010989010989,0.8428571428571429,0.6230769230769231,0.8736263736263736,0.6098901098901099,0.8551648351648353,0.013476667882862343,0.6261538461538461,0.03672076675468628
550,0.8722772277227723,0.6881188118811882,0.8782178217821782,0.6603960396039604,0.8584158415841584,0.593069306930693,0.8683168316831683,0.6326732673267327,0.8683168316831683,0.6623762376237624,0.8801980198019802,0.6722772277227723,0.8782178217821782,0.6663366336633664,0.8465346534653465,0.7178217821782178,0.8584158415841584,0.6603960396039604,0.8861386138613861,0.6465346534653466,0.8695049504950496,0.012142344330103687,0.66,0.032894871388896074
600,0.8783783783783784,0.6945945945945945,0.8891891891891891,0.6657657657657657,0.8693693693693694,0.6153153153153154,0.8765765765765766,0.6531531531531531,0.8729729729729729,0.6729729729729729,0.890990990990991,0.6873873873873874,0.8891891891891891,0.681981981981982,0.8585585585585586,0.718018018018018,0.8711711711711712,0.6801801801801802,0.8963963963963963,0.6729729729729729,0.8792792792792792,0.011868512219441121,0.6742342342342342,0.027061039659166862
650,0.8884297520661157,0.7033057851239669,0.8983471074380166,0.6768595041322314,0.8768595041322315,0.6371900826446281,0.8834710743801653,0.6702479338842976,0.8834710743801653,0.696694214876033,0.9,0.7066115702479339,0.8966942148760331,0.696694214876033,0.8702479338842976,0.731404958677686,0.8801652892561983,0.7066115702479339,0.9049586776859504,0.7000000000000001,0.8882644628099176,0.011330320977583184,0.6925619834710744,0.025645000821459017
700,0.8938931297709924,0.7091603053435114,0.9061068702290076,0.6969465648854962,0.884732824427481,0.6557251908396946,0.8923664122137404,0.683206106870229,0.8923664122137404,0.7183206106870229,0.9076335877862595,0.7274809160305343,0.9015267175572519,0.7137404580152672,0.8801526717557252,0.7473282442748093,0.884732824427481,0.7244274809160305,0.9122137404580152,0.7229007633587787,0.8955725190839694,0.010877974197007926,0.7099236641221375,0.02580157690546236
750,0.898581560283688,0.7283687943262411,0.9127659574468084,0.7113475177304964,0.8815602836879433,0.6787234042553192,0.8858156028368793,0.6971631205673758,0.898581560283688,0.7312056737588652,0.9127659574468084,0.7382978723404254,0.8999999999999999,0.7297872340425531,0.8787234042553191,0.7581560283687943,0.8872340425531915,0.7439716312056737,0.9127659574468084,0.7382978723404254,0.8968794326241134,0.01313365904905278,0.725531914893617,0.02353641317192175
800,0.905298013245033,0.7450331125827814,0.9185430463576159,0.7251655629139073,0.885430463576159,0.7,0.8933774834437086,0.714569536423841,0.9026490066225166,0.7450331125827814,0.9172185430463575,0.7556291390728476,0.9039735099337748,0.7463576158940397,0.8814569536423842,0.7688741721854304,0.8920529801324503,0.7582781456953642,0.9185430463576159,0.7556291390728476,0.9018543046357616,0.013596513752604922,0.741456953642384,0.021584392489761746
850,0.9111801242236025,0.7608695652173914,0.9236024844720497,0.736024844720497,0.8925465838509318,0.7049689440993789,0.9,0.7322981366459628,0.908695652173913,0.7571428571428572,0.922360248447205,0.767080745341615,0.9099378881987578,0.762111801242236,0.8888198757763975,0.7807453416149069,0.8987577639751553,0.7695652173913045,0.9236024844720497,0.7708074534161491,0.9079503105590062,0.012752009792815825,0.7541614906832297,0.02292964167703858
900,0.916374269005848,0.7748538011695907,0.9280701754385965,0.7432748538011695,0.8988304093567251,0.7222222222222222,0.9058479532163742,0.747953216374269,0.9140350877192982,0.7713450292397661,0.9269005847953216,0.77953216374269,0.9152046783625731,0.7760233918128655,0.8953216374269006,0.7865497076023391,0.9046783625730994,0.7830409356725145,0.9280701754385965,0.7842105263157895,0.9133333333333334,0.012006278225984485,0.7669005847953215,0.021564776264314002
950,0.9165745856353591,0.787292817679558,0.9298342541436464,0.7541436464088397,0.8977900552486188,0.7375690607734806,0.9077348066298342,0.7618784530386741,0.9143646408839778,0.7839779005524862,0.9276243093922651,0.7895027624309392,0.9187845303867402,0.7883977900552486,0.9,0.7983425414364641,0.9022099447513812,0.7939226519337016,0.9298342541436464,0.7961325966850828,0.9144751381215471,0.012254182947537415,0.7791160220994475,0.020574784764158877
1000,0.9178010471204189,0.7984293193717278,0.9282722513089006,0.7649214659685863,0.8905759162303666,0.7439790575916231,0.9020942408376964,0.7743455497382199,0.9136125654450262,0.793193717277487,0.9293193717277487,0.7984293193717278,0.9094240837696336,0.799476439790576,0.9020942408376964,0.8036649214659686,0.8979057591623036,0.7984293193717278,0.925130890052356,0.8047120418848168,0.9116230366492148,0.013468156016440849,0.7879581151832461,0.020184059050332943
1050,0.9208955223880597,0.8064676616915423,0.9318407960199004,0.7756218905472636,0.8940298507462686,0.754726368159204,0.9069651741293532,0.7845771144278606,0.916915422885572,0.8014925373134327,0.9308457711442786,0.808457711442786,0.9129353233830846,0.8094527363184079,0.9049751243781095,0.8114427860696517,0.9009950248756219,0.8004975124378109,0.9288557213930348,0.8134328358208955,0.9149253731343283,0.013208827696013186,0.7966169154228856,0.019102001405767455
1100,0.9227488151658768,0.814691943127962,0.9341232227488152,0.7815165876777251,0.890521327014218,0.761611374407583,0.9028436018957346,0.7890995260663507,0.9123222748815166,0.7995260663507109,0.9341232227488152,0.8175355450236967,0.9132701421800948,0.8165876777251185,0.9009478672985782,0.8175355450236967,0.9018957345971564,0.8014218009478673,0.9274881516587679,0.8203791469194313,0.9140284360189573,0.015144798411571812,0.8019905213270142,0.019488094286689458
1150,0.9262443438914028,0.8230769230769232,0.93710407239819,0.7895927601809956,0.895475113122172,0.7723981900452489,0.907239819004525,0.7986425339366516,0.9153846153846155,0.8085972850678733,0.93710407239819,0.82579185520362,0.9171945701357467,0.8248868778280544,0.9054298642533937,0.82579185520362,0.9063348416289594,0.8049773755656109,0.9307692307692308,0.8285067873303168,0.9178280542986427,0.014473666440825567,0.8102262443438913,0.018914772862920752
1200,0.9294372294372294,0.8307359307359307,0.9398268398268398,0.7952380952380952,0.9,0.7813852813852814,0.9112554112554112,0.8012987012987013,0.919047619047619,0.8116883116883117,0.9398268398268398,0.8333333333333333,0.9207792207792208,0.8324675324675325,0.9095238095238095,0.8333333333333333,0.9103896103896104,0.8064935064935065,0.9337662337662337,0.8359307359307359,0.9213852813852815,0.013847100794036577,0.8161904761904761,0.019551684453068145
1250,0.9323651452282158,0.837759336099585,0.9423236514522821,0.8037344398340249,0.9041493775933611,0.7904564315352697,0.9149377593360997,0.8095435684647303,0.9224066390041494,0.8195020746887967,0.9423236514522821,0.8402489626556017,0.9240663900414937,0.8394190871369295,0.9132780082987553,0.8369294605809128,0.9141078838174275,0.8145228215767635,0.9365145228215768,0.8427385892116184,0.9246473029045644,0.013272532296358686,0.8234854771784231,0.018444075455068668
1300,0.9350597609561754,0.8442231075697212,0.9446215139442231,0.8115537848605577,0.9079681274900399,0.7988047808764941,0.9183266932270916,0.8171314741035857,0.9254980079681275,0.8266932270916335,0.9446215139442231,0.8466135458167331,0.9270916334661355,0.8458167330677291,0.9167330677290837,0.8434262948207172,0.9175298804780877,0.8195219123505976,0.9390438247011953,0.849003984063745,0.9276494023904382,0.012743746149093451,0.8302788844621514,0.017853861554585737
1350,0.9375478927203066,0.8501915708812261,0.9467432950191571,0.8187739463601533,0.9114942528735632,0.8057471264367817,0.921455938697318,0.8233716475095786,0.9268199233716475,0.8333333333333334,0.9467432950191571,0.8524904214559388,0.9298850574712644,0.8517241379310345,0.9191570881226054,0.8486590038314177,0.9206896551724139,0.8264367816091953,0.9413793103448276,0.8547892720306514,0.930191570881226,0.01236756182205469,0.836551724137931,0.017323205856455068
1400,0.9398523985239853,0.855719557195572,0.9487084870848709,0.8254612546125462,0.9132841328413284,0.8121771217712177,0.9236162361623617,0.8291512915129151,0.9287822878228782,0.8394833948339484,0.9487084870848709,0.8579335793357934,0.9317343173431735,0.8571955719557196,0.9206642066420664,0.8535055350553505,0.9206642066420664,0.8321033210332103,0.9435424354243542,0.8601476014760148,0.9319557195571957,0.012654429670111279,0.8422878228782288,0.016885878367122388
